measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,,,,705.0,8037.0,8037.0,1186485.0,12737230.0,12737230.0
2001-02-01,,,,1613.0,18130.0,18130.0,990408.0,10775601.0,10775601.0
2001-03-01,,,,1338.0,14623.0,14623.0,1181178.0,12495385.0,12495385.0
2001-04-01,,,,1409.0,15748.0,15748.0,856101.0,9263843.0,9263843.0
2001-05-01,,,,3972.0,44468.0,44468.0,999340.0,10828714.0,10828714.0
2001-06-01,,,,1859.0,20803.0,20803.0,1008683.0,10926143.0,10926143.0
2001-07-01,,,,1868.0,20340.0,20340.0,1095256.0,11544744.0,11544744.0
2001-08-01,,,,2195.0,24013.0,24013.0,811286.0,8590468.0,8590468.0
2001-09-01,,,,5025.0,55629.0,55629.0,808456.0,8663182.0,8663182.0
2001-10-01,,,,1378.0,15097.0,15097.0,962755.0,10210686.0,10210686.0
2001-11-01,,,,4528.0,49386.0,49386.0,744548.0,7860372.0,7860372.0
2001-12-01,,,,444.0,4844.0,4844.0,1160668.0,12251441.0,12251441.0
2002-01-01,,,,2808.0,30190.0,30190.0,1091456.0,11560467.0,11560467.0
2002-02-01,,,,1040.0,11133.0,11133.0,1003642.0,10561036.0,10561036.0
2002-03-01,,,,2492.0,22042.0,22042.0,1155326.0,12078789.0,12078789.0
2002-04-01,,,,1120.0,10613.0,10613.0,1085711.0,11882277.0,11882277.0
2002-05-01,,,,1896.0,18257.0,18257.0,1050461.0,11504842.0,11504842.0
2002-06-01,,,,1300.0,12175.0,12175.0,1061335.0,11423962.0,11423962.0
2002-07-01,,,,3650.0,33020.0,33020.0,1011771.0,10925600.0,10925600.0
2002-08-01,,,,991.0,9101.0,9101.0,1126222.0,11952590.0,11952590.0
2002-09-01,,,,4540.0,42613.0,42613.0,998275.0,10544051.0,10544051.0
2002-10-01,,,,1537.0,14532.0,14532.0,903905.0,9836937.0,9836937.0
2002-11-01,,,,5499.0,52646.0,52646.0,799781.0,8904280.0,8904280.0
2002-12-01,,,,3513.0,34132.0,34132.0,1080235.0,11811234.0,11811234.0
2003-01-01,,,,3474.0,32945.0,32945.0,1059246.0,11621918.0,11621918.0
2003-02-01,,,,5932.0,57570.0,57570.0,800611.0,8787953.0,8787953.0
2003-03-01,,,,3534.0,34742.0,34742.0,773613.0,8426797.0,8426797.0
2003-04-01,,,,5792.0,58015.0,58015.0,951944.0,10532179.0,10532179.0
2003-05-01,,,,3811.0,38250.0,38250.0,1079478.0,11764725.0,11764725.0
2003-06-01,,,,2746.0,27089.0,27089.0,1038840.0,11283286.0,11283286.0
2003-07-01,,,,1529.0,15559.0,15559.0,1048889.0,11512650.0,11512650.0
2003-08-01,,,,1242.0,12610.0,12610.0,1148953.0,12720450.0,12720450.0
2003-09-01,,,,2713.0,27332.0,27332.0,894177.0,10006719.0,10006719.0
2003-10-01,,,,3577.0,36382.0,36382.0,645046.0,7258017.0,7258017.0
2003-11-01,,,,8236.0,81532.0,81532.0,857838.0,9597660.0,9597660.0
2003-12-01,,,,4651.0,45099.0,45099.0,990630.0,10782312.0,10782312.0
2004-01-01,,,,3694.0,35737.0,35737.0,1113345.0,11881457.0,11881457.0
2004-02-01,,,,2456.0,23455.0,23455.0,1090073.0,11546661.0,11546661.0
2004-03-01,,,,3527.0,34351.0,34351.0,1050703.0,11252595.0,11252595.0
2004-04-01,,,,2377.0,23251.0,23251.0,786921.0,8398986.0,8398986.0
2004-05-01,,,,452.0,4319.0,4319.0,1164798.0,12387773.0,12387773.0
2004-06-01,,,,1147.0,10912.0,10912.0,1053082.0,11028522.0,11028522.0
2004-07-01,,,,3207.0,31543.0,31543.0,993038.0,10859879.0,10859879.0
2004-08-01,,,,1969.0,18786.0,18786.0,1093444.0,11722822.0,11722822.0
2004-09-01,,,,341.0,3283.0,3283.0,1087084.0,11605913.0,11605913.0
2004-10-01,,,,2417.0,24485.0,24485.0,877644.0,9609884.0,9609884.0
2004-11-01,,,,5481.0,55123.0,55123.0,1044366.0,11508488.0,11508488.0
2004-12-01,,,,1678.0,17724.0,17724.0,1140774.0,12426684.0,12426684.0
2005-01-01,,,,4427.0,44832.86,44832.86,1011427.0,11226064.23,11226064.23
2005-02-01,,,,1408.0,13770.78,13770.78,1050012.0,11391348.06,11391348.06
2005-03-01,,,,2819.0,27558.54,27558.54,1077469.0,11824139.4,11824139.4
2005-04-01,,,,5912.0,62644.88,62644.88,784136.0,9490212.0,9490212.0
2005-05-01,,,,3950.0,38148.4,38148.4,900619.0,9810175.8,9810175.8
2005-06-01,,,,1084.0,10408.74,10408.74,1108792.0,12205001.42,12205001.42
2005-07-01,,,,1636.0,15848.0,15848.0,1054801.0,11511161.86,11511161.86
2005-08-01,,,,2327.0,22096.64,22096.64,1131647.0,12190219.7,12190219.7
2005-09-01,,,,1267.0,12231.26,12231.26,1085211.0,11591337.95,11591337.95
2005-10-01,,,,809.0,8008.9,8008.9,1160748.0,12425094.19,12425094.19
2005-11-01,,,,2901.0,28549.04,28549.04,1011184.0,11016362.51,11016362.51
2005-12-01,,,,2486.0,23981.42,23981.42,1055264.0,11345685.64,11345685.64
2006-01-01,,,,10031.0,99944.0,99944.0,1103819.0,12115956.0,12115956.0
2006-02-01,,,,2524.0,25476.0,25476.0,873212.0,9656170.0,9656170.0
2006-03-01,,,,1600.0,15984.0,15984.0,1097602.0,12253685.0,12253685.0
2006-04-01,,,,5176.0,50306.0,50306.0,697131.0,7823520.0,7823520.0
2006-05-01,,,,3137.0,29862.0,29862.0,1109198.0,12139532.0,12139532.0
2006-06-01,,,,1368.0,13075.0,13075.0,1071480.0,11691048.0,11691048.0
2006-07-01,,,,351.0,3300.0,3300.0,1196254.0,12956966.0,12956966.0
2006-08-01,,,,985.0,9435.0,9435.0,1173185.0,12779385.0,12779385.0
2006-09-01,,,,3251.0,31934.0,31934.0,1022812.0,11150218.0,11150218.0
2006-10-01,,,,1755.0,17184.0,17184.0,907811.0,9839682.0,9839682.0
2006-11-01,,,,2895.0,28175.0,28175.0,1019136.0,10952058.0,10952058.0
2006-12-01,,,,2727.0,26534.0,26534.0,1159430.0,12411670.0,12411670.0
2007-01-01,,,,1008.566,10907.0,10907.0,1158457.435,12527770.0,12527770.0
2007-02-01,,,,2674.601,29477.0,29477.0,830968.399,9158259.0,9158259.0
