measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,27.0,162.0,162.0,,,,0.0,0.0,0.0,,,,,,
2003-02-01,0.0,0.0,0.0,,,,549.0,4714.0,4714.0,,,,,,
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-07-01,0.0,0.0,0.0,,,,179.0,2487.0,2487.0,,,,,,
2003-08-01,0.0,0.0,0.0,,,,2924.0,31510.0,31510.0,,,,,,
2003-09-01,0.0,0.0,0.0,,,,96.0,1039.0,1039.0,,,,,,
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-12-01,,,,,,,0.0,0.0,0.0,,,,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,141.794,2998.0,2998.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,88.152,1864.0,1864.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,84.13900000000001,1779.0,1779.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,72.61,1535.0,1535.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,291.54200000000003,6165.0,6165.0,0.0,0.0,0.0,0.0,0.0,0.0
