measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2021-09-01,564.046,3592.0,3592.0
2021-10-01,537.71,3425.0,3425.0
2021-11-01,494.182,3147.0,3147.0
2021-12-01,510.062,3249.0,3249.0
2022-01-01,580.842,3863.0,3863.0
2022-02-01,482.253,3207.0,3207.0
2022-03-01,446.212,2967.0,2967.0
2022-04-01,457.07,3040.0,3040.0
2022-05-01,419.44,2789.0,2789.0
2022-06-01,570.466,3795.0,3795.0
2022-07-01,762.085,5069.0,5069.0
2022-08-01,919.557,6116.0,6116.0
2022-09-01,842.772,5605.0,5605.0
2022-10-01,773.956,5148.0,5148.0
2022-11-01,710.746,4727.0,4727.0
2022-12-01,785.601,5225.0,5225.0
2023-01-01,705.148,4779.0,4779.0
2023-02-01,600.648,4073.0,4073.0
2023-03-01,577.3,3915.0,3915.0
2023-04-01,450.992,3058.0,3058.0
2023-05-01,292.105,1981.0,1981.0
2023-06-01,384.275,2606.0,2606.0
2023-07-01,889.522,6032.0,6032.0
2023-08-01,897.545,6086.0,6086.0
2023-09-01,635.307,4308.0,4308.0
2023-10-01,775.828,5261.0,5261.0
2023-11-01,728.804,4942.0,4942.0
2023-12-01,820.526,5564.0,5564.0
2024-01-01,654.0,4599.0,4599.0
2024-02-01,629.0,4364.0,4364.0
2024-03-01,672.0,4645.0,4645.0
2024-04-01,648.0,4492.0,4492.0
2024-05-01,659.0,4572.0,4572.0
2024-06-01,633.0,4380.0,4380.0
2024-07-01,670.0,4624.0,4624.0
2024-08-01,659.0,4584.0,4584.0
2024-09-01,639.0,4476.0,4476.0
2024-10-01,654.0,4611.0,4611.0
2024-11-01,643.0,4552.0,4552.0
2024-12-01,657.0,4672.0,4672.0
