measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-01-01,528.17,6192.84,32383.71
2004-02-01,545.3820000000001,6394.66,33439.04
2004-03-01,531.571,6232.71,32592.21
2004-04-01,581.259,6815.32,35638.78
2004-05-01,748.038,8770.81,45864.46
2004-06-01,937.7320000000001,10994.99,57495.21
2004-07-01,1233.075,14457.91,75603.54
2004-08-01,1174.169,13767.24,71991.89
2004-09-01,828.7990000000001,9717.74,50816.17
2004-10-01,761.4590000000001,8928.17,46687.36
2004-11-01,407.16200000000003,4774.0,24964.32
2004-12-01,458.03400000000005,5370.49,28083.42
2005-01-01,523.446,6137.46,36076.38
2005-02-01,472.465,5539.69,32562.7
2005-03-01,509.885,5978.45,35141.75
2005-04-01,512.3340000000001,6007.17,35310.52
2005-05-01,562.7,6597.7,38781.75
2005-06-01,722.755,8474.36,49812.9
2005-07-01,925.5010000000001,10851.58,63786.36
2005-08-01,959.114,11245.69,66102.97
2005-09-01,723.3770000000001,8481.65,49855.75
2005-10-01,561.48,6583.41,38697.7
2005-11-01,500.97400000000005,5873.96,34527.58
2005-12-01,571.597,6702.02,39394.95
