measured_on,Distillate Fuel Oil-Other Generation,Distillate Fuel Oil-Other Quantity Consumed For Electricity,Distillate Fuel Oil-Other Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Other Generation,Residual Fuel Oil-Other Quantity Consumed For Electricity,Residual Fuel Oil-Other Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-02-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-03-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-04-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-05-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-06-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-07-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-08-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-09-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-10-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-11-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2004-12-01,,,,0.0,0.0,0.0,,,,199.739,878.41,51965.6
2005-01-01,,,,0.0,0.0,0.0,,,,250.399,1101.21,63967.87
2005-02-01,,,,0.0,0.0,0.0,,,,102.23100000000001,449.59,26116.22
2005-03-01,,,,0.0,0.0,0.0,,,,140.685,618.7,35939.9
2005-04-01,,,,0.0,0.0,0.0,,,,81.22800000000001,357.22,20750.72
2005-05-01,,,,0.0,0.0,0.0,,,,33.36,146.71,8522.18
2005-06-01,,,,0.0,0.0,0.0,,,,187.02700000000002,822.5,47778.5
2005-07-01,,,,0.0,0.0,0.0,,,,227.96900000000002,1002.56,58237.63
2005-08-01,,,,0.0,0.0,0.0,,,,268.295,1179.91,68539.58
2005-09-01,,,,0.0,0.0,0.0,,,,209.512,921.39,53522.62
2005-10-01,,,,0.0,0.0,0.0,,,,191.943,844.12,49034.43
2005-11-01,,,,0.0,0.0,0.0,,,,88.69,390.04,22657.02
2005-12-01,,,,0.0,0.0,0.0,,,,263.423,1158.48,67294.91
2006-01-01,,,,0.0,0.0,0.0,,,,163.15200000000002,717.5,47258.62
2006-02-01,,,,0.0,0.0,0.0,,,,150.36700000000002,661.28,43555.46
2006-03-01,,,,0.0,0.0,0.0,,,,142.751,627.79,41349.5
2006-04-01,,,,0.0,0.0,0.0,,,,109.551,481.78,31732.48
2006-05-01,,,,0.0,0.0,0.0,,,,99.549,437.8,28835.58
2006-06-01,,,,0.0,0.0,0.0,,,,96.683,425.19,28005.12
2006-07-01,,,,0.0,0.0,0.0,,,,115.29,507.02,33395.14
2006-08-01,,,,0.0,0.0,0.0,,,,98.548,433.39,28545.47
2006-09-01,,,,0.0,0.0,0.0,,,,103.092,453.38,29861.63
2006-10-01,,,,0.0,0.0,0.0,,,,97.691,429.62,28297.15
2006-11-01,,,,0.0,0.0,0.0,,,,119.70400000000001,526.43,34673.66
2006-12-01,,,,0.0,0.0,0.0,,,,164.442,723.18,47632.58
2007-01-01,0.0,0.0,0.0,,,,112.703,1280.0,46995.0,,,
2007-02-01,0.0,0.0,0.0,,,,173.857,1978.0,72499.0,,,
2007-03-01,0.0,0.0,0.0,,,,92.941,1056.0,38758.0,,,
2007-04-01,0.0,0.0,0.0,,,,44.263000000000005,506.0,18458.0,,,
2007-05-01,0.0,0.0,0.0,,,,41.41,474.0,17267.0,,,
2007-06-01,0.0,0.0,0.0,,,,54.626000000000005,621.0,22778.0,,,
2007-07-01,0.0,0.0,0.0,,,,45.595,518.0,19014.0,,,
2007-08-01,0.0,0.0,0.0,,,,56.516000000000005,640.0,23565.0,,,
2007-09-01,0.0,0.0,0.0,,,,42.727000000000004,486.0,17818.0,,,
2007-10-01,0.0,0.0,0.0,,,,38.977000000000004,442.0,16256.0,,,
2007-11-01,0.0,0.0,0.0,,,,27.499000000000002,314.0,11469.0,,,
2007-12-01,0.0,0.0,0.0,,,,93.887,1069.0,39149.0,,,
