measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,141.169,1050.0,1050.0,141.169,410.0,410.0
2003-02-01,118.182,879.0,879.0,118.182,343.0,343.0
2003-03-01,132.4,984.0,984.0,132.4,384.0,384.0
2003-04-01,116.361,865.0,865.0,116.361,338.0,338.0
2003-05-01,114.923,854.0,854.0,114.923,334.0,334.0
2003-06-01,129.317,961.0,961.0,129.317,375.0,375.0
2003-07-01,140.76,1047.0,1047.0,140.76,409.0,409.0
2003-08-01,146.21200000000002,1087.0,1087.0,146.21200000000002,424.0,424.0
2003-09-01,127.322,947.0,947.0,127.322,370.0,370.0
2003-10-01,134.744,1002.0,1002.0,134.744,391.0,391.0
2003-11-01,113.866,847.0,847.0,113.866,331.0,331.0
2003-12-01,127.742,950.0,950.0,127.742,371.0,371.0
2004-01-01,1.339,14.0,14.0,15.417000000000002,144.0,144.0
2004-02-01,0.672,7.0,7.0,15.417000000000002,144.0,144.0
2004-03-01,7.485,79.0,79.0,15.417000000000002,144.0,144.0
2004-04-01,10.627,112.0,112.0,15.417000000000002,144.0,144.0
2004-05-01,18.606,195.0,195.0,15.417000000000002,144.0,144.0
2004-06-01,5.963,63.0,63.0,15.417000000000002,144.0,144.0
2004-07-01,6.493,68.0,68.0,15.417000000000002,144.0,144.0
2004-08-01,18.698,196.0,196.0,15.417000000000002,144.0,144.0
2004-09-01,4.885,51.0,51.0,15.417000000000002,144.0,144.0
2004-10-01,7.174,75.0,75.0,15.417000000000002,144.0,144.0
2004-11-01,1.298,14.0,14.0,15.417000000000002,144.0,144.0
2004-12-01,0.761,8.0,8.0,15.417000000000002,144.0,144.0
2005-01-01,33.234,361.53,361.53,37.773,363.68,363.68
2005-02-01,11.418000000000001,124.21,124.21,30.219,290.94,290.94
2005-03-01,12.655,137.67,137.67,41.934000000000005,403.74,403.74
2005-04-01,15.329,166.76,166.76,39.807,383.25,383.25
2005-05-01,14.237,154.88,154.88,38.065,366.48,366.48
2005-06-01,18.478,201.02,201.02,71.855,691.81,691.81
2005-07-01,18.809,204.61,204.61,94.59400000000001,910.73,910.73
2005-08-01,22.096,240.36,240.36,93.96900000000001,904.72,904.72
2005-09-01,14.464,157.34,157.34,56.892,547.75,547.75
2005-10-01,16.063000000000002,174.74,174.74,40.34,388.39,388.39
2005-11-01,12.913,140.47,140.47,35.355,340.39,340.39
2005-12-01,27.304000000000002,297.02,297.02,44.197,425.52,425.52
2006-01-01,61.7,275.0,275.0,0.0,126.0,126.0
2006-02-01,32.286,144.0,144.0,0.0,143.0,143.0
2006-03-01,27.12,121.0,121.0,0.0,188.0,188.0
