measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,53658.0,583973.0,583973.0
2003-02-01,,,,78143.0,808012.0,808012.0
2003-03-01,,,,5181.0,61588.0,61588.0
2003-04-01,,,,23523.0,247587.0,247587.0
2003-05-01,,,,16643.0,205705.0,205705.0
2003-06-01,,,,64060.0,735346.0,735346.0
2003-07-01,,,,95746.0,1048388.0,1048388.0
2003-08-01,,,,73066.0,753056.0,753056.0
2003-09-01,,,,64774.0,701655.0,701655.0
2003-10-01,,,,3441.0,45378.0,45378.0
2003-11-01,,,,-381.0,0.0,0.0
2003-12-01,,,,63093.0,698666.0,698666.0
2004-01-01,,,,72827.0,798505.0,798505.0
2004-02-01,,,,73945.0,751572.0,751572.0
2004-03-01,,,,-466.0,0.0,0.0
2004-04-01,,,,14719.0,179819.0,179819.0
2004-05-01,,,,54262.0,623098.0,623098.0
2004-06-01,,,,34568.0,405742.0,405742.0
2004-07-01,,,,88691.0,1015280.0,1015280.0
2004-08-01,,,,88617.0,1011533.0,1011533.0
2004-09-01,,,,91543.0,993745.0,993745.0
2004-10-01,,,,107350.0,1145023.0,1145023.0
2004-11-01,,,,93056.0,974844.0,974844.0
2004-12-01,,,,45557.0,466816.0,466816.0
2005-01-01,,,,19822.0,202432.26,202432.26
2005-02-01,,,,45959.0,472823.06,472823.06
2005-03-01,,,,8760.0,77796.17,77796.17
2005-04-01,,,,-375.0,2.07,2.07
2005-05-01,,,,585.0,13283.19,13283.19
2005-06-01,,,,11962.0,144789.12,144789.12
2005-07-01,,,,95740.0,1049284.96,1049284.96
2005-08-01,,,,88026.0,914268.4,914268.4
2005-09-01,,,,29369.0,340592.16,340592.16
2005-10-01,,,,10473.0,125289.86,125289.86
2005-11-01,,,,21089.0,226466.44,226466.44
2005-12-01,,,,-374.0,0.0,0.0
2006-01-01,,,,-386.0,65.0,65.0
2006-02-01,,,,-395.0,94.0,94.0
