measured_on,"Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2007-01-01,224.732,2427.0,2427.0
2007-02-01,230.69,2492.0,2492.0
2007-03-01,319.925,3457.0,3457.0
2007-04-01,177.01600000000002,1913.0,1913.0
2007-05-01,134.955,1457.0,1457.0
2007-06-01,156.257,1685.0,1685.0
2007-07-01,233.96900000000002,2525.0,2525.0
2007-08-01,235.44400000000002,2541.0,2541.0
2007-09-01,204.11,2205.0,2205.0
2007-10-01,406.81800000000004,4394.0,4394.0
2007-11-01,366.248,3955.0,3955.0
2007-12-01,352.836,3809.0,3809.0
2008-01-01,53.512,558.0,558.0
2008-02-01,129.024,1355.0,1355.0
2008-03-01,89.435,937.0,937.0
2008-04-01,103.214,1084.0,1084.0
2008-05-01,73.85600000000001,775.0,775.0
2008-06-01,103.292,1084.0,1084.0
2008-07-01,149.96,1571.0,1571.0
2008-08-01,104.45,1094.0,1094.0
2008-09-01,86.82600000000001,910.0,910.0
2008-10-01,152.16500000000002,1593.0,1593.0
2008-11-01,95.196,997.0,997.0
2008-12-01,119.07000000000001,1246.0,1246.0
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0
