measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Generation,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Quantity Consumed For Electricity,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Total Fuel Consumed
2003-01-01,5040.155000000001,48457.0,82515.0,,,
2003-02-01,4072.255,39151.0,66669.0,,,
2003-03-01,4266.1810000000005,41016.0,69844.0,,,
2003-04-01,4097.2970000000005,39392.0,67079.0,,,
2003-05-01,4990.924,47983.0,81709.0,,,
2003-06-01,4994.482,48018.0,81767.0,,,
2003-07-01,5442.311000000001,52323.0,89099.0,,,
2003-08-01,5645.136,54273.0,92419.0,,,
2003-09-01,4709.2660000000005,45276.0,77098.0,,,
2003-10-01,4446.578,42750.0,72797.0,,,
2003-11-01,3997.82,38436.0,65450.0,,,
2003-12-01,4619.595,44413.0,75630.0,,,
2004-01-01,5027.532,32243.77,88195.05,,,
2004-02-01,4422.076,28360.71,77573.88,,,
2004-03-01,4135.191,26520.8,72541.23,,,
2004-04-01,4812.397,30864.02,84421.06,,,
2004-05-01,4801.189,30792.13,84224.44,,,
2004-06-01,4869.429,31229.79,85421.53,,,
2004-07-01,4637.124,29739.92,81346.36,,,
2004-08-01,4906.675,31468.67,86074.94,,,
2004-09-01,4795.27,30754.17,84120.6,,,
2004-10-01,5016.779,32174.81,88006.42,,,
2004-11-01,4618.715,29621.85,81023.42,,,
2004-12-01,4623.183,29650.5,81101.79,,,
2005-01-01,1725.5153,11066.49,64571.06,2057.0807,13192.96,76978.68
2005-02-01,1652.87898,10600.64,58282.12,1761.30802,11296.04,62105.43
2005-03-01,1694.08339,10864.9,62898.21,1990.51661,12766.06,73904.24
2005-04-01,1657.52843,10630.46,63200.3,2044.76757,13113.99,77965.43
2005-05-01,1831.70663,11747.54,69413.26,2234.5473700000002,14331.13,84679.08
