measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,46936.36,340633.0,1672997.0,,,,8027.72,58256.0,286120.0
2003-02-01,,,,48628.04,359052.0,1325379.0,,,,11302.44,83454.0,308055.0
2003-03-01,,,,42839.08,228817.0,1570871.0,,,,8985.11,47992.0,329469.0
2003-05-01,,,,50876.5,299346.0,1758259.0,,,,,,
2003-06-01,,,,49044.17,333840.0,1738885.0,,,,,,
2003-07-01,,,,53759.34,332500.0,1946122.0,,,,,,
2003-08-01,,,,47967.47,586430.0,2086802.0,,,,,,
2003-09-01,,,,49429.26,331498.0,1623179.0,,,,,,
2003-10-01,,,,46370.85,243604.0,1525728.0,,,,,,
2003-11-01,,,,50840.61,246744.0,1705470.0,,,,,,
2003-12-01,,,,54158.01,251514.0,1764559.0,,,,,,
2004-01-01,,,,50567.7791,241113.58,1796975.88,,,,,,
2004-02-01,,,,54646.35234,260416.07,1523916.38,,,,,,
2004-03-01,,,,53152.82188,253236.99,1687330.76,,,,,,
2004-04-01,,,,54286.05667,258607.31,1807252.02,,,,,,
2004-05-01,,,,47727.07472,227365.79,1743506.1,,,,,,
2004-06-01,,,,47083.52604,224336.79,1772526.94,,,,,,
2004-07-01,,,,44978.45361,214272.45,1860128.16,,,,,,
2004-08-01,,,,44130.22596,210273.66,1948174.36,,,,,,
2004-09-01,,,,42741.72021,203637.51,1586381.01,,,,,,
2004-10-01,,,,42350.11454,201762.32,1629211.2,,,,,,
2004-11-01,,,,45145.80046,215082.85,1737588.72,,,,,,
2004-12-01,,,,42037.81271,200250.28,1742352.81,,,,,,
2005-01-01,,,,41312.3,196781.82,1981096.65,,,,,,
2005-02-01,,,,52524.53,250188.74,1801925.19,,,,,,
2005-03-01,,,,52317.92,249204.6,1753879.68,,,,,,
2005-04-01,,,,52600.19,250549.13,1910244.8,,,,,,
2005-05-01,,,,42507.34,202474.12,1738320.22,,,,,,
2005-06-01,,,,42739.17,203578.39,1374034.86,,,,,,
2005-07-01,,,,40655.61,193653.82,1898910.72,,,,,,
2005-08-01,,,,41185.23,196176.55,1791120.8,,,,,,
2005-09-01,,,,42105.76,200561.28,1782915.08,,,,,,
2005-10-01,,,,42075.69,200418.05,1772628.28,,,,,,
2005-11-01,,,,40327.75,192092.13,1848325.4,,,,,,
2005-12-01,,,,48651.32,231739.58,1729368.48,,,,,,
2006-01-01,,,,49291.52,234789.03,1646549.1,,,,,,
2006-02-01,,,,43262.97,206073.39,1724897.96,,,,,,
2006-03-01,,,,54576.08,259960.84,1709275.22,,,,,,
2006-04-01,,,,53345.15,254097.58,1498522.88,,,,,,
2006-05-01,,,,52684.58,250951.1,1845915.66,,,,,,
2006-06-01,,,,50091.77,238600.84,1528559.5,,,,,,
2006-07-01,,,,52882.46,251893.66,1940223.12,,,,,,
2006-08-01,,,,52744.72,251237.57,1495798.86,,,,,,
2006-09-01,,,,52350.9,249361.7,1352681.28,,,,,,
2006-10-01,,,,46934.42,223561.52,1495850.6,,,,,,
2006-11-01,,,,47094.47,224323.88,1294940.26,,,,,,
2006-12-01,,,,55163.9,262760.79,1533877.4,,,,,,
2007-01-01,0.0,0.0,0.0,55347.231,263634.0,1454915.0,,,,,,
2007-02-01,0.0,0.0,0.0,49479.7,235686.0,1376274.0,,,,,,
2007-03-01,0.0,0.0,0.0,62913.231,299673.0,1464257.0,,,,,,
2007-04-01,0.0,0.0,0.0,36603.921,174354.0,1631812.0,,,,,,
2007-05-01,0.0,0.0,0.0,37794.111000000004,180023.0,1418803.0,,,,,,
2007-06-01,0.0,0.0,0.0,29037.921000000002,138316.0,1230040.0,,,,,,
2007-07-01,0.0,0.0,0.0,30160.211,143661.0,1271461.0,,,,,,
2007-08-01,0.0,0.0,0.0,34575.65,164694.0,1652374.0,,,,,,
2007-09-01,0.0,0.0,0.0,28268.71,134652.0,1623760.0,,,,,,
2007-10-01,0.0,0.0,0.0,31505.6,150070.0,1560490.0,,,,,,
2007-11-01,0.0,0.0,0.0,32457.169,154602.0,1455481.0,,,,,,
2007-12-01,0.0,0.0,0.0,34111.019,162480.0,1839763.0,,,,,,
2008-01-01,14480.262,84200.0,613909.0,16953.738,98582.0,718776.0,,,,,,
2008-02-01,17439.756,96365.0,500564.0,22577.244,124752.0,648023.0,,,,,,
2008-03-01,21096.128,115626.0,635833.0,25705.872,140892.0,774770.0,,,,,,
