measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Jet Fuel-Combined Cycle Combustion Turbine Part Generation,Jet Fuel-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Jet Fuel-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Jet Fuel-Combined Cycle Steam Part Generation,Jet Fuel-Combined Cycle Steam Part Quantity Consumed For Electricity,Jet Fuel-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Other Gases-Combined Cycle Combustion Turbine Part Generation,Other Gases-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other Gases-Combined Cycle Steam Part Generation,Other Gases-Combined Cycle Steam Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,,,,,,,,,,,,,97272.0,948325.0,1066738.0,27393.0,48.0,48.0,0.0,0.0,0.0,,,
2003-02-01,,,,,,,,,,,,,85439.0,1026507.0,1026507.0,24741.0,2182.0,2182.0,0.0,0.0,0.0,,,
2003-03-01,,,,,,,,,,,,,111389.0,1204348.0,1325826.0,35166.0,1891.0,1891.0,0.0,0.0,0.0,,,
2003-04-01,,,,,,,,,,,,,72218.0,757973.0,867123.0,19557.0,309.0,309.0,0.0,0.0,0.0,,,
2003-05-01,,,,,,,,,,,,,91851.0,992353.0,1105428.0,29286.0,3543.0,3543.0,0.0,0.0,0.0,,,
2003-06-01,,,,,,,,,,,,,85076.0,922290.0,1029914.0,27126.0,5504.0,5504.0,0.0,0.0,0.0,,,
2003-07-01,,,,,,,,,,,,,99724.0,1071388.0,1178468.0,33512.0,3631.0,3631.0,0.0,0.0,0.0,,,
2003-08-01,,,,,,,,,,,,,88902.0,960132.0,1057999.0,29180.0,4113.0,4113.0,0.0,0.0,0.0,,,
2003-09-01,,,,,,,,,,,,,76914.0,964810.0,964810.0,23704.0,-92172.0,1572.0,0.0,0.0,0.0,,,
2003-10-01,,,,,,,,,,,,,4301.0,68280.0,68280.0,1679.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,,,,,,,,,,,,,2528.0,33463.0,33463.0,913.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,,,,,,,,,,,,,312.0,7304.0,7304.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,,,,,,,,,,,,,4268.0,43719.9,55873.0,1438.51,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,,,,,,,,,,,,,1378.37,13850.18,21502.9,427.77,69.69,69.69,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,,,,,,,,,,,,,14027.17,147509.77,179035.0,5270.01,1213.0,1213.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,,,,,,,,,,,,,34653.25,366446.01,440022.0,13926.29,7955.0,7955.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,,,,,,,,,,,,,63885.17,659338.05,802413.0,24309.17,20373.0,20373.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,,,,,,,,,,,,,69931.18,713461.48,940582.61,25328.64,20703.0,20703.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,,,,,,,,,,,,,68054.23,698363.67,866782.74,23979.37,10936.44,10936.44,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,,,,,,,,,,,,,65212.13,667365.0,851085.0,22564.14,9124.0,9124.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,,,,,,,,,,,,,24160.76,258707.56,295213.05,9689.33,2174.04,2174.04,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,,,,,,,,,,,,,25.22,194.37,1396.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,,,,,,,,,,,,,12215.21,127598.23,156840.0,4442.6,783.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,,,,,,,,,,,,,9555.47,98720.55,120211.38,3516.25,2022.79,2022.79,,,,,,
2005-02-01,,,,,,,,,,,,,4881.04,50238.4,59951.76,1706.23,529.48,529.48,,,,,,
2005-03-01,,,,,,,,,,,,,4372.76,46548.42,55526.59,1677.13,77.89,77.89,,,,,,
2005-04-01,,,,,,,,,,,,,11137.54,116676.54,139614.08,4038.11,281.73,281.73,,,,,,
2005-05-01,,,,,,,,,,,,,75570.76,776033.25,939990.23,25492.57,2858.71,2858.71,,,,,,
2005-06-01,,,,,,,,,,,,,73315.51,748503.69,912849.3,26402.43,20019.38,20019.38,,,,,,
