measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed
2001-01-01,12188.0,80705.0,316627.0,3152.0,18272.0,79283.0
2001-02-01,12668.0,80125.0,316525.0,1922.0,10635.0,46512.0
2001-03-01,11846.0,82475.0,323311.0,3224.0,19656.0,85211.0
2001-04-01,6959.0,75886.0,297080.0,2061.0,19686.0,85211.0
2001-05-01,6747.0,79115.0,310550.0,1683.0,17280.0,75027.0
2001-06-01,3404.0,69332.0,271430.0,1006.0,17937.0,77642.0
2001-07-01,5493.0,76180.0,298725.0,1467.0,17805.0,77216.0
2001-08-01,4517.0,74954.0,293965.0,1193.0,17333.0,75179.0
2001-09-01,14106.0,111355.0,177443.0,3864.0,28958.0,47059.0
2001-10-01,17592.0,118744.0,157946.0,5158.0,33346.0,44840.0
2001-11-01,18891.0,120066.0,159795.0,3979.0,24221.0,32589.0
2001-12-01,12584.0,128749.0,205117.0,3656.0,35512.0,57699.0
2002-01-01,6212.1810000000005,52082.0,207200.0,1773.674,13854.0,59148.0
2002-02-01,5204.826,43636.0,188150.0,1636.351,12782.0,59148.0
2002-03-01,0.0,186400.0,186400.0,0.0,10695.0,10695.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0
