measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2003-01-01,7.4492,74.8,67389.85,6.0948,61.2,55137.15,2.1,21.0,18720.0,,,
2003-02-01,5.92295,59.4,53581.0,4.84605,48.6,43839.0,1.67,17.0,14884.0,,,
2003-03-01,5.2525,52.8,47515.05,4.2975,43.2,38875.95,1.481,15.0,13199.0,,,
2003-04-01,5.284949999999999,52.8,47808.2,4.32405,43.2,39115.8,1.49,15.0,13280.0,,,
2003-05-01,4.4066,44.0,39864.0,3.6054000000000004,36.0,32616.0,1.242,12.0,11073.0,,,
2003-06-01,5.61055,56.1,50757.85,4.59045,45.9,41529.15,1.582,16.0,14100.0,,,
2003-07-01,6.721,67.1,60802.5,5.4990000000000006,54.9,49747.5,1.895,19.0,16890.0,,,
2003-08-01,6.92835,69.3,62679.1,5.6686499999999995,56.7,51282.9,1.953,19.0,17411.0,,,
2003-09-01,5.80195,58.3,52486.5,4.74705,47.7,42943.5,1.635,16.0,14580.0,,,
2003-10-01,5.2338000000000005,52.25,47346.75,4.2822000000000005,42.75,38738.25,1.475,15.0,13152.0,,,
2003-11-01,5.72385,57.2,51779.2,4.6831499999999995,46.8,42364.8,1.613,16.0,14383.0,,,
2003-12-01,6.6143,66.0,59834.5,5.411700000000001,54.0,48955.5,1.864,19.0,16621.0,,,
2004-01-01,20.96623,92.24,49486.1,17.15464,75.47,40489.71,4.16413,18.32,9828.5,,,
2004-02-01,15.56222,68.47,37843.79,12.73307,56.02,30963.94,4.0417000000000005,17.78,9828.5,,,
2004-03-01,20.33403,89.46,48127.36,16.63738,73.2,39377.98,4.15259,18.27,9828.5,,,
2004-04-01,19.116300000000003,84.1,45507.24,15.64102,68.81,37234.18,4.12867,18.16,9828.5,,,
2004-05-01,21.859209999999997,96.17,51403.46,17.88524,78.69,42058.41,4.17955,18.39,9828.5,,,
2004-06-01,22.049429999999997,97.01,51812.02,18.040889999999997,79.37,42392.7,4.1826799999999995,18.4,9828.5,,,
2004-07-01,24.648329999999998,108.44,57387.93,20.167289999999998,88.73,46954.86,4.22138,18.57,9828.5,,,
2004-08-01,21.09479,92.81,49761.86,17.25976,75.94,40715.16,4.16645,18.33,9828.5,,,
2004-09-01,20.71573,91.14,48947.21,16.9496,74.57,40048.59,4.15968,18.3,9828.5,,,
2004-10-01,16.89379,74.33,40719.34,13.822529999999999,60.81,33316.65,4.07768,17.94,9828.5,,,
2004-11-01,13.322619999999999,58.61,32992.97,10.90061,47.96,26994.94,3.9687699999999997,17.46,9828.5,,,
