measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,1347185.0,12225557.0,12225557.0,9.0,139.0,139.0,1149.0,11496.0,11496.0,,,
2003-02-01,1317700.0,12129619.0,12129619.0,32.0,493.0,493.0,219.0,2187.0,2187.0,,,
2003-03-01,1357070.0,12607632.0,12607632.0,13.0,148.0,148.0,289.0,2844.0,2844.0,,,
2003-04-01,1394482.0,13011528.0,13011528.0,11.0,151.0,151.0,301.0,2894.0,2894.0,,,
2003-05-01,1474648.0,14710392.0,14710392.0,32.0,677.0,677.0,813.0,8182.0,8182.0,,,
2003-06-01,1299821.0,13081272.0,13081272.0,11.0,160.0,160.0,511.0,5027.0,5027.0,,,
2003-07-01,1347282.0,13026767.0,13026767.0,21.0,197.0,197.0,780.0,7788.0,7788.0,,,
2003-08-01,1437096.0,14278536.0,14278536.0,11.0,139.0,139.0,396.0,3961.0,3961.0,,,
2003-09-01,1334183.0,12914308.0,12914308.0,10.0,125.0,125.0,540.0,3893.0,3893.0,,,
2003-10-01,1440085.0,13941264.0,13941264.0,56.0,787.0,787.0,836.0,8214.0,8214.0,,,
2003-11-01,1437111.0,13862144.0,13862144.0,12.0,165.0,165.0,450.0,4429.0,4429.0,,,
2003-12-01,1443465.0,13965227.0,13965227.0,12.0,139.0,139.0,643.0,6321.0,6321.0,,,
2004-01-01,1437111.0,13862144.0,13862144.0,10.0,160.0,160.0,766.0,7530.0,7530.0,,,
2004-02-01,1437659.0,13739288.0,13739288.0,31.0,450.0,450.0,140.0,1374.0,1374.0,,,
2004-03-01,1331560.0,12645423.0,12645423.0,18.0,217.0,217.0,297.0,2924.0,2924.0,,,
2004-04-01,1032935.0,9762820.0,9762820.0,20.0,273.0,273.0,900.0,9002.0,9002.0,,,
2004-05-01,1126042.0,10645087.0,10645087.0,27.0,367.0,367.0,1062.0,10669.0,10669.0,,,
2004-06-01,1038859.0,10084305.0,10084305.0,19.0,283.0,283.0,688.0,6861.0,6861.0,,,
2004-07-01,1101657.0,10775115.0,10775115.0,2.0,23.0,23.0,748.0,7095.0,7095.0,,,
2004-08-01,1048740.0,9542370.0,9542370.0,8.0,86.0,86.0,1448.0,14333.0,14333.0,,,
2004-09-01,1013549.0,10084021.0,10084021.0,0.0,0.0,0.0,1073.0,10575.0,10575.0,,,
2004-10-01,1048779.0,10239257.0,10239257.0,0.0,0.0,0.0,841.0,8340.0,8340.0,,,
2004-11-01,1007886.0,9881547.0,9881547.0,10.0,123.0,123.0,522.0,5183.0,5183.0,,,
2004-12-01,1028774.0,10109857.0,10109857.0,23.0,234.0,234.0,1607.0,16626.0,16626.0,,,
2005-01-01,1376786.0,13224789.43,13224789.43,21.0,293.35,293.35,844.0,8374.91,8374.91,,,
2005-02-01,1161139.0,11481895.94,11481895.94,34.0,478.58,478.58,415.0,4128.46,4128.46,,,
2005-03-01,1237294.0,12370882.07,12370882.07,36.0,495.88,495.88,286.0,2848.4,2848.4,,,
2005-04-01,1027358.0,9943327.04,9943327.04,464.0,5395.85,5395.85,530.0,5229.91,5229.91,,,
2005-05-01,902442.0,9233784.19,9233784.19,24.0,217.32,217.32,1359.0,13405.34,13405.34,,,
2005-06-01,1260308.0,12692765.98,12692765.98,7.0,137.83,137.83,759.0,7517.59,7517.59,,,
2005-07-01,1353726.0,13345358.95,13345358.95,7.0,52.55,52.55,552.0,5558.73,5558.73,,,
2005-08-01,1296242.0,13022139.33,13022139.33,0.0,0.0,0.0,1193.0,11835.98,11835.98,,,
2005-09-01,1080191.0,10896277.74,10896277.74,9.0,139.18,139.18,1052.0,10519.39,10519.39,,,
2005-10-01,1215627.0,11805835.29,11805835.29,8.0,174.84,174.84,1522.0,15292.67,15292.67,,,
2005-11-01,1314700.0,12861698.53,12861698.53,9.0,122.07,122.07,851.0,8533.48,8533.48,,,
2005-12-01,1434265.0,14428455.55,14428455.55,15.0,110.45,110.45,759.0,7609.22,7609.22,,,
2006-01-01,1395489.0,13764599.0,13764599.0,12.0,170.0,170.0,463.0,4685.0,4685.0,,,
2006-02-01,1156234.0,11687922.0,11687922.0,0.0,0.0,0.0,880.0,8850.0,8850.0,,,
2006-03-01,1334214.0,13100842.0,13100842.0,11.0,164.0,164.0,1147.0,11563.0,11563.0,,,
2006-04-01,1322794.0,13335488.0,13335488.0,11.0,128.0,128.0,501.0,5025.0,5025.0,,,
2006-05-01,1304981.0,12657990.0,12657990.0,10.0,134.0,134.0,422.0,4241.0,4241.0,,,
2006-06-01,1203466.0,12115561.0,12115561.0,11.0,99.0,99.0,629.0,6326.0,6326.0,,,
