measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,13446.0,146677.0,146677.0,6179.0,70946.5,70946.5,0.0,0.0,0.0
2001-02-01,652.0,7938.0,7938.0,1424.5,16547.0,16547.0,0.0,0.0,0.0
2001-03-01,0.0,0.0,0.0,10892.5,136707.5,136707.5,0.0,0.0,0.0
2001-04-01,0.0,0.0,0.0,19619.5,232189.0,232189.0,0.0,0.0,0.0
2001-05-01,0.0,0.0,0.0,19060.0,229540.0,229540.0,0.0,0.0,0.0
2001-06-01,0.0,0.0,0.0,16291.5,188788.0,188788.0,0.0,0.0,0.0
2001-07-01,0.0,0.0,0.0,23731.5,276269.5,276269.5,0.0,0.0,0.0
2001-08-01,0.0,0.0,0.0,28982.0,354311.5,354311.5,0.0,0.0,0.0
2001-09-01,0.0,0.0,0.0,15139.5,173797.0,173797.0,0.0,0.0,0.0
2001-10-01,0.0,0.0,0.0,24754.0,275165.0,275165.0,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0,1258.0,15451.5,15451.5,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,4842.0,59716.0,59716.0,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,21733.0,255123.0,255123.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,12528.0,120869.0,120869.0,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,1186.0,17252.0,17252.0,,,
2002-06-01,0.0,0.0,0.0,10396.0,106015.0,106015.0,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,2038.0,20513.0,20513.0,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,1858.0,24494.0,24494.0,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
