measured_on,Distillate Fuel Oil - Other - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Other - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Other - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2004-01-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-02-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-03-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-04-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-05-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-06-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-07-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-08-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-09-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-10-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-11-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2004-12-01,,,,,,,19.018349999999998,91.63,1552.92,408.99465,1970.45,33395.95
2005-01-01,,,,,,,14.3619,69.19,1086.82,687.7771,3313.56,52046.72
2005-02-01,,,,,,,12.43421,59.91,963.49,274.22879,1321.18,21249.17
2005-03-01,,,,,,,14.924109999999999,71.9,1149.76,379.56789,1828.68,29242.07
2005-04-01,,,,,,,14.86455,71.61,1178.78,212.90445,1025.73,16883.63
2005-05-01,,,,,,,11.337169999999999,54.62,956.28,82.20582999999999,396.05,6933.99
2005-06-01,,,,,,,21.06629,101.49,1626.91,503.37171,2425.13,38874.45
2005-07-01,,,,,,,27.08458,130.49,2096.5,612.15742,2949.24,47384.45
2005-08-01,,,,,,,29.0702,140.05,2241.47,723.2498,3484.46,55766.48
2005-09-01,,,,,,,19.344469999999998,93.2,1482.75,568.14353,2737.2,43548.09
