measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Other - Combined Cycle Combustion Turbine Part - Other - Generation,Other - Combined Cycle Combustion Turbine Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Combustion Turbine Part - Other - Total Fuel Consumed,Other - Combined Cycle Steam Part - Other - Generation,Other - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Steam Part - Other - Total Fuel Consumed,Other Biomass Gas - Combined Cycle Combustion Turbine Part - Other Renewables - Generation,Other Biomass Gas - Combined Cycle Combustion Turbine Part - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combined Cycle Combustion Turbine Part - Other Renewables - Total Fuel Consumed,Other Biomass Gas - Combined Cycle Steam Part - Other Renewables - Generation,Other Biomass Gas - Combined Cycle Steam Part - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combined Cycle Steam Part - Other Renewables - Total Fuel Consumed,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Other Gases - Combined Cycle Steam Part - Other Gases - Generation,Other Gases - Combined Cycle Steam Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Steam Part - Other Gases - Total Fuel Consumed
2004-01-01,238589.93,2289039.38,2289039.38,65474.39713,20269.27,20269.27,0.0,0.0,0.0,2752.59198,20935.4,97085.04,0.0,0.0,0.0,935.7516,7117.05,33004.34,0.0,0.0,0.0,403.71930000000003,3070.57,14239.34
2004-02-01,214586.31,2061779.02,2077027.81,61003.68041,34276.88,34276.88,0.0,0.0,0.0,3516.21855,26743.32,121694.44,0.0,0.0,0.0,406.03142,3088.15,14052.53,0.0,0.0,0.0,466.61861,3548.96,16149.42
2004-03-01,224698.56,2165823.41,2180712.6,66871.22373,51770.07,51770.07,0.0,0.0,0.0,1784.95464,13575.84,59590.36,0.0,0.0,0.0,542.68883,4127.53,18117.56,0.0,0.0,0.0,367.59180000000003,2795.79,12271.98
2004-04-01,222593.66,2003670.8,2003670.8,61290.98517,22009.78,22009.78,0.0,0.0,0.0,223.61001,1700.71,7390.36,0.0,0.0,0.0,216.65362,1647.8,7160.45,0.0,0.0,0.0,47.0812,358.09,1556.04
2004-05-01,197760.69,1895632.14,2134188.48,60674.25121,69947.52,69947.52,0.0,0.0,0.0,1172.33093,8916.4,42587.7,0.0,0.0,0.0,420.68968,3199.64,15282.55,0.0,0.0,0.0,456.80917,3474.36,16594.68
2004-06-01,147766.89,1322456.27,1514706.47,39540.59113,102148.99,102148.99,0.0,0.0,0.0,370.57028,2818.45,15153.0,0.0,0.0,0.0,452.46110000000004,3441.29,18501.6,0.0,0.0,0.0,419.05749,3187.23,17135.69
2004-07-01,213660.93,2062635.7,2247791.73,68186.71897,81014.09,81014.09,0.0,0.0,0.0,822.48121,6255.55,28090.5,0.0,0.0,0.0,488.03391999999997,3711.84,16668.0,0.0,0.0,0.0,484.38590000000005,3684.1,16543.41
2004-08-01,209803.24,1987400.64,1987400.64,66824.40316,70528.2,70528.2,0.0,0.0,0.0,1617.10906,12299.25,49800.6,0.0,0.0,0.0,518.35709,3942.47,15963.36,0.0,0.0,0.0,439.75069,3344.61,13542.59
2004-09-01,122034.73,928160.03,1152087.5,10860.16326,82599.18,83185.3,0.0,0.0,0.0,52.779289999999996,401.42,6003.3,0.0,0.0,0.0,18.6736,142.03,2124.0,0.0,0.0,0.0,121.53385,924.35,13823.68
2004-10-01,109844.74,835446.58,1028684.7,3670.55789,27917.18,69336.7,0.0,0.0,0.0,131.82261,1002.6,39433.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.63951,339.51,13353.59
2004-11-01,121925.12,971880.27,1304401.25,14852.83971,68412.4,68412.4,0.0,0.0,0.0,941.86386,7163.54,87054.3,0.0,0.0,0.0,29.62099,225.29,2737.8,0.0,0.0,0.0,170.97543000000002,1300.39,15802.86
2004-12-01,221634.33,2096045.15,2144391.92,60033.46359,46236.72,46236.72,0.0,0.0,0.0,2250.92948,17119.9,82136.7,0.0,0.0,0.0,307.26175,2336.94,11212.02,0.0,0.0,0.0,325.45418,2475.31,11875.86
2005-01-01,247599.29,1883166.91,1959685.03,42695.75566,324731.28,403473.83,0.0,0.0,0.0,2642.57282,20098.63,146263.24,0.0,0.0,0.0,243.95488,1855.45,13502.61,0.0,0.0,0.0,374.37664,2847.4,20721.3
2005-02-01,206429.58,1570042.28,1801150.13,37838.23598,287786.42,492596.42,0.0,0.0,0.0,184.67297,1404.57,11194.84,0.0,0.0,0.0,346.49914,2635.37,21004.71,0.0,0.0,0.0,252.11191,1917.49,15282.98
2005-03-01,202115.99,1537234.39,1712280.86,47167.37291,358741.08,496886.46,0.0,0.0,0.0,1990.65184,15140.31,93235.7,0.0,0.0,0.0,388.78857,2957.01,18209.6,0.0,0.0,0.0,471.23768,3584.09,22071.25
2005-04-01,138868.11,1056189.74,1240410.32,29911.57099,227498.56,324583.34,0.0,0.0,0.0,2119.76032,16122.27,110907.3,0.0,0.0,0.0,311.75462,2371.11,16311.21,0.0,0.0,0.0,475.89407,3619.51,24899.1
2005-05-01,155567.63,1183201.35,1420579.44,27551.43533,209548.07,299552.92,0.0,0.0,0.0,744.21432,5660.27,46463.9,0.0,0.0,0.0,333.83091,2539.02,20842.23,0.0,0.0,0.0,228.01844,1734.24,14235.99
2005-06-01,148763.08,1131447.95,1383505.82,27423.07772,208571.82,313373.1,0.0,0.0,0.0,765.4715,5821.95,47365.67,0.0,0.0,0.0,102.64856,780.71,6351.66,0.0,0.0,0.0,285.97122,2175.01,17695.26
2005-07-01,198915.96,1512895.91,1687192.13,60824.28297,462611.49,626928.91,0.0,0.0,0.0,409.68558,3115.95,15586.9,0.0,0.0,0.0,331.63534,2522.32,12617.4,0.0,0.0,0.0,412.54611,3137.7,15695.73
2005-08-01,211646.24,1609718.65,1734620.55,62239.8944,473378.21,570383.74,0.0,0.0,0.0,2636.51331,20052.54,97641.14,0.0,0.0,0.0,334.31439,2542.7,12381.06,0.0,0.0,0.0,519.3879000000001,3950.31,19235.11
2005-09-01,137231.72,1043743.84,1150285.54,40075.71912,304804.06,396478.44,0.0,0.0,0.0,414.46482,3152.3,15996.7,0.0,0.0,0.0,313.65033,2385.53,12105.66,0.0,0.0,0.0,256.26573,1949.08,9890.84
2005-10-01,68124.07,518131.51,731068.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42496.67,0.0,0.0,0.0,0.0,0.0,142.58,0.0,0.0,0.0,0.0,0.0,31787.78
2005-11-01,109758.41,834789.98,1132168.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49288.05,0.0,0.0,0.0,0.0,0.0,14263.56,0.0,0.0,0.0,0.0,0.0,11329.42
2005-12-01,124089.19,943785.65,1163568.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117888.83,0.0,0.0,0.0,0.0,0.0,26740.82,0.0,0.0,0.0,0.0,0.0,21103.45
2006-01-01,213309.79,1622371.12,1683868.17,52392.05512,398478.46,453192.56,0.0,0.0,0.0,1447.64316,11010.35,59049.06,0.0,0.0,0.0,584.52537,4445.73,23842.67,0.0,0.0,0.0,301.23634,2291.11,12287.37
2006-02-01,214636.75,1632463.59,1706377.36,54149.59573,411845.78,476139.75,0.0,0.0,0.0,4105.13211,31222.42,165458.69,0.0,0.0,0.0,270.00302999999997,2053.56,10882.56,0.0,0.0,0.0,194.22014000000001,1477.18,7828.11
