measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111482.0,918115.0,918115.0
2003-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2539.0,76068.0,76068.0
2003-04-01,,,,286.0,3312.0,3312.0,65.0,748.0,748.0,389.0,4498.0,4498.0,70101.0,811347.0,811347.0
2003-05-01,,,,54.0,650.0,650.0,14.0,173.0,173.0,456.0,5522.0,5522.0,65467.0,793583.0,793583.0
2003-06-01,,,,652.0,7372.0,7372.0,0.0,0.0,0.0,0.0,0.0,0.0,74301.0,840580.0,840580.0
2003-07-01,,,,663.0,7511.0,7511.0,9.0,107.0,107.0,649.0,7352.0,7352.0,151434.0,1715222.0,1715222.0
2003-08-01,,,,753.0,8758.0,8758.0,71.0,829.0,829.0,8491.0,98702.0,98702.0,152008.0,1767085.0,1767085.0
2003-09-01,,,,367.0,5991.0,5991.0,0.0,0.0,0.0,0.0,0.0,0.0,55723.0,910547.0,910547.0
2003-10-01,,,,567.0,7372.0,7372.0,0.0,0.0,0.0,0.0,0.0,0.0,20331.0,264504.0,264504.0
2003-11-01,,,,883.0,12110.0,12110.0,0.0,0.0,0.0,0.0,0.0,0.0,90683.0,1243391.0,1243391.0
2003-12-01,,,,863.0,4698.0,4698.0,0.0,0.0,0.0,0.0,0.0,0.0,113780.0,1383781.0,1383781.0
2004-01-01,37074.0,503833.0,503833.0,441.0,5989.0,5989.0,0.0,0.0,0.0,0.0,0.0,0.0,96850.0,1316175.0,1316175.0
