measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2001-01-01,70.807,761.5,761.5,7.514,97.0,97.0,,,
2001-02-01,2.0105000000000004,25.5,25.5,6.281000000000001,81.0,81.0,,,
2001-03-01,3.4015,38.5,38.5,5.827,75.0,75.0,,,
2001-04-01,6.7985,75.0,75.0,5.4,70.0,70.0,,,
2001-05-01,6.0555,69.5,69.5,6.4670000000000005,84.0,84.0,,,
2001-06-01,1.663,21.0,21.0,6.914000000000001,89.0,89.0,,,
2001-07-01,18.86,204.5,204.5,7.735,100.0,100.0,,,
2001-08-01,5.3485,61.5,61.5,7.686,99.0,99.0,,,
2001-09-01,1.691,21.5,21.5,7.031000000000001,91.0,91.0,,,
2001-10-01,1.6425,21.0,21.0,6.829000000000001,88.0,88.0,,,
2001-11-01,1.333,17.0,17.0,5.543,72.0,72.0,,,
2001-12-01,4.8885000000000005,55.5,55.5,5.773000000000001,75.0,75.0,,,
2002-01-01,2.5875,31.5,31.5,27.828000000000003,345.0,345.0,,,
2002-02-01,2.4795000000000003,30.5,30.5,26.662000000000003,331.0,331.0,,,
2002-03-01,3.8675,46.0,46.0,25.461000000000002,316.0,316.0,,,
2002-04-01,4.862,55.0,55.0,25.401,315.0,315.0,,,
2002-05-01,2.0525,25.0,25.0,22.075,274.0,274.0,,,
2002-06-01,2.6,32.0,32.0,27.963,347.0,347.0,,,
2002-07-01,8.525,95.0,95.0,32.532000000000004,404.0,404.0,,,
2002-08-01,7.7745,86.0,86.0,29.836000000000002,370.0,370.0,,,
2002-09-01,2.4825,30.5,30.5,26.697000000000003,331.0,331.0,,,
2002-10-01,2.438,30.0,30.0,26.218,325.0,325.0,,,
2002-11-01,2.579,31.5,31.5,27.736,344.0,344.0,,,
2002-12-01,2.7515,33.5,33.5,29.591,367.0,367.0,,,
2003-01-01,2.359,28.0,28.0,41.428000000000004,502.0,502.0,,,
2003-02-01,18.549500000000002,198.5,198.5,35.991,436.0,436.0,,,
2003-03-01,17.337,184.5,184.5,32.26,391.0,391.0,,,
2003-04-01,1.6005,19.0,19.0,28.104000000000003,341.0,341.0,,,
2003-05-01,1.772,21.0,21.0,31.119,377.0,377.0,,,
2003-06-01,1.846,22.0,22.0,32.42,393.0,393.0,,,
2003-07-01,2.521,30.0,30.0,44.267,537.0,537.0,,,
2003-08-01,2.4695,29.5,29.5,43.362,526.0,526.0,,,
2003-09-01,2.0635,24.5,24.5,36.234,439.0,439.0,,,
2003-10-01,1.9760000000000002,23.5,23.5,34.701,421.0,421.0,,,
2003-11-01,2.1745,26.0,26.0,38.184000000000005,463.0,463.0,,,
2003-12-01,2.331,27.5,27.5,40.93,496.0,496.0,,,
2004-01-01,6.963,83.0,83.0,9.215,111.0,111.0,,,
2004-02-01,4.258,50.0,50.0,9.16,111.0,111.0,,,
2004-03-01,2.6035000000000004,31.0,31.0,10.482000000000001,127.0,127.0,,,
2004-04-01,1.8150000000000002,21.0,21.0,10.178,123.0,123.0,,,
2004-05-01,2.0300000000000002,23.5,23.5,11.303,137.0,137.0,,,
2004-06-01,1.8145,21.5,21.5,11.494,139.0,139.0,,,
2004-07-01,1.9045,22.5,22.5,12.12,147.0,147.0,,,
2004-08-01,2.6330000000000005,30.5,30.5,11.232000000000001,136.0,136.0,,,
2004-09-01,3.6845000000000003,41.0,41.0,10.534,127.0,127.0,,,
2004-10-01,2.4,28.5,28.5,10.492,127.0,127.0,,,
2004-11-01,4.172499999999999,45.5,45.5,9.56,116.0,116.0,,,
2004-12-01,4.721,56.0,56.0,9.231,112.0,112.0,,,
2005-01-01,12.4055,136.985,136.985,19.461000000000002,243.68,243.68,,,
2005-02-01,4.2620000000000005,47.065,47.065,15.569,194.95,194.95,,,
2005-03-01,4.724,52.17,52.17,21.605,270.53,270.53,,,
2005-04-01,5.722,63.19,63.19,20.508000000000003,256.8,256.8,,,
2005-05-01,5.314500000000001,58.685,58.685,19.611,245.56,245.56,,,
2005-06-01,6.897500000000001,76.17,76.17,37.02,463.55,463.55,,,
2005-07-01,7.0205,77.53,77.53,48.735,610.24,610.24,,,
2005-08-01,8.248000000000001,91.08,91.08,48.413000000000004,606.22,606.22,,,
2005-09-01,5.399000000000001,59.620000000000005,59.620000000000005,29.311,367.02,367.02,,,
2005-10-01,5.995500000000001,66.205,66.205,20.783,260.24,260.24,,,
2005-11-01,4.82,53.225,53.225,18.215,228.08,228.08,,,
2005-12-01,10.192,112.55000000000001,112.55000000000001,22.77,285.12,285.12,,,
2006-01-01,9.108,133.5,133.5,4.782,339.0,339.0,,,
2006-02-01,4.766,69.5,69.5,5.406000000000001,383.0,383.0,,,
2006-03-01,4.0035,59.0,59.0,7.1240000000000006,505.0,505.0,,,
2006-04-01,7.6690000000000005,112.5,112.5,5.895,418.0,418.0,,,
2006-05-01,7.168500000000001,105.0,105.0,7.765,551.0,551.0,,,
2006-06-01,6.516,95.5,95.5,10.003,710.0,710.0,,,
2006-07-01,9.438,138.5,138.5,17.9,1270.0,1270.0,,,
2006-08-01,9.155,134.0,134.0,15.905,1128.0,1128.0,,,
2006-09-01,4.206,61.5,61.5,9.356,664.0,664.0,,,
2006-10-01,4.443,65.0,65.0,10.134,719.0,719.0,,,
2006-11-01,5.2315000000000005,76.5,76.5,6.813000000000001,483.0,483.0,,,
2006-12-01,5.7965,85.0,85.0,6.916,491.0,491.0,,,
2007-01-01,3.4835,85.5,85.5,32.242000000000004,3526.0,3526.0,,,
2007-02-01,3.637,63.5,63.5,25.138,2749.0,2749.0,,,
2007-03-01,2.8875,37.5,37.5,10.73,1173.0,1173.0,,,
2007-04-01,3.052,38.0,38.0,5.7540000000000004,629.0,629.0,,,
2007-05-01,3.7155,103.0,103.0,16.804000000000002,1837.0,1837.0,,,
2007-06-01,4.1205,91.5,91.5,13.91,1521.0,1521.0,,,
2007-07-01,2.904,37.5,37.5,48.013000000000005,5250.0,5250.0,,,
2007-08-01,2.5985,60.0,60.0,48.494,5303.0,5303.0,,,
2007-09-01,2.206,28.5,28.5,9.341000000000001,1021.0,1021.0,,,
2007-10-01,3.1250000000000004,38.0,38.0,6.482,709.0,709.0,,,
2007-11-01,2.7795,54.5,54.5,2.942,322.0,322.0,,,
2007-12-01,4.5745000000000005,55.0,55.0,4.9830000000000005,545.0,545.0,,,
2008-01-01,1.2635,37.0,37.0,7.716,636.0,636.0,,,
2008-02-01,0.6220000000000001,11.5,11.5,2.365,195.0,195.0,,,
2008-03-01,1.118,28.5,28.5,5.947,490.0,490.0,,,
2008-04-01,0.802,20.0,20.0,1.6620000000000001,137.0,137.0,,,
2008-05-01,0.6815,11.5,11.5,1.284,106.0,106.0,,,
2008-06-01,1.109,14.5,14.5,8.026,661.0,661.0,,,
2008-07-01,0.9440000000000001,17.0,17.0,22.118000000000002,1822.0,1822.0,,,
2008-08-01,1.1225,28.5,28.5,26.42,2177.0,2177.0,,,
2008-09-01,1.134,39.5,39.5,3.581,295.0,295.0,,,
2008-10-01,1.7890000000000001,87.5,87.5,5.005,412.0,412.0,,,
2008-11-01,0.8575,20.0,20.0,10.06,829.0,829.0,,,
2008-12-01,1.2315,23.0,23.0,10.467,862.0,862.0,,,
2009-01-01,1.9230000000000003,29.0,29.0,6.77,887.0,887.0,,,
2009-02-01,1.7750000000000001,32.0,32.0,2.129,279.0,279.0,,,
