measured_on,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2012-01-01,0.0,0.0,8707.0,966.044,9176.0,9176.0
2012-02-01,0.0,0.0,8138.0,902.716,8573.0,8573.0
2012-03-01,0.0,0.0,8648.0,959.314,9111.0,9111.0
2012-04-01,0.0,0.0,7733.0,857.812,8147.0,8147.0
2012-05-01,0.0,0.0,7676.0,851.489,8087.0,8087.0
2012-06-01,0.0,0.0,9762.0,1082.865,10284.0,10284.0
2012-07-01,0.0,0.0,12943.0,1435.709,13635.0,13635.0
2012-08-01,0.0,0.0,13052.0,1447.79,13750.0,13750.0
2012-09-01,0.0,0.0,11274.0,1250.644,11878.0,11878.0
2012-10-01,0.0,0.0,11406.0,1265.204,12016.0,12016.0
2012-11-01,0.0,0.0,11764.0,1304.982,12394.0,12394.0
2012-12-01,0.0,0.0,10164.0,1127.431,10708.0,10708.0
2013-01-01,,,,980.283,9258.0,9258.0
2013-02-01,,,,934.014,8822.0,8822.0
2013-03-01,,,,1000.637,9451.0,9451.0
2013-04-01,,,,942.133,8898.0,8898.0
2013-05-01,,,,1076.322,10166.0,10166.0
2013-06-01,,,,942.905,8905.0,8905.0
2013-07-01,,,,1244.81,11757.0,11757.0
2013-08-01,,,,1104.328,10431.0,10431.0
2013-09-01,,,,1028.324,9713.0,9713.0
2013-10-01,,,,921.768,8707.0,8707.0
2013-11-01,,,,943.159,8908.0,8908.0
2013-12-01,,,,889.257,8399.0,8399.0
2014-01-01,,,,709.219,6760.0,6760.0
2014-02-01,,,,775.799,7393.0,7393.0
2014-03-01,,,,820.39,7819.0,7819.0
2014-04-01,,,,1026.109,9780.0,9780.0
2014-05-01,,,,946.966,9025.0,9025.0
2014-06-01,,,,1055.748,10062.0,10062.0
2014-07-01,,,,1319.236,12573.0,12573.0
2014-08-01,,,,1255.837,11969.0,11969.0
2014-09-01,,,,949.399,9049.0,9049.0
2014-10-01,,,,830.527,7916.0,7916.0
2014-11-01,,,,1005.626,9584.0,9584.0
2014-12-01,,,,1173.144,11181.0,11181.0
2015-01-01,,,,831.489,7950.0,7950.0
2015-02-01,,,,581.993,5566.0,5566.0
2015-03-01,,,,653.641,6250.0,6250.0
2015-04-01,,,,694.413,6641.0,6641.0
2015-05-01,,,,662.094,6331.0,6331.0
2015-06-01,,,,713.925,6828.0,6828.0
2015-07-01,,,,857.238,8198.0,8198.0
2015-08-01,,,,920.081,8799.0,8799.0
2015-09-01,,,,802.311,7672.0,7672.0
2015-10-01,,,,799.607,7647.0,7647.0
2015-11-01,,,,767.534,7340.0,7340.0
2015-12-01,,,,874.674,8364.0,8364.0
2016-01-01,,,,624.661,4736.0,5995.0
2016-02-01,,,,572.456,4340.0,5493.0
2016-03-01,,,,525.375,3984.0,5042.0
2016-04-01,,,,667.643,5062.0,6407.0
2016-05-01,,,,599.98,4549.0,5758.0
2016-06-01,,,,540.169,4096.0,5183.0
2016-07-01,,,,655.736,4972.0,6292.0
2016-08-01,,,,703.724,5336.0,6753.0
2016-09-01,,,,579.266,4392.0,5559.0
2016-10-01,,,,569.373,4317.0,5463.0
2016-11-01,,,,580.852,4404.0,5574.0
2016-12-01,,,,557.765,4229.0,5353.0
2017-01-01,,,,1251.288,9681.0,12651.0
2017-02-01,,,,1001.037,7745.0,10121.0
2017-03-01,,,,947.115,7328.0,9577.0
2017-04-01,,,,860.573,6658.0,8702.0
2017-05-01,,,,777.72,6017.0,7864.0
2017-06-01,,,,911.562,7053.0,9218.0
2017-07-01,,,,1243.277,9619.0,12572.0
2017-08-01,,,,1239.802,9592.0,12537.0
2017-09-01,,,,917.082,7095.0,9273.0
2017-10-01,,,,1089.038,8426.0,11012.0
2017-11-01,,,,1221.145,9448.0,12348.0
2017-12-01,,,,1233.321,9542.0,12471.0
2018-01-01,,,,988.727,7650.0,9715.0
2018-02-01,,,,969.545,7501.0,9527.0
2018-03-01,,,,1146.999,8874.0,11271.0
2018-04-01,,,,969.619,7502.0,9527.0
2018-05-01,,,,909.391,7036.0,8936.0
2018-06-01,,,,1235.458,9559.0,12141.0
2018-07-01,,,,1487.714,11510.0,14619.0
2018-08-01,,,,1555.453,12034.0,15284.0
2018-09-01,,,,1289.778,9979.0,12674.0
2018-10-01,,,,1287.292,9960.0,12650.0
2018-11-01,,,,1362.434,10541.0,13388.0
2018-12-01,,,,1422.13,11003.0,13974.0
2019-01-01,,,,883.013,6695.0,8997.0
2019-02-01,,,,789.064,5983.0,8040.0
2019-03-01,,,,795.915,6035.0,8110.0
2019-04-01,,,,869.69,6594.0,8862.0
2019-05-01,,,,828.968,6285.0,8447.0
2019-06-01,,,,906.58,6874.0,9237.0
2019-07-01,,,,1215.221,9214.0,12382.0
2019-08-01,,,,1111.017,8424.0,11320.0
2019-09-01,,,,894.699,6784.0,9117.0
2019-10-01,,,,742.609,5631.0,7567.0
2019-11-01,,,,935.047,7090.0,9527.0
2019-12-01,,,,1162.177,8812.0,11841.0
2020-01-01,,,,1241.174,9411.0,11435.0
2020-02-01,,,,1163.053,8819.0,10714.0
2020-03-01,,,,1054.06,7992.0,9710.0
2020-04-01,,,,1079.102,8182.0,9941.0
2020-05-01,,,,956.732,7254.0,8814.0
2020-06-01,,,,1279.108,9698.0,11785.0
2020-07-01,,,,1537.594,11658.0,14165.0
2020-08-01,,,,1369.919,10387.0,12621.0
2020-09-01,,,,1207.531,9156.0,11125.0
2020-10-01,,,,985.679,7474.0,9081.0
2020-11-01,,,,1101.955,8355.0,10152.0
2020-12-01,,,,1243.093,9425.0,11452.0
2021-01-01,,,,862.231,6671.0,8544.0
2021-02-01,,,,794.387,6146.0,7872.0
2021-03-01,,,,886.644,6860.0,8787.0
2021-04-01,,,,680.485,5265.0,6744.0
2021-05-01,,,,760.636,5885.0,7538.0
2021-06-01,,,,977.403,7562.0,9686.0
2021-07-01,,,,995.556,7703.0,9866.0
2021-08-01,,,,1070.714,8284.0,10611.0
2021-09-01,,,,900.9,6970.0,8928.0
2021-10-01,,,,776.517,6008.0,7695.0
2021-11-01,,,,1068.385,8266.0,10588.0
2021-12-01,,,,921.862,7132.0,9135.0
2022-01-01,,,,804.076,6097.0,7904.0
2022-02-01,,,,650.275,4931.0,6393.0
2022-03-01,,,,833.912,6323.0,8199.0
2022-04-01,,,,659.903,5004.0,6487.0
2022-05-01,,,,696.128,5278.0,6844.0
2022-06-01,,,,899.108,6817.0,8839.0
2022-07-01,,,,1067.001,8090.0,10490.0
2022-08-01,,,,1081.334,8199.0,10631.0
2022-09-01,,,,956.11,7249.0,9400.0
2022-10-01,,,,763.679,5790.0,7508.0
2022-11-01,,,,841.277,6379.0,8271.0
2022-12-01,,,,703.197,5332.0,6914.0
2023-01-01,,,,846.607,6419.0,8278.0
2023-02-01,,,,726.044,5505.0,7099.0
2023-03-01,,,,915.923,6945.0,8956.0
2023-04-01,,,,863.903,6550.0,8447.0
2023-05-01,,,,683.729,5184.0,6686.0
2023-06-01,,,,1024.939,7771.0,10022.0
2023-07-01,,,,1035.414,7851.0,10124.0
2023-08-01,,,,934.944,7089.0,9142.0
2023-09-01,,,,884.972,6710.0,8653.0
2023-10-01,,,,763.22,5787.0,7462.0
2023-11-01,,,,906.192,6871.0,8860.0
2023-12-01,,,,876.113,6643.0,8567.0
2024-01-01,,,,593.5,4500.0,6986.0
2024-02-01,,,,515.899,3912.0,6073.0
2024-03-01,,,,593.013,4496.0,6981.0
2024-04-01,,,,449.893,3411.0,5296.0
2024-05-01,,,,482.275,3657.0,5677.0
2024-06-01,,,,623.471,4727.0,7339.0
2024-07-01,,,,741.331,5621.0,8726.0
2024-08-01,,,,727.27,5514.0,8561.0
2024-09-01,,,,660.728,5010.0,7778.0
2024-10-01,,,,614.88,4662.0,7238.0
2024-11-01,,,,665.419,5045.0,7832.0
2024-12-01,,,,666.321,5052.0,7844.0
