measured_on,Agricultural By-Products - Other - Other Renewables - Generation,Agricultural By-Products - Other - Other Renewables - Quantity Consumed For Electricity,Agricultural By-Products - Other - Other Renewables - Total Fuel Consumed
2022-07-01,1552.757,43190.0,43190.0
2022-08-01,1633.46,45434.0,45434.0
2022-09-01,1583.35,44048.0,44048.0
2022-10-01,1593.849,44339.0,44339.0
2022-11-01,1353.484,37646.0,37646.0
2022-12-01,1543.1,42926.0,42926.0
2023-01-01,1863.0,52853.0,52853.0
2023-02-01,1606.0,45566.0,45566.0
2023-03-01,243.0,6904.0,6904.0
2023-04-01,1570.0,44537.0,44537.0
2023-05-01,1952.0,55387.0,55387.0
2023-06-01,1762.0,50002.0,50002.0
2023-07-01,1595.0,45250.0,45250.0
2023-08-01,1789.0,50754.0,50754.0
2023-09-01,1603.0,45474.0,45474.0
2023-10-01,470.0,13332.0,13332.0
2023-11-01,1532.0,43468.0,43468.0
2023-12-01,1329.0,37712.0,37712.0
2024-01-01,1929.726,54410.0,54410.0
2024-02-01,1679.606,47362.0,47362.0
2024-03-01,2014.354,56800.0,56800.0
2024-04-01,1650.599,46543.0,46543.0
2024-05-01,1948.376,54938.0,54938.0
2024-06-01,1817.952,51256.0,51256.0
2024-07-01,1884.334,53130.0,53130.0
2024-08-01,1904.299,53698.0,53698.0
2024-09-01,1825.923,51480.0,51480.0
2024-10-01,1766.983,49830.0,49830.0
2024-11-01,1884.524,53143.0,53143.0
2024-12-01,1971.324,55585.0,55585.0
