measured_on,"Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2007-07-01,0.0,0.0,0.0,1323.0,6473.0,15302.0
2007-08-01,0.0,0.0,0.0,974.12,4766.0,14886.0
2007-09-01,0.0,0.0,0.0,1112.3,5442.0,13996.0
2007-10-01,0.0,0.0,0.0,1192.66,5835.0,14610.0
2007-11-01,0.0,0.0,0.0,1296.54,6343.0,16581.0
2007-12-01,0.0,0.0,0.0,1425.9,6977.0,18221.0
2008-01-01,,,,1.2730000000000001,6.0,17.0
2008-02-01,,,,1.207,6.0,17.0
2008-03-01,,,,1.183,6.0,16.0
2008-04-01,,,,1.238,6.0,17.0
2008-05-01,,,,0.879,4.0,12.0
2008-06-01,,,,0.8170000000000001,4.0,11.0
2008-07-01,,,,1.129,6.0,16.0
2008-08-01,,,,1.417,7.0,20.0
2008-09-01,,,,1.244,6.0,17.0
2008-10-01,,,,1.145,6.0,16.0
2008-11-01,,,,1.0470000000000002,5.0,14.0
2008-12-01,,,,1.141,6.0,16.0
2009-01-01,,,,1.4340000000000002,7.0,18.0
2009-02-01,,,,1.359,7.0,18.0
2009-03-01,,,,1.29,6.0,17.0
2009-04-01,,,,1.045,5.0,14.0
2009-05-01,,,,1.084,5.0,14.0
2009-06-01,,,,0.95,5.0,13.0
2009-07-01,,,,1.393,7.0,18.0
2009-08-01,,,,1.211,6.0,16.0
2009-09-01,,,,1.34,6.0,17.0
2009-10-01,,,,0.5760000000000001,3.0,7.0
2009-11-01,,,,0.8330000000000001,4.0,11.0
2009-12-01,,,,1.485,7.0,19.0
2010-01-01,,,,1.358,7.0,18.0
2010-02-01,,,,1.1760000000000002,6.0,15.0
2010-03-01,,,,1.245,6.0,16.0
2010-04-01,,,,1.086,5.0,14.0
2010-05-01,,,,0.9650000000000001,5.0,13.0
2010-06-01,,,,0.913,4.0,12.0
2010-07-01,,,,1.31,6.0,17.0
2010-08-01,,,,1.339,6.0,17.0
2010-09-01,,,,1.1860000000000002,6.0,15.0
2010-10-01,,,,1.108,5.0,14.0
2010-11-01,,,,1.226,6.0,16.0
2010-12-01,,,,1.088,5.0,14.0
2011-01-01,,,,1.304,6.0,17.0
2011-02-01,,,,1.248,6.0,15.0
2011-03-01,,,,1.095,5.0,14.0
2011-04-01,,,,1.088,5.0,12.0
2011-05-01,,,,1.135,5.0,14.0
2011-06-01,,,,0.782,4.0,9.0
2011-07-01,,,,1.522,7.0,18.0
2011-08-01,,,,1.564,7.0,19.0
2011-09-01,,,,1.37,7.0,17.0
2011-10-01,,,,1.243,6.0,15.0
2011-11-01,,,,1.162,6.0,14.0
2011-12-01,,,,1.487,7.0,18.0
2012-01-01,,,,1.094,6.0,15.0
2012-02-01,,,,1.107,6.0,15.0
2012-03-01,,,,1.151,6.0,15.0
2012-04-01,,,,0.968,5.0,13.0
2012-05-01,,,,1.184,7.0,16.0
2012-06-01,,,,1.213,7.0,16.0
2012-07-01,,,,1.253,7.0,17.0
2012-08-01,,,,1.305,7.0,17.0
2012-09-01,,,,1.099,6.0,15.0
2012-10-01,,,,0.737,4.0,9.0
2012-11-01,,,,0.899,5.0,11.0
2012-12-01,,,,0.99,5.0,13.0
2013-01-01,0.0,0.0,0.0,1.089,6.0,15.0
2013-02-01,0.0,0.0,0.0,0.943,5.0,13.0
2013-03-01,0.0,0.0,0.0,0.971,5.0,13.0
2013-04-01,0.0,0.0,0.0,0.979,5.0,13.0
2013-05-01,0.0,0.0,0.0,0.664,4.0,8.0
2013-06-01,0.0,0.0,0.0,0.83,5.0,11.0
2013-07-01,0.0,0.0,0.0,1.254,7.0,17.0
2013-08-01,0.0,0.0,0.0,1.341,7.0,18.0
2013-09-01,0.0,0.0,0.0,1.234,7.0,16.0
2013-10-01,0.0,0.0,0.0,1.148,6.0,15.0
2013-11-01,0.0,0.0,0.0,1.169,6.0,16.0
2013-12-01,0.0,0.0,0.0,1.378,8.0,18.0
2014-01-01,0.0,0.0,0.0,1.06,5.0,14.0
2014-02-01,0.0,0.0,0.0,0.922,4.0,13.0
2014-03-01,0.0,0.0,0.0,0.915,4.0,11.0
2014-04-01,0.0,0.0,0.0,0.787,4.0,10.0
2014-05-01,0.0,0.0,0.0,0.98,5.0,13.0
2014-06-01,0.0,0.0,0.0,1.42,7.0,19.0
2014-07-01,0.0,0.0,0.0,1.662,8.0,22.0
2014-08-01,0.0,0.0,0.0,1.507,7.0,20.0
2014-09-01,0.0,0.0,0.0,1.261,6.0,17.0
2014-10-01,0.0,0.0,0.0,1.191,6.0,16.0
2014-11-01,0.0,0.0,0.0,1.169,6.0,16.0
2014-12-01,0.0,0.0,0.0,1.126,5.0,15.0
2015-01-01,0.0,0.0,0.0,0.986,5.0,14.0
2015-02-01,0.0,0.0,0.0,0.821,4.0,11.0
2015-03-01,0.0,0.0,0.0,0.863,4.0,11.0
2015-04-01,0.0,0.0,0.0,0.98,5.0,14.0
2015-05-01,0.0,0.0,0.0,1.178,6.0,16.0
2015-06-01,0.0,0.0,0.0,1.354,6.0,19.0
2015-07-01,0.0,0.0,0.0,1.411,7.0,19.0
2015-08-01,0.0,0.0,0.0,1.502,7.0,20.0
2015-09-01,0.0,0.0,0.0,1.27,6.0,17.0
2015-10-01,0.0,0.0,0.0,1.088,5.0,15.0
2015-11-01,0.0,0.0,0.0,1.217,6.0,17.0
2015-12-01,0.0,0.0,0.0,1.33,6.0,18.0
2016-01-01,0.0,0.0,0.0,1.152,10.0,16.0
2016-02-01,0.0,0.0,0.0,0.999,9.0,14.0
2016-03-01,0.0,0.0,0.0,1.111,9.0,15.0
2016-04-01,0.0,0.0,0.0,1.241,11.0,17.0
2016-05-01,0.0,0.0,0.0,1.259,11.0,17.0
2016-06-01,0.0,0.0,0.0,1.463,12.0,20.0
2016-07-01,0.0,0.0,0.0,1.51,13.0,21.0
2016-08-01,0.0,0.0,0.0,1.43,12.0,20.0
2016-09-01,0.0,0.0,0.0,1.061,9.0,15.0
2016-10-01,0.0,0.0,0.0,0.932,8.0,13.0
2016-11-01,0.0,0.0,0.0,0.809,7.0,11.0
2016-12-01,0.0,0.0,0.0,1.033,9.0,14.0
2017-01-01,0.0,0.0,0.0,1.614,14.0,22.0
2017-02-01,0.0,0.0,0.0,0.886,8.0,13.0
2017-03-01,0.0,0.0,0.0,0.727,6.0,10.0
2017-04-01,0.0,0.0,0.0,0.71,6.0,10.0
2017-05-01,0.0,0.0,0.0,0.788,7.0,11.0
2017-06-01,0.0,0.0,0.0,1.124,10.0,16.0
2017-07-01,0.0,0.0,0.0,1.59,14.0,23.0
2017-08-01,0.0,0.0,0.0,1.873,16.0,27.0
2017-09-01,0.0,0.0,0.0,1.1,9.0,16.0
2017-10-01,0.0,0.0,0.0,0.624,5.0,8.0
2017-11-01,0.0,0.0,0.0,0.736,6.0,10.0
2017-12-01,0.0,0.0,0.0,1.228,10.0,18.0
2018-01-01,0.0,0.0,0.0,0.948,8.0,13.0
2018-02-01,0.0,0.0,0.0,0.806,7.0,12.0
2018-03-01,0.0,0.0,0.0,0.772,7.0,12.0
2018-04-01,0.0,0.0,0.0,0.813,7.0,12.0
2018-05-01,0.0,0.0,0.0,0.951,8.0,14.0
2018-06-01,0.0,0.0,0.0,1.08,9.0,15.0
2018-07-01,0.0,0.0,0.0,1.91,16.0,28.0
2018-08-01,0.0,0.0,0.0,1.893,16.0,28.0
2018-09-01,0.0,0.0,0.0,1.511,13.0,22.0
2018-10-01,0.0,0.0,0.0,1.533,13.0,22.0
2018-11-01,0.0,0.0,0.0,1.337,11.0,20.0
2018-12-01,0.0,0.0,0.0,1.446,12.0,21.0
2019-01-01,0.0,0.0,0.0,1.22,10.0,15.0
2019-02-01,0.0,0.0,0.0,1.206,10.0,16.0
2019-03-01,0.0,0.0,0.0,1.327,11.0,17.0
2019-04-01,0.0,0.0,0.0,0.865,7.0,11.0
2019-05-01,0.0,0.0,0.0,1.112,9.0,15.0
2019-06-01,0.0,0.0,0.0,1.084,9.0,14.0
2019-07-01,0.0,0.0,0.0,1.522,13.0,20.0
2019-08-01,0.0,0.0,0.0,1.464,12.0,19.0
2019-09-01,0.0,0.0,0.0,1.04,9.0,14.0
2019-10-01,0.0,0.0,0.0,0.931,8.0,11.0
2019-11-01,0.0,0.0,0.0,1.022,9.0,14.0
2019-12-01,0.0,0.0,0.0,1.207,10.0,16.0
2020-01-01,0.0,0.0,0.0,1125.747,9603.0,13839.0
2020-02-01,0.0,0.0,0.0,1077.323,9190.0,13243.0
2020-03-01,0.0,0.0,0.0,747.823,6379.0,9193.0
2020-04-01,0.0,0.0,0.0,570.068,4863.0,7008.0
2020-05-01,0.0,0.0,0.0,749.368,6392.0,9212.0
2020-06-01,0.0,0.0,0.0,954.653,8143.0,11735.0
2020-07-01,0.0,0.0,0.0,1309.301,11168.0,16095.0
2020-08-01,0.0,0.0,0.0,1471.492,12552.0,18089.0
2020-09-01,0.0,0.0,0.0,1279.401,10913.0,15727.0
2020-10-01,0.0,0.0,0.0,1055.677,9005.0,12977.0
2020-11-01,0.0,0.0,0.0,834.688,7120.0,10261.0
2020-12-01,0.0,0.0,0.0,1196.459,10206.0,14707.0
2021-01-01,0.0,0.0,0.0,936.174,7986.0,11660.0
2021-02-01,0.0,0.0,0.0,781.981,6670.0,9741.0
2021-03-01,0.0,0.0,0.0,805.698,6873.0,10036.0
2021-04-01,0.0,0.0,0.0,839.923,7165.0,10463.0
2021-05-01,0.0,0.0,0.0,922.137,7866.0,11487.0
2021-06-01,0.0,0.0,0.0,1168.087,9964.0,14551.0
2022-11-01,0.0,0.0,0.0,7274.719,59123.0,59123.0
2022-12-01,0.0,0.0,0.0,7710.281,62664.0,62664.0
2023-01-01,0.0,0.0,0.0,1249.211,11134.0,11785.0
2023-02-01,0.0,0.0,0.0,1185.696,10567.0,11186.0
2023-03-01,0.0,0.0,0.0,1305.171,11632.0,12314.0
2023-04-01,0.0,0.0,0.0,1023.868,9125.0,9660.0
2023-05-01,0.0,0.0,0.0,1051.689,9373.0,9922.0
2023-06-01,0.0,0.0,0.0,1076.207,9592.0,10154.0
2023-07-01,0.0,0.0,0.0,1314.991,11720.0,12406.0
2023-08-01,0.0,0.0,0.0,1426.072,12710.0,13455.0
2023-09-01,0.0,0.0,0.0,1378.017,12282.0,13001.0
2023-10-01,0.0,0.0,0.0,968.595,8633.0,9139.0
2023-11-01,0.0,0.0,0.0,1109.213,9886.0,10464.0
2023-12-01,0.0,0.0,0.0,1296.27,11553.0,12230.0
2024-01-01,0.0,0.0,0.0,1467.132,13072.0,17853.0
2024-02-01,0.0,0.0,0.0,1328.311,11835.0,16164.0
2024-03-01,0.0,0.0,0.0,1150.955,10255.0,14006.0
2024-04-01,0.0,0.0,0.0,858.004,7645.0,10441.0
2024-05-01,0.0,0.0,0.0,1018.174,9072.0,12391.0
2024-06-01,0.0,0.0,0.0,1212.42,10802.0,14754.0
2024-07-01,0.0,0.0,0.0,1432.887,12767.0,17437.0
2024-08-01,0.0,0.0,0.0,1425.99,12705.0,17353.0
2024-09-01,0.0,0.0,0.0,1187.88,10584.0,14455.0
2024-10-01,0.0,0.0,0.0,1275.093,11361.0,15516.0
2024-11-01,0.0,0.0,0.0,1014.271,9037.0,12342.0
2024-12-01,0.0,0.0,0.0,1314.883,11715.0,16001.0
