measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2003-01-01,3652.0,18629.0,55922.0,,,,,,,67773.0,345722.0,1037804.0,0.0,0.0,0.0,,,,,,,,,
2003-02-01,0.0,0.0,0.0,,,,,,,53796.0,298738.0,899385.0,0.0,0.0,0.0,,,,,,,,,
2003-03-01,5233.0,31401.0,73315.0,,,,,,,61581.0,369538.0,862788.0,0.0,0.0,0.0,,,,,,,,,
2003-04-01,16.49,96.0,218.0,,,,,,,52165.63,302609.0,687844.0,0.0,0.0,0.0,,,,,,,,,
2003-05-01,0.0,0.0,0.0,,,,,,,54935.95,368054.0,672106.0,0.0,0.0,0.0,,,,,,,,,
2003-06-01,2838.22,20301.0,32794.0,,,,,,,57607.33,412036.0,665586.0,0.0,0.0,0.0,,,,,,,,,
2003-07-01,664.45,4563.0,6826.0,,,,,,,77352.65,531488.0,795267.0,0.0,0.0,0.0,,,,,,,,,
2003-08-01,0.0,0.0,0.0,,,,,,,75291.4,597475.0,815093.0,0.0,0.0,0.0,,,,,,,,,
2003-09-01,0.0,0.0,0.0,,,,,,,68245.32,516569.0,754058.0,0.0,0.0,0.0,,,,,,,,,
2003-10-01,0.0,0.0,0.0,,,,,,,68441.26,470930.0,810861.0,0.0,0.0,0.0,,,,,,,,,
2003-11-01,0.0,0.0,0.0,,,,,,,61040.0,388609.0,771421.0,0.0,0.0,0.0,,,,,,,,,
2003-12-01,5129.0,30074.0,70773.0,,,,,,,59003.0,345926.0,814079.0,0.0,0.0,0.0,,,,,,,,,
2004-01-01,4596.81371,31730.47,71156.18,1410.73296,0.0,0.0,,,,20489.23529,108219.39,317162.24,8989.23804,47479.07,136247.35,,,,,,,,,
2004-02-01,1143.79637,8060.39,14865.31,382.28216,0.0,0.0,,,,40908.75863,216070.58,531669.32,20813.58484,109932.53,277681.61,,,,,,,,,
2004-03-01,229.0044,1550.11,2925.05,64.47916,0.0,0.0,,,,22282.692600000002,117692.02,284614.77,8847.73784,46731.7,116756.67,,,,,,,,,
2004-04-01,67.39349,435.21,856.05,15.00479,0.0,0.0,,,,14354.37351,75816.47,182334.01,4153.01521,21935.26,54604.17,,,,,,,,,
2004-05-01,91.32030999999999,619.3,1156.3,25.93172,0.0,0.0,,,,60537.32569,319744.12,766526.33,24353.06628,128627.25,319382.99,,,,,,,,,
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,40655.536,214733.12,514006.85,17240.207000000002,91058.78,225859.53,,,,,,,,,
