measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2002-01-01,3750.594,39145.0,201987.0,45.985,480.0,2477.0,21.842000000000002,228.0,1176.0
2002-02-01,3278.568,34219.0,176567.0,34.5,360.0,1858.0,19.827,207.0,1068.0
2002-03-01,3654.849,38146.0,196831.0,42.838,447.0,2307.0,21.656000000000002,226.0,1166.0
2002-04-01,3323.822,34691.0,179004.0,55.513000000000005,579.0,2990.0,19.581,204.0,1055.0
2002-05-01,3181.9320000000002,33210.0,171362.0,47.552,496.0,2561.0,18.814,196.0,1013.0
2002-06-01,3527.944,36822.0,189997.0,65.976,689.0,3553.0,24.559,256.0,1323.0
2002-07-01,4112.598,42924.0,221483.0,160.829,1679.0,8661.0,34.254000000000005,358.0,1845.0
2002-08-01,4286.437,44738.0,230845.0,142.196,1484.0,7658.0,34.243,357.0,1844.0
2002-09-01,3858.427,40271.0,207795.0,35.279,368.0,1900.0,26.76,279.0,1441.0
2002-10-01,3813.1760000000004,39799.0,205358.0,35.558,371.0,1915.0,21.292,222.0,1147.0
2002-11-01,3768.7740000000003,39335.0,202966.0,45.605,476.0,2456.0,18.205,190.0,980.0
2002-12-01,4103.475,42828.0,220992.0,87.244,911.0,4699.0,19.675,205.0,1060.0
