measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,788.09377,7880.94,8775.6,22162.10623,221621.14,246780.0,,,
2004-02-01,723.53235,7235.33,8621.1,23865.96765,238659.76,284370.0,,,
2004-03-01,729.09364,6986.49,6986.49,23035.90636,220740.0,220740.0,,,
2004-04-01,95.09217,950.92,1126.82,24154.90783,241549.17,286230.0,,,
2004-05-01,1454.1925,14541.93,15014.31,23236.1875,232361.96,239910.0,,,
2004-06-01,510.57745,4908.98,4908.98,24306.87255,233700.0,233700.0,,,
2004-07-01,992.21983,9922.2,12789.0,23794.19017,237941.99,306690.0,,,
2004-08-01,1018.29892,10182.99,13184.0,23310.27108,233102.8,301800.0,,,
2004-09-01,949.32609,9493.26,15122.0,18946.34391,189463.51,301800.0,,,
2004-10-01,0.0,0.0,253.0,0.0,0.0,30.0,,,
2004-11-01,2279.43027,22794.31,32207.0,16433.80973,164338.16,232200.0,,,
2004-12-01,1818.44369,18184.44,24475.0,21186.07631,211860.84,285150.0,,,
2005-01-01,1842.49184,18424.93,24475.0,23085.53816,230855.47,306660.0,,,
2005-02-01,1131.22381,11312.24,14561.0,20912.99619,209130.04,269190.0,,,
2005-03-01,966.58099,9665.81,12706.0,22413.32901,224133.37,294630.0,,,
2005-04-01,977.2073,9772.08,13106.0,22187.3627,221873.71,297570.0,,,
2005-05-01,760.45992,7604.6,9997.0,23756.29008,237562.99,312300.0,,,
2005-06-01,1090.94181,10909.42,15501.0,20165.63819,201656.46,286530.0,,,
2005-07-01,1036.2828,10362.83,15687.0,20220.2972,202203.05,306090.0,,,
2005-08-01,325.84051,3258.41,4618.0,23743.73949,237437.48,336510.0,,,
2005-09-01,413.85183,4138.52,5464.0,23413.22817,234132.37,309120.0,,,
2005-10-01,826.69012,8266.9,11157.0,11118.85988,111188.64,150060.0,,,
2005-11-01,316.64385,3166.44,4234.0,24542.51615,245425.25,328170.0,,,
2005-12-01,488.74969,4887.5,6564.0,24399.51031,243995.19,327690.0,,,
2006-01-01,218.47757000000001,2184.78,3041.0,24727.98243,247279.92,344190.0,,,
2006-02-01,156.0926,1560.93,2638.0,21867.7574,218677.65,369570.0,,,
2006-03-01,215.85526,2158.55,2963.0,24475.49474,244755.04,335970.0,,,
2006-04-01,198.92909,1989.29,3308.0,23676.65091,236766.6,393720.0,,,
2006-05-01,922.39467,9223.95,15148.0,22704.86533,227048.74,372870.0,,,
2006-06-01,177.96778,1779.68,3040.0,24592.92222,245929.31,420090.0,,,
2006-07-01,361.59269,3615.93,5348.0,23965.03731,239650.46,354445.83,,,
2006-08-01,269.64032,2696.4,3891.0,24520.64968,245206.59,353841.18,,,
