measured_on,Geothermal-Other Generation,Geothermal-Other Quantity Consumed For Electricity,Geothermal-Other Total Fuel Consumed,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2003-01-01,7712.0,78978.59,78978.59,,,
2003-02-01,7056.0,72260.5,72260.5,,,
2003-03-01,7298.0,74738.82,74738.82,,,
2003-04-01,7361.0,75384.0,75384.0,,,
2003-05-01,6468.0,66238.79,66238.79,,,
2003-06-01,5397.0,55270.68,55270.68,,,
2003-07-01,4756.0,48706.2,48706.2,,,
2003-08-01,5162.0,52864.04,52864.04,,,
2003-09-01,5460.0,55915.86,55915.86,,,
2003-10-01,6206.0,63555.65,63555.65,,,
2003-11-01,6878.0,70437.6,70437.6,,,
2003-12-01,6821.0,69853.86,69853.86,,,
2005-01-01,6358.085,63574.49,63574.49,,,
2005-02-01,5368.595,53680.58,53680.58,,,
2005-03-01,6077.729,60771.21,60771.21,,,
2005-04-01,6081.033,60804.25,60804.25,,,
2005-05-01,6457.451,64568.05,64568.05,,,
2005-06-01,6376.703,63760.65,63760.65,,,
2005-07-01,6522.3330000000005,65216.81,65216.81,,,
2005-08-01,6442.3330000000005,64416.89,64416.89,,,
2005-09-01,6304.212,63035.82,63035.82,,,
2005-10-01,6457.08,64564.34,64564.34,,,
2005-11-01,6267.564,62669.37,62669.37,,,
2005-12-01,6442.884,64422.4,64422.4,,,
2006-01-01,,,,7056.0,69988.46,69988.46
2006-02-01,,,,6668.0,66139.89,66139.89
2006-03-01,,,,6752.0,66973.09,66973.09
2006-04-01,,,,6752.0,66973.09,66973.09
2006-05-01,,,,5945.0,58968.46,58968.46
2006-06-01,,,,4771.0,47323.55,47323.55
2006-07-01,,,,5178.0,51360.58,51360.58
2006-08-01,,,,5721.0,56746.6,56746.6
2006-09-01,,,,6396.0,63441.92,63441.92
2006-10-01,,,,7829.0,77655.85,77655.85
2006-11-01,,,,8326.0,82585.59,82585.59
2006-12-01,,,,8528.0,84589.23,84589.23
2007-01-01,,,,8858.0,87552.47,87552.47
2007-02-01,,,,7903.0,78113.25,78113.25
2007-03-01,,,,8490.0,83915.16,83915.16
2007-04-01,,,,8134.0,80396.46,80396.46
2007-05-01,,,,8.0,79.07,79.07
2007-06-01,,,,6249.0,61765.12,61765.12
2007-07-01,,,,5349.0,52869.52,52869.52
2007-08-01,,,,5938.0,58691.19,58691.19
2007-09-01,,,,6887.0,68071.11,68071.11
2007-10-01,,,,7588.0,74999.79,74999.79
2007-11-01,,,,7652.0,75632.37,75632.37
2007-12-01,,,,9150.0,90438.6,90438.6
2008-01-01,,,,8224.856,81047.73,81047.73
2008-02-01,,,,7439.709000000001,73310.89,73310.89
2008-03-01,,,,7823.269,77090.49,77090.49
2008-04-01,,,,7544.293000000001,74341.46,74341.46
2008-05-01,,,,7816.13,77020.15000000001,77020.15000000001
2008-06-01,,,,7935.8910000000005,78200.27,78200.27
2008-07-01,,,,8087.717000000001,79696.36,79696.36
2008-08-01,,,,7990.6230000000005,78739.6,78739.6
2008-09-01,,,,7760.919000000001,76476.1,76476.1
2008-10-01,,,,8026.737,79095.47,79095.47
2008-11-01,,,,7666.434,75545.04000000001,75545.04000000001
2008-12-01,,,,7802.4220000000005,76885.07,76885.07
2009-01-01,,,,7951.6230000000005,77607.84,77607.84
2009-02-01,,,,7202.979,70301.08,70301.08
2009-03-01,,,,8008.791,78165.8,78165.8
2009-04-01,,,,7631.853,74486.89,74486.89
2009-05-01,,,,7786.112,75992.45,75992.45
2009-06-01,,,,7537.581,73566.79,73566.79
2009-07-01,,,,7945.278,77545.91,77545.91
2009-08-01,,,,7872.707,76837.62,76837.62
2009-09-01,,,,7658.905000000001,74750.91,74750.91
