measured_on,Nuclear Generation,Nuclear Quantity Consumed For Electricity,Nuclear Total Fuel Consumed
2001-01-01,365020.0,3811539.0,3811539.0
2001-02-01,311041.0,3247890.0,3247890.0
2001-03-01,43786.0,457213.0,457213.0
2001-04-01,491.0,5127.0,5127.0
2001-05-01,339737.0,3547534.0,3547534.0
2001-06-01,335251.0,3500691.0,3500691.0
2001-07-01,350215.0,3656945.0,3656945.0
2001-08-01,350337.0,3658219.0,3658219.0
2001-09-01,345616.0,3608922.0,3608922.0
2001-10-01,362685.0,3787157.0,3787157.0
2001-11-01,351876.0,3674289.0,3674289.0
2001-12-01,363517.0,3795845.0,3795845.0
2002-01-01,359875.0,3757815.0,3757815.0
2002-02-01,322329.0,3365759.0,3365759.0
2002-03-01,357263.0,3730540.0,3730540.0
2002-04-01,332326.0,3470148.0,3470148.0
2002-05-01,3936.0,41100.0,41100.0
2002-06-01,299403.0,3126366.0,3126366.0
2002-07-01,349814.0,3652758.0,3652758.0
2002-08-01,352874.0,3684710.0,3684710.0
2002-09-01,345342.0,3606061.0,3606061.0
2002-10-01,364199.0,3802966.0,3802966.0
2002-11-01,353153.0,3687624.0,3687624.0
2002-12-01,364577.0,3806913.0,3806913.0
2003-01-01,364901.0,3802633.32,3802633.32
2003-02-01,328749.0,3425893.33,3425893.33
2003-03-01,284140.0,2961022.94,2961022.94
2003-04-01,346258.0,3608354.62,3608354.62
2003-05-01,360798.0,3759875.96,3759875.96
2003-06-01,341525.0,3559032.03,3559032.03
2003-07-01,337692.0,3519088.33,3519088.33
2003-08-01,345706.0,3602602.23,3602602.23
2003-09-01,126838.0,1321778.8,1321778.8
2003-10-01,-2971.0,-30960.79,-30960.79
2003-11-01,305176.0,3180239.1,3180239.1
2003-12-01,365757.0,3811553.7,3811553.7
2004-01-01,365659.0,3812726.39,3812726.39
2004-02-01,341398.0,3559756.95,3559756.95
2004-03-01,296075.0,3087174.03,3087174.03
2004-04-01,250188.0,2608710.28,2608710.28
2004-05-01,357404.0,3726651.51,3726651.51
2004-06-01,343315.0,3579745.51,3579745.51
2004-07-01,349079.0,3639846.73,3639846.73
2004-08-01,351015.0,3660033.41,3660033.41
2004-09-01,342043.0,3566482.36,3566482.36
2004-10-01,361083.0,3765012.44,3765012.44
2004-11-01,349964.0,3649074.63,3649074.63
2004-12-01,362258.0,3777264.17,3777264.17
2005-01-01,363921.0,3797515.64,3797515.64
2005-02-01,291552.0,3042345.12,3042345.12
2005-03-01,-1427.0,0.0,0.0
2005-04-01,-1515.0,0.0,0.0
2005-05-01,-5097.0,0.0,0.0
2005-06-01,144916.0,1512198.46,1512198.46
2005-07-01,352423.0,3677534.01,3677534.01
2005-08-01,353652.0,3690358.62,3690358.62
2005-09-01,342849.0,3577629.32,3577629.32
2005-10-01,350358.0,3655985.73,3655985.73
2005-11-01,353135.0,3684963.73,3684963.73
2005-12-01,365153.0,3810371.56,3810371.56
2006-01-01,365016.0,3808577.0,3808577.0
2006-02-01,329697.0,3440058.0,3440058.0
2006-03-01,362698.0,3784391.0,3784391.0
2006-04-01,332951.0,3474011.0,3474011.0
2006-05-01,272201.0,2840145.0,2840145.0
2006-06-01,343070.0,3579592.0,3579592.0
2006-07-01,349841.0,3650241.0,3650241.0
2006-08-01,350167.0,3653642.0,3653642.0
2006-09-01,99128.0,1034302.0,1034302.0
2006-10-01,-1514.0,0.0,0.0
2006-11-01,-3453.0,0.0,0.0
2006-12-01,292378.0,3050672.0,3050672.0
2007-01-01,378986.0,3973668.0,3973668.0
2007-02-01,342389.0,3589949.0,3589949.0
2007-03-01,375428.0,3936363.0,3936363.0
2007-04-01,363640.0,3812765.0,3812765.0
2007-05-01,360655.0,3781468.0,3781468.0
2007-06-01,354213.0,3713923.0,3713923.0
2007-07-01,360108.0,3775732.0,3775732.0
2007-08-01,361302.0,3788251.0,3788251.0
2007-09-01,356631.0,3739276.0,3739276.0
2007-10-01,371973.0,3900137.0,3900137.0
2007-11-01,366355.0,3841232.0,3841232.0
2007-12-01,378604.0,3969663.0,3969663.0
2008-01-01,377615.0,3960426.0,3960426.0
2008-02-01,352566.0,3697712.0,3697712.0
2008-03-01,257523.0,2700901.0,2700901.0
2008-04-01,219354.0,2300585.0,2300585.0
2008-05-01,-1452.0,0.0,0.0
2008-06-01,123486.0,1295121.0,1295121.0
2008-07-01,360745.0,3783494.0,3783494.0
2008-08-01,348843.0,3658665.0,3658665.0
2008-09-01,357691.0,3751463.0,3751463.0
2008-10-01,374712.0,3929979.0,3929979.0
2008-11-01,365207.0,3830291.0,3830291.0
2008-12-01,378669.0,3971480.0,3971480.0
2009-01-01,378165.0,3966195.0,3966195.0
2009-02-01,338419.0,3549338.0,3549338.0
2009-03-01,371484.0,3896124.0,3896124.0
2009-04-01,355119.0,3724488.0,3724488.0
2009-05-01,373855.0,3920991.0,3920991.0
2009-06-01,354275.0,3715636.0,3715636.0
2009-07-01,361695.0,3793457.0,3793457.0
2009-08-01,361642.0,3792901.0,3792901.0
2009-09-01,354519.0,3718195.0,3718195.0
2009-10-01,371047.0,3891541.0,3891541.0
2009-11-01,-1780.0,0.0,0.0
2009-12-01,82123.0,861306.0,861306.0
2010-01-01,376346.0,3936203.0,3936203.0
2010-02-01,338969.0,3545277.0,3545277.0
2010-03-01,373579.0,3907263.0,3907263.0
2010-04-01,306487.0,3205548.0,3205548.0
2010-05-01,356706.0,3730788.0,3730788.0
2010-06-01,352771.0,3689632.0,3689632.0
2010-07-01,360163.0,3766945.0,3766945.0
2010-08-01,359917.0,3764372.0,3764372.0
2010-09-01,356925.0,3733079.0,3733079.0
2010-10-01,372392.0,3894848.0,3894848.0
2010-11-01,365792.0,3825819.0,3825819.0
2010-12-01,341407.0,3570776.0,3570776.0
2011-01-01,377301.0,3948078.0,3948078.0
2011-02-01,319808.0,3346471.0,3346471.0
2011-03-01,372709.0,3900027.0,3900027.0
2011-04-01,105976.0,1108933.0,1108933.0
2011-05-01,-1399.0,0.0,0.0
2011-06-01,-1470.0,0.0,0.0
2011-07-01,-1356.0,0.0,0.0
2011-08-01,-1499.0,0.0,0.0
2011-09-01,-1289.0,0.0,0.0
2011-10-01,-1240.0,0.0,0.0
2011-11-01,-1136.0,0.0,0.0
2011-12-01,-1335.0,0.0,0.0
2012-01-01,-1308.0,0.0,0.0
2012-02-01,-1198.0,0.0,0.0
2012-03-01,-1272.0,0.0,0.0
2012-04-01,-1254.0,0.0,0.0
2012-05-01,-1368.0,0.0,0.0
2012-06-01,-1289.0,0.0,0.0
2012-07-01,-1488.0,0.0,0.0
2012-08-01,-1443.0,0.0,0.0
2012-09-01,-1315.0,0.0,0.0
2012-10-01,-1292.0,0.0,0.0
2012-11-01,-1189.0,0.0,0.0
2012-12-01,-1282.0,0.0,0.0
2013-01-01,-1198.0,0.0,0.0
2013-02-01,-1404.0,0.0,0.0
2013-03-01,-1516.0,0.0,0.0
2013-04-01,-1567.0,0.0,0.0
2013-05-01,-1507.0,0.0,0.0
2013-06-01,-1612.0,0.0,0.0
2013-07-01,-3107.0,0.0,0.0
2013-08-01,-2666.0,0.0,0.0
2013-09-01,-2716.0,0.0,0.0
2013-10-01,-3420.0,0.0,0.0
2013-11-01,-6089.0,0.0,0.0
2013-12-01,88147.0,921025.0,921025.0
2014-01-01,307217.0,3213217.0,3213217.0
2014-02-01,341679.0,3573659.0,3573659.0
2014-03-01,339038.0,3546036.0,3546036.0
2014-04-01,340731.0,3563743.0,3563743.0
2014-05-01,372388.0,3894847.0,3894847.0
2014-06-01,331616.0,3468409.0,3468409.0
2014-07-01,364140.0,3808581.0,3808581.0
2014-08-01,361995.0,3786146.0,3786146.0
2014-09-01,356406.0,3727690.0,3727690.0
2014-10-01,373580.0,3907315.0,3907315.0
2014-11-01,367149.0,3840052.0,3840052.0
2014-12-01,328564.0,3436487.0,3436487.0
2015-01-01,378565.0,3959221.0,3959221.0
2015-02-01,342099.0,3577842.0,3577842.0
2015-03-01,370892.0,3878973.0,3878973.0
2015-04-01,121849.0,1274357.0,1274357.0
2015-05-01,-2172.0,0.0,0.0
2015-06-01,220643.0,2307594.0,2307594.0
2015-07-01,248843.0,2602524.0,2602524.0
2015-08-01,365864.0,3826388.0,3826388.0
2015-09-01,356303.0,3726394.0,3726394.0
2015-10-01,374474.0,3916435.0,3916435.0
2015-11-01,366380.0,3831784.0,3831784.0
2015-12-01,380217.0,3976499.0,3976499.0
2016-01-01,380678.0,3981323.0,3981323.0
2016-02-01,353636.0,3698504.0,3698504.0
2016-03-01,373558.0,3906859.0,3906859.0
2016-04-01,357654.0,3740527.0,3740527.0
2016-05-01,359837.0,3763358.0,3763358.0
2016-06-01,286275.0,2994009.0,2994009.0
2016-07-01,360086.0,3765962.0,3765962.0
2016-08-01,360195.0,3767102.0,3767102.0
2016-09-01,351183.0,3672850.0,3672850.0
2016-10-01,242133.0,2532349.0,2532349.0
