measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed
2019-05-01,347.949,2226.0,2226.0
2019-06-01,465.269,2976.0,2976.0
2019-07-01,733.452,4691.0,4691.0
2019-08-01,861.527,5510.0,5510.0
2019-09-01,758.08,4849.0,4849.0
2019-10-01,776.438,4966.0,4966.0
2019-11-01,761.483,4871.0,4871.0
2019-12-01,789.802,5052.0,5052.0
2020-01-01,641.916,4271.0,4271.0
2020-02-01,566.875,3772.0,3772.0
2020-03-01,629.269,4187.0,4187.0
2020-04-01,445.019,2961.0,2961.0
2020-05-01,418.439,2785.0,2785.0
2020-06-01,588.622,3917.0,3917.0
2020-07-01,823.42,5479.0,5479.0
2020-08-01,1023.98,6814.0,6814.0
2020-09-01,891.727,5933.0,5933.0
2020-10-01,926.081,6162.0,6162.0
2020-11-01,739.72,4923.0,4923.0
2020-12-01,819.932,5456.0,5456.0
2021-01-01,573.129,3814.0,3814.0
2021-02-01,486.033,3235.0,3235.0
2021-03-01,522.58,3478.0,3478.0
2021-04-01,463.703,3087.0,3087.0
2021-05-01,484.629,3225.0,3225.0
2021-06-01,662.703,4412.0,4412.0
2021-07-01,914.517,6087.0,6087.0
2021-08-01,834.985,5558.0,5558.0
2021-09-01,710.474,4729.0,4729.0
2021-10-01,677.3,4508.0,4508.0
2021-11-01,622.472,4143.0,4143.0
2021-12-01,642.475,4277.0,4277.0
2022-01-01,515.271,3555.0,3555.0
2022-02-01,427.812,2952.0,2952.0
2022-03-01,395.84,2732.0,2732.0
2022-04-01,405.472,2798.0,2798.0
2022-05-01,372.09,2567.0,2567.0
2022-06-01,506.067,3491.0,3491.0
2022-07-01,676.055,4664.0,4664.0
2022-08-01,815.75,5628.0,5628.0
2022-09-01,747.632,5158.0,5158.0
2022-10-01,686.585,4737.0,4737.0
2022-11-01,630.511,4350.0,4350.0
2022-12-01,696.915,4808.0,4808.0
2023-01-01,543.539,3840.0,3840.0
2023-02-01,462.99,3272.0,3272.0
2023-03-01,444.993,3144.0,3144.0
2023-04-01,347.632,2456.0,2456.0
2023-05-01,225.16,1591.0,1591.0
2023-06-01,296.206,2093.0,2093.0
2023-07-01,685.659,4845.0,4845.0
2023-08-01,691.843,4889.0,4889.0
2023-09-01,489.706,3460.0,3460.0
2023-10-01,598.022,4226.0,4226.0
2023-11-01,561.774,3970.0,3970.0
2023-12-01,632.476,4469.0,4469.0
2024-01-01,404.0,3358.0,3358.0
2024-02-01,375.0,3085.0,3085.0
2024-03-01,388.0,3289.0,3289.0
2024-04-01,360.0,3174.0,3174.0
2024-05-01,355.0,3134.0,3134.0
2024-06-01,60.0,630.0,630.0
2024-07-01,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0
