measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,11894.166000000001,125827.0,130005.0,3745.052,0.0,0.0
2003-02-01,10974.091,116094.0,119949.0,3455.353,0.0,0.0
2003-03-01,12097.61,127979.0,132229.0,3809.1090000000004,0.0,0.0
2003-04-01,11440.535,121028.0,125047.0,3602.22,0.0,0.0
2003-05-01,13099.217,138575.0,143177.0,4124.48,0.0,0.0
2003-06-01,13648.074,144381.0,149176.0,4297.296,0.0,0.0
2003-07-01,17522.888,185373.0,191528.0,5517.337,0.0,0.0
2003-08-01,16462.139,174151.0,179934.0,5183.345,0.0,0.0
2003-09-01,15043.276,159141.0,164426.0,4736.595,0.0,0.0
2003-10-01,14157.048999999999,149766.0,154739.0,4457.554,0.0,0.0
2003-11-01,11983.94,126777.0,130987.0,3773.318,0.0,0.0
2003-12-01,12724.014,134606.0,139076.0,4006.342,0.0,0.0
2004-01-01,11307.988,115915.71,134213.03,3483.5910000000003,0.0,0.0
2004-02-01,11400.997,115279.62,135316.93,3309.414,0.0,0.0
2004-03-01,11161.024,115138.3,132468.73,3531.3540000000003,0.0,0.0
2004-04-01,11335.362000000001,117072.31,134537.92,3603.808,0.0,0.0
2004-05-01,9821.471000000001,103227.85,116569.75,3351.0570000000002,0.0,0.0
2004-06-01,10722.332,109497.82,127261.95,3250.2830000000004,0.0,0.0
2004-07-01,15147.775000000001,156994.06,179786.95,4885.6630000000005,0.0,0.0
2004-08-01,15624.988000000001,161908.53,185450.93,5035.568,0.0,0.0
2004-09-01,14472.835,149385.58,171776.18,4589.713000000001,0.0,0.0
2004-10-01,13811.13,142864.2,163922.49,4419.247,0.0,0.0
2004-11-01,13023.946,133994.53,154579.5,4074.606,0.0,0.0
2004-12-01,14201.162,146485.89,168551.73,4491.367,0.0,0.0
2005-01-01,8445.999,87023.49,95630.59,2658.75,0.0,0.0
2005-02-01,7623.395,78547.78,86316.58,2399.799,0.0,0.0
2005-03-01,8227.188,84768.97,93153.08,2589.87,0.0,0.0
2005-04-01,8266.701000000001,85176.09,93600.47,2602.308,0.0,0.0
2005-05-01,9079.367,93549.4,102801.95,2858.13,0.0,0.0
2005-06-01,11661.918,120158.76,132043.12,3671.1020000000003,0.0,0.0
2005-07-01,14933.303,153865.54,169083.68,4700.914000000001,0.0,0.0
2005-08-01,15475.655,159453.67,175224.5,4871.644,0.0,0.0
2005-09-01,11671.948,120262.1,132156.68,3674.259,0.0,0.0
2005-10-01,9059.687,93346.62,102579.13,2851.935,0.0,0.0
2005-11-01,8083.403,83287.47,91525.06,2544.607,0.0,0.0
2005-12-01,9222.925000000001,95028.56,104427.41,2903.322,0.0,0.0
2006-01-01,8038.555,82349.47,92931.96,2469.76,0.0,0.0
2006-02-01,7087.39,72605.44,81935.74,2177.525,0.0,0.0
2006-03-01,7850.243,80420.34,90754.93,2411.9030000000002,0.0,0.0
2006-04-01,7479.726000000001,76624.66,86471.46,2298.0660000000003,0.0,0.0
2006-05-01,8718.238000000001,89312.35,100789.62,2678.5860000000002,0.0,0.0
2006-06-01,9240.912,94666.79,106832.14,2839.1710000000003,0.0,0.0
2006-07-01,10404.859,106590.63,120288.27,3196.782,0.0,0.0
2006-08-01,10748.853,110114.61,124265.11,3302.47,0.0,0.0
2006-09-01,8752.109,89659.35,101181.2,2688.992,0.0,0.0
2006-10-01,9174.724,93988.75,106066.95,2818.8360000000002,0.0,0.0
2006-11-01,7750.039000000001,79393.83,89596.48,2381.117,0.0,0.0
2006-12-01,8690.821,89031.49,100472.66,2670.1620000000003,0.0,0.0
2007-01-01,9003.024000000001,92116.0,98909.0,2985.59,0.0,0.0
2007-02-01,8189.2480000000005,83817.0,89969.0,2719.286,0.0,0.0
2007-03-01,7575.258000000001,80072.0,83224.0,2845.895,0.0,0.0
2007-04-01,7540.206,79713.0,82838.0,2834.237,0.0,0.0
2007-05-01,8410.48,87442.0,92400.0,2969.8230000000003,0.0,0.0
2007-06-01,9944.02,101881.0,109247.0,3315.405,0.0,0.0
2007-07-01,13545.922,135496.0,148818.0,4088.42,0.0,0.0
2007-08-01,15017.029,147379.0,164980.0,4163.887000000001,0.0,0.0
2007-09-01,11833.726,117850.0,130008.0,3504.067,0.0,0.0
2007-10-01,11214.869,110376.0,123209.0,3150.272,0.0,0.0
2007-11-01,10662.498,105418.0,117141.0,3057.4120000000003,0.0,0.0
2007-12-01,11881.721,115319.0,130536.0,3126.7070000000003,0.0,0.0
2008-01-01,11224.933,112174.0,130697.0,3465.326,0.0,0.0
2008-02-01,9405.443000000001,93992.0,109511.0,2903.619,0.0,0.0
2008-03-01,8826.975,88210.0,102775.0,2725.036,0.0,0.0
2008-04-01,10041.439,100347.0,116916.0,3099.962,0.0,0.0
2008-05-01,7981.408,79761.0,92930.0,2463.996,0.0,0.0
2008-06-01,8735.704,87299.0,101712.0,2696.859,0.0,0.0
2008-07-01,11442.111,114345.0,133224.0,3532.373,0.0,0.0
