measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2003-01-01,2148.745,4780.0,4780.0
2003-02-01,1982.528,4411.0,4411.0
2003-03-01,2185.498,4862.0,4862.0
2003-04-01,2066.7940000000003,4598.0,4598.0
2003-05-01,2366.443,5265.0,5265.0
2003-06-01,2465.597,5485.0,5485.0
2003-07-01,3165.603,7043.0,7043.0
2003-08-01,2973.973,6616.0,6616.0
2003-09-01,2717.648,6046.0,6046.0
2003-10-01,2557.5460000000003,5690.0,5690.0
2003-11-01,2164.963,4817.0,4817.0
2003-12-01,2298.661,5114.0,5114.0
2004-01-01,1974.083,24308.0,24308.0
2004-02-01,1974.083,24308.0,24308.0
2004-03-01,1974.083,24308.0,24308.0
2004-04-01,1974.083,24308.0,24308.0
2004-05-01,1974.083,24308.0,24308.0
2004-06-01,1974.083,24308.0,24308.0
2004-07-01,1974.083,24308.0,24308.0
2004-08-01,1974.083,24308.0,24308.0
2004-09-01,1974.083,24308.0,24308.0
2004-10-01,1974.083,24308.0,24308.0
2004-11-01,1974.083,24308.0,24308.0
2004-12-01,1974.083,24308.0,24308.0
2005-01-01,2030.659,11036.56,11036.56
2005-02-01,1731.876,9412.69,9412.69
2005-03-01,1934.7730000000001,10515.43,10515.43
2005-04-01,1786.3770000000002,9708.9,9708.9
2005-05-01,1957.2620000000002,10637.66,10637.66
2005-06-01,1897.826,10314.62,10314.62
2005-07-01,2038.9430000000002,11081.59,11081.59
2005-08-01,1964.0620000000001,10674.61,10674.61
2005-09-01,1869.92,10162.95,10162.95
2005-10-01,1613.7240000000002,8770.54,8770.54
2005-11-01,1796.876,9765.96,9765.96
2005-12-01,2010.702,10928.1,10928.1
2006-01-01,1620.942,22568.0,22568.0
2006-02-01,1497.997,20856.0,20856.0
2006-03-01,1652.391,23006.0,23006.0
2006-04-01,1215.76,16927.0,16927.0
2006-05-01,1486.37,20694.0,20694.0
2006-06-01,1557.0310000000002,21678.0,21678.0
2006-07-01,1615.94,22498.0,22498.0
2006-08-01,1606.2230000000002,22363.0,22363.0
2006-09-01,1536.39,21391.0,21391.0
2006-10-01,1594.2710000000002,22196.0,22196.0
2006-11-01,1610.1940000000002,22418.0,22418.0
2006-12-01,1551.49,21601.0,21601.0
2007-01-01,1391.1280000000002,19906.0,19906.0
2007-02-01,1270.77,18184.0,18184.0
2007-03-01,1372.364,19638.0,19638.0
2007-04-01,1284.894,18386.0,18386.0
2007-05-01,1277.221,18276.0,18276.0
2007-06-01,1352.351,19351.0,19351.0
2007-07-01,1381.487,19768.0,19768.0
2007-08-01,1387.102,19848.0,19848.0
2007-09-01,1337.069,19133.0,19133.0
2007-10-01,1184.1860000000001,16945.0,16945.0
2007-11-01,1362.576,19498.0,19498.0
2007-12-01,1381.85,19773.0,19773.0
2008-01-01,1173.877,15766.0,15766.0
2008-02-01,1219.5120000000002,16378.0,16378.0
2008-03-01,1318.771,17711.0,17711.0
2008-04-01,1261.53,16942.0,16942.0
2008-05-01,1131.178,15192.0,15192.0
2008-06-01,1215.106,16319.0,16319.0
2008-07-01,1278.6950000000002,17173.0,17173.0
2008-08-01,1315.376,17665.0,17665.0
2008-09-01,1195.473,16055.0,16055.0
2008-10-01,1274.829,17121.0,17121.0
2008-11-01,1318.1570000000002,17703.0,17703.0
2008-12-01,1349.496,18123.0,18123.0
2009-01-01,856.865,12886.0,12886.0
2009-02-01,1035.8970000000002,15580.0,15580.0
2009-03-01,1124.344,16910.0,16910.0
2009-04-01,1020.849,15354.0,15354.0
2009-05-01,1075.509,16175.0,16175.0
2009-06-01,1144.6770000000001,17216.0,17216.0
2009-07-01,1177.751,17713.0,17713.0
2009-08-01,1045.298,15721.0,15721.0
2009-09-01,1098.106,16515.0,16515.0
2009-10-01,1127.477,16957.0,16957.0
2009-11-01,1081.3010000000002,16263.0,16263.0
2009-12-01,1129.9260000000002,16994.0,16994.0
