measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2018-01-01,450.279,3977.0,3977.0,,,,,,
2018-02-01,9.447,83.0,83.0,,,,,,
2018-03-01,9.415,83.0,83.0,,,,,,
2018-04-01,7.487,66.0,66.0,,,,,,
2018-05-01,1.778,17.0,17.0,,,,,,
2018-06-01,4.578,39.0,39.0,,,,,,
2018-07-01,4.215,39.0,39.0,,,,,,
2018-08-01,3.63,33.0,33.0,,,,,,
2018-09-01,4.169,39.0,39.0,,,,,,
2018-10-01,4.513,39.0,39.0,,,,,,
2018-11-01,4.738,44.0,44.0,,,,,,
2018-12-01,8.751,77.0,77.0,,,,,,
2019-01-01,327.685,2041.0,2041.0,3.082,19.0,19.0,,,
2019-02-01,67.794,424.0,424.0,2.946,19.0,19.0,,,
2019-03-01,1.118,6.0,6.0,2.743,18.0,18.0,,,
2019-04-01,0.562,6.0,6.0,2.413,15.0,15.0,,,
2019-05-01,0.891,6.0,6.0,2.34,14.0,14.0,,,
2019-06-01,0.59,6.0,6.0,3.117,20.0,20.0,,,
2019-07-01,0.284,0.0,0.0,5.304,33.0,33.0,,,
2019-08-01,0.539,6.0,6.0,4.637,29.0,29.0,,,
2019-09-01,2.367,17.0,17.0,3.313,21.0,21.0,,,
2019-10-01,0.625,6.0,6.0,2.793,18.0,18.0,,,
2019-11-01,1.232,6.0,6.0,2.949,19.0,19.0,,,
2019-12-01,46.386,292.0,292.0,3.29,21.0,21.0,,,
2020-01-01,37.459,281.0,281.0,2.02,15.0,15.0,,,
2020-02-01,28.088,215.0,215.0,1.898,14.0,14.0,,,
2020-03-01,23.786,182.0,182.0,1.858,14.0,14.0,,,
2020-04-01,16.901,127.0,127.0,1.326,10.0,10.0,,,
2020-05-01,35.733,270.0,270.0,1.549,11.0,11.0,,,
2020-06-01,14.813,110.0,110.0,2.464,19.0,19.0,,,
2020-07-01,24.636,187.0,187.0,3.548,27.0,27.0,,,
2020-08-01,9.97,77.0,77.0,3.161,24.0,24.0,,,
2020-09-01,25.911,198.0,198.0,2.48,19.0,19.0,,,
2020-10-01,14.813,110.0,110.0,1.857,14.0,14.0,,,
2020-11-01,35.851,270.0,270.0,1.915,14.0,14.0,,,
2020-12-01,42.012,319.0,319.0,1.951,14.0,14.0,,,
2021-01-01,3.651,72.0,72.0,2.84,58.0,58.0,,,
2021-02-01,29.957,605.0,605.0,2.388,48.0,48.0,,,
2021-03-01,4.488,88.0,88.0,2.354,47.0,47.0,,,
2021-04-01,35.681,721.0,721.0,2.003,40.0,40.0,,,
2021-05-01,1.393,28.0,28.0,2.533,52.0,52.0,,,
2021-06-01,1.27,28.0,28.0,3.599,72.0,72.0,,,
2021-07-01,1.143,22.0,22.0,4.004,80.0,80.0,,,
2021-08-01,0.195,6.0,6.0,4.357,88.0,88.0,,,
2021-09-01,2.574,50.0,50.0,2.963,60.0,60.0,,,
2021-10-01,3.263,66.0,66.0,2.932,59.0,59.0,,,
2021-11-01,4.793,99.0,99.0,2.954,60.0,60.0,,,
2021-12-01,13.738,275.0,275.0,2.927,59.0,59.0,,,
2022-01-01,64.447,924.0,924.0,0.483,6.0,6.0,,,
2022-02-01,7.273,105.0,105.0,0.443,6.0,6.0,,,
2022-03-01,0.517,6.0,6.0,0.485,7.0,7.0,,,
2022-04-01,0.322,6.0,6.0,0.531,7.0,7.0,,,
2022-05-01,0.941,11.0,11.0,0.623,9.0,9.0,,,
2022-06-01,0.114,0.0,0.0,0.653,9.0,9.0,,,
2022-07-01,0.153,0.0,0.0,0.881,12.0,12.0,,,
2022-08-01,0.104,0.0,0.0,0.878,12.0,12.0,,,
2022-09-01,0.166,0.0,0.0,0.596,8.0,8.0,,,
2022-10-01,0.391,6.0,6.0,0.56,8.0,8.0,,,
2022-11-01,1.194,17.0,17.0,0.518,7.0,7.0,,,
2022-12-01,40.174,567.0,567.0,0.553,8.0,8.0,,,
2023-01-01,1.66,39.0,39.0,0.0,0.0,0.0,,,
2023-02-01,37.408,836.0,836.0,0.0,0.0,0.0,,,
2023-03-01,1.302,28.0,28.0,0.0,0.0,0.0,,,
2023-04-01,0.613,11.0,11.0,0.0,0.0,0.0,,,
2023-05-01,1.185,28.0,28.0,0.0,0.0,0.0,,,
2023-06-01,0.185,6.0,6.0,0.0,0.0,0.0,,,
2023-07-01,0.237,6.0,6.0,0.0,0.0,0.0,,,
2023-08-01,0.276,6.0,6.0,0.0,0.0,0.0,,,
2023-09-01,0.526,11.0,11.0,0.0,0.0,0.0,,,
2023-10-01,0.926,22.0,22.0,0.0,0.0,0.0,,,
2023-11-01,0.443,11.0,11.0,0.0,0.0,0.0,,,
2023-12-01,0.239,6.0,6.0,0.0,0.0,0.0,,,
2024-01-01,80.678,1232.0,1232.0,0.273,3.0,3.0,29.0,99.0,99.0
2024-02-01,3.807,61.0,61.0,0.247,4.0,4.0,90.0,307.0,307.0
