measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,26080.0,323400.0,323400.0,40.0,543.0,543.0
2003-02-01,25801.0,332002.0,332002.0,30.0,441.0,441.0
2003-03-01,29764.0,417814.0,417814.0,59.0,874.0,874.0
2003-04-01,22338.0,314993.0,314993.0,29.0,423.0,423.0
2003-05-01,21965.0,274137.0,274137.0,66.0,895.0,895.0
2003-06-01,23271.0,311805.0,311805.0,80.0,1139.0,1139.0
2003-07-01,24305.0,325227.0,325227.0,35.0,495.0,495.0
2003-08-01,24876.0,350743.0,350743.0,52.0,773.0,773.0
2003-09-01,17736.0,245583.0,245583.0,51.0,753.0,753.0
2003-10-01,24479.0,312322.0,312322.0,74.0,995.0,995.0
2003-11-01,23480.0,287283.0,287283.0,24.0,304.0,304.0
2003-12-01,26264.0,328984.0,328984.0,32.0,421.0,421.0
2004-01-01,33104.742,462465.0,462465.0,62.606,924.0,924.0
2004-02-01,26680.976000000002,372727.0,372727.0,64.988,959.0,959.0
2004-03-01,25730.432,359448.0,359448.0,44.18,652.0,652.0
2004-04-01,23934.389,334357.0,334357.0,44.528,657.0,657.0
2004-05-01,27932.671000000002,390212.0,390212.0,36.178000000000004,534.0,534.0
2004-06-01,28553.188000000002,398881.0,398881.0,35.81,528.0,528.0
2004-07-01,29604.303,413565.0,413565.0,36.469,538.0,538.0
2004-08-01,27698.203,386937.0,386937.0,33.423,493.0,493.0
2004-09-01,26987.476000000002,377008.0,377008.0,52.187000000000005,770.0,770.0
2004-10-01,25909.087,361943.0,361943.0,9.317,137.0,137.0
2004-11-01,24988.035,349077.0,349077.0,35.31,521.0,521.0
2004-12-01,29698.498,414881.0,414881.0,53.004000000000005,782.0,782.0
2005-01-01,29374.226000000002,408224.68,408224.68,30.461000000000002,448.76,448.76
2005-02-01,25575.142,355427.38,355427.38,24.369,359.01,359.01
2005-03-01,26534.139,368754.91,368754.91,33.816,498.2,498.2
2005-04-01,23647.138,328633.16,328633.16,32.1,472.92,472.92
2005-05-01,25959.803,360773.15,360773.15,30.695,452.22,452.22
2005-06-01,28913.837,401826.46,401826.46,57.944,853.66,853.66
2005-07-01,30564.985,424773.1,424773.1,76.28,1123.8,1123.8
2005-08-01,30905.049,429499.09,429499.09,75.777,1116.39,1116.39
2005-09-01,28321.902000000002,393600.12,393600.12,45.878,675.9,675.9
