measured_on,Geothermal-Other Generation,Geothermal-Other Quantity Consumed For Electricity,Geothermal-Other Total Fuel Consumed,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2003-01-01,9660.0,98928.06,98928.06,,,
2003-02-01,8731.0,89414.17,89414.17,,,
2003-03-01,9308.0,95323.23,95323.23,,,
2003-04-01,9156.0,93766.6,93766.6,,,
2003-05-01,8312.0,85123.19,85123.19,,,
2003-06-01,7260.0,74349.66,74349.66,,,
2003-07-01,6982.0,71502.66,71502.66,,,
2003-08-01,7182.0,73550.86,73550.86,,,
2003-09-01,7418.0,75967.74,75967.74,,,
2003-10-01,8195.0,83925.0,83925.0,,,
2003-11-01,8589.0,87959.95,87959.95,,,
2003-12-01,8685.0,88943.09,88943.09,,,
2005-01-01,8276.525,82756.97,82756.97,,,
2005-02-01,6988.474,69877.75,69877.75,,,
2005-03-01,7911.576,79107.85,79107.85,,,
2005-04-01,7915.878000000001,79150.86,79150.86,,,
2005-05-01,8405.873,84050.32,84050.32,,,
2005-06-01,8300.761,82999.31,82999.31,,,
2005-07-01,8490.332,84894.83,84894.83,,,
2005-08-01,8386.193000000001,83853.54,83853.54,,,
2005-09-01,8206.397,82055.76,82055.76,,,
2005-10-01,8405.39,84045.49,84045.49,,,
2005-11-01,8158.692,81578.76,81578.76,,,
2005-12-01,8386.91,83860.71,83860.71,,,
2006-01-01,,,,7805.99,77427.61,77427.61
2006-02-01,,,,7075.246,70179.37,70179.37
2006-03-01,,,,7997.448,79326.69,79326.69
2006-04-01,,,,7155.271000000001,70973.13,70973.13
2006-05-01,,,,6960.027,69036.51,69036.51
2006-06-01,,,,7554.68,74934.87,74934.87
2006-07-01,,,,7936.883000000001,78725.94,78725.94
2006-08-01,,,,8104.357,80387.12,80387.12
2006-09-01,,,,7669.749000000001,76076.24,76076.24
2006-10-01,,,,7993.518,79287.71,79287.71
2006-11-01,,,,7742.071000000001,76793.6,76793.6
2006-12-01,,,,8077.761,80123.31,80123.31
2007-01-01,,,,8581.597,84820.5,84820.5
2007-02-01,,,,7482.887000000001,73960.86,73960.86
2007-03-01,,,,7981.334000000001,78887.51,78887.51
2007-04-01,,,,7762.407,76723.63,76723.63
2007-05-01,,,,7826.14,77353.57,77353.57
2007-06-01,,,,8366.585000000001,82695.33,82695.33
2007-07-01,,,,8410.223,83126.64,83126.64
2007-08-01,,,,8386.439,82891.56,82891.56
2007-09-01,,,,8220.869,81255.07,81255.07
2007-10-01,,,,8495.368,83968.22,83968.22
2007-11-01,,,,8138.804,80443.94,80443.94
2007-12-01,,,,8392.345000000001,82949.94,82949.94
2008-01-01,,,,8882.799,87531.1,87531.1
2008-02-01,,,,8034.845,79175.36,79175.36
2008-03-01,,,,8449.087,83257.3,83257.3
2008-04-01,,,,8147.795,80288.37,80288.37
2008-05-01,,,,8441.377,83181.33,83181.33
2008-06-01,,,,8570.719000000001,84455.87,84455.87
2008-07-01,,,,8734.69,86071.64,86071.64
2008-08-01,,,,8629.828,85038.33,85038.33
2008-09-01,,,,8381.749,82593.75,82593.75
2008-10-01,,,,8668.832,85422.67,85422.67
2008-11-01,,,,8279.706,81588.22,81588.22
2008-12-01,,,,8426.573,83035.45,83035.45
2009-01-01,,,,8829.454,86175.47,86175.47
2009-02-01,,,,7998.161,78062.05,78062.05
2009-03-01,,,,8892.931,86795.01,86795.01
2009-04-01,,,,8474.381000000001,82709.96,82709.96
2009-05-01,,,,8645.67,84381.74,84381.74
2009-06-01,,,,8369.702000000001,81688.29,81688.29
2009-07-01,,,,8822.407000000001,86106.69,86106.69
2009-08-01,,,,8741.825,85320.21,85320.21
2009-09-01,,,,8504.419,83003.13,83003.13
2009-10-01,,,,8737.573,85278.71,85278.71
2009-11-01,,,,8560.949,83554.86,83554.86
2009-12-01,,,,9153.528,89338.43,89338.43
2010-01-01,,,,8796.903,85823.0,85823.0
2010-02-01,,,,7902.298000000001,77095.0,77095.0
2010-03-01,,,,8613.9,84037.0,84037.0
2010-04-01,,,,8152.196000000001,79533.0,79533.0
2010-05-01,,,,8561.042000000001,83522.0,83522.0
2010-06-01,,,,8293.658000000001,80913.0,80913.0
2010-07-01,,,,8529.949,83218.0,83218.0
2010-08-01,,,,8585.687,83762.0,83762.0
2010-09-01,,,,8328.17,81250.0,81250.0
2010-10-01,,,,7977.8550000000005,77832.0,77832.0
2010-11-01,,,,8348.838,81451.0,81451.0
2010-12-01,,,,8729.504,85165.0,85165.0
2011-01-01,,,,9362.873,90970.0,90970.0
2011-02-01,,,,8494.977,82537.0,82537.0
2011-03-01,,,,9361.552,90957.0,90957.0
2011-04-01,,,,8575.811,83323.0,83323.0
2011-05-01,,,,9201.987,89407.0,89407.0
2011-06-01,,,,8498.459,82571.0,82571.0
2011-07-01,,,,9039.849,87831.0,87831.0
2011-08-01,,,,9043.952,87871.0,87871.0
2011-09-01,,,,8654.024,84082.0,84082.0
2011-10-01,,,,9086.351,88283.0,88283.0
2011-11-01,,,,8887.238,86348.0,86348.0
2011-12-01,,,,9243.927,89814.0,89814.0
2012-01-01,,,,8831.57,84041.0,84041.0
2012-02-01,,,,8302.562,79007.0,79007.0
2012-03-01,,,,9027.149,85902.0,85902.0
2012-04-01,,,,8853.803,84253.0,84253.0
2012-05-01,,,,9118.313,86770.0,86770.0
2012-06-01,,,,8793.108,83675.0,83675.0
2012-07-01,,,,9180.658,87363.0,87363.0
2012-08-01,,,,9081.885,86423.0,86423.0
2012-09-01,,,,8965.672,85317.0,85317.0
2012-10-01,,,,9131.717,86897.0,86897.0
2012-11-01,,,,9106.834,86661.0,86661.0
2012-12-01,,,,9427.729,89714.0,89714.0
2013-01-01,,,,8723.059,83227.0,83227.0
2013-02-01,,,,7751.481,73957.0,73957.0
2013-03-01,,,,8799.895,83960.0,83960.0
2013-04-01,,,,8039.486,76705.0,76705.0
2013-05-01,,,,8464.262,80758.0,80758.0
2013-06-01,,,,8206.83,78301.0,78301.0
2013-07-01,,,,8751.677,83500.0,83500.0
2013-08-01,,,,8691.489,82925.0,82925.0
2013-09-01,,,,8406.28,80204.0,80204.0
2013-10-01,,,,8639.141,82426.0,82426.0
2013-11-01,,,,7554.28,72075.0,72075.0
2013-12-01,,,,8322.12,79401.0,79401.0
2014-01-01,,,,7750.193,73704.0,73704.0
2014-02-01,,,,6994.802,66521.0,66521.0
2014-03-01,,,,7772.784,73919.0,73919.0
2014-04-01,,,,7755.293,73753.0,73753.0
2014-05-01,,,,7940.775,75517.0,75517.0
2014-06-01,,,,7825.409,74420.0,74420.0
2014-07-01,,,,8159.732,77599.0,77599.0
2014-08-01,,,,8134.097,77355.0,77355.0
2014-09-01,,,,7876.81,74908.0,74908.0
2014-10-01,,,,8093.764,76972.0,76972.0
2014-11-01,,,,7974.877,75841.0,75841.0
2014-12-01,,,,7975.464,75847.0,75847.0
2015-01-01,,,,7787.917,72576.0,72576.0
2015-02-01,,,,7096.931,66136.0,66136.0
2015-03-01,,,,7773.341,72440.0,72440.0
2015-04-01,,,,6995.96,65195.0,65195.0
2015-05-01,,,,7832.993,72996.0,72996.0
2015-06-01,,,,7601.428,70838.0,70838.0
2015-07-01,,,,7830.844,72976.0,72976.0
2015-08-01,,,,7789.056,72586.0,72586.0
2015-09-01,,,,6523.962,60797.0,60797.0
2015-10-01,,,,7290.248,67938.0,67938.0
2015-11-01,,,,7001.64,65248.0,65248.0
2015-12-01,,,,7205.68,67150.0,67150.0
2016-01-01,,,,7050.886,65094.0,65094.0
2016-02-01,,,,6598.365,60916.0,60916.0
2016-03-01,,,,7026.366,64867.0,64867.0
2016-04-01,,,,6459.774,59637.0,59637.0
2016-05-01,,,,7375.321,68089.0,68089.0
2016-06-01,,,,7084.822,65407.0,65407.0
2016-07-01,,,,7586.734,70041.0,70041.0
2016-08-01,,,,7607.41,70232.0,70232.0
2016-09-01,,,,7449.441,68773.0,68773.0
2016-10-01,,,,7429.969,68593.0,68593.0
2016-11-01,,,,7361.184,67958.0,67958.0
2016-12-01,,,,7801.728,72026.0,72026.0
2017-01-01,,,,8530.235,78589.0,78589.0
2017-02-01,,,,7467.792,68801.0,68801.0
2017-03-01,,,,8353.586,76962.0,76962.0
2017-04-01,,,,8098.066,74607.0,74607.0
2017-05-01,,,,7856.591,72383.0,72383.0
2017-06-01,,,,7820.315,72049.0,72049.0
2017-07-01,,,,8292.811,76402.0,76402.0
2017-08-01,,,,8242.272,75936.0,75936.0
2017-09-01,,,,8099.667,74622.0,74622.0
2017-10-01,,,,7279.718,67068.0,67068.0
2017-11-01,,,,7884.668,72641.0,72641.0
2017-12-01,,,,8181.279,75374.0,75374.0
2018-01-01,,,,7179.667,65364.0,65364.0
2018-02-01,,,,6837.321,62247.0,62247.0
2018-03-01,,,,7301.271,66471.0,66471.0
2018-04-01,,,,6343.993,57756.0,57756.0
2018-05-01,,,,7465.053,67962.0,67962.0
2018-06-01,,,,7128.634,64899.0,64899.0
2018-07-01,,,,7425.506,67602.0,67602.0
2018-08-01,,,,7386.023,67242.0,67242.0
2018-09-01,,,,7162.504,65207.0,65207.0
2018-10-01,,,,6868.423,62530.0,62530.0
2018-11-01,,,,7122.17,64840.0,64840.0
2018-12-01,,,,7553.435,68766.0,68766.0
2019-01-01,,,,7295.189,64964.0,64964.0
2019-02-01,,,,6784.287,60414.0,60414.0
2019-03-01,,,,7482.685,66633.0,66633.0
2019-04-01,,,,6841.803,60926.0,60926.0
2019-05-01,,,,7266.768,64711.0,64711.0
2019-06-01,,,,7123.804,63437.0,63437.0
2019-07-01,,,,7386.366,65776.0,65776.0
2019-08-01,,,,7480.871,66617.0,66617.0
2019-09-01,,,,7330.964,65282.0,65282.0
2019-10-01,,,,5844.492,52045.0,52045.0
2019-11-01,,,,5118.812,45583.0,45583.0
2019-12-01,,,,6394.959,56947.0,56947.0
2020-01-01,,,,6828.615,59866.0,59866.0
2020-02-01,,,,7485.023,65621.0,65621.0
2020-03-01,,,,9496.799,83258.0,83258.0
2020-04-01,,,,9125.917,80007.0,80007.0
2020-05-01,,,,9041.241,79265.0,79265.0
2020-06-01,,,,8420.984,73827.0,73827.0
2020-07-01,,,,9101.252,79791.0,79791.0
2020-08-01,,,,9132.347,80063.0,80063.0
2020-09-01,,,,8571.934,75150.0,75150.0
2020-10-01,,,,8234.064,72188.0,72188.0
2020-11-01,,,,9060.504,79433.0,79433.0
2020-12-01,,,,8871.32,77775.0,77775.0
2021-01-01,,,,8368.213,74008.0,74008.0
2021-02-01,,,,8293.737,73350.0,73350.0
2021-03-01,,,,8270.565,73145.0,73145.0
2021-04-01,,,,8301.039,73414.0,73414.0
2021-05-01,,,,8369.492,74020.0,74020.0
2021-06-01,,,,8343.207,73787.0,73787.0
2021-07-01,,,,9052.641,80062.0,80062.0
2021-08-01,,,,8917.204,78864.0,78864.0
2021-09-01,,,,8833.973,78128.0,78128.0
2021-10-01,,,,8311.642,73508.0,73508.0
2021-11-01,,,,8620.034,76236.0,76236.0
2021-12-01,,,,9214.253,81491.0,81491.0
2022-01-01,,,,8308.688,28349.0,28349.0
2022-02-01,,,,6882.19,23482.0,23482.0
2022-03-01,,,,7530.391,25694.0,25694.0
2022-04-01,,,,7763.615,26489.0,26489.0
2022-05-01,,,,7893.502,26933.0,26933.0
2022-06-01,,,,7577.705,25855.0,25855.0
2022-07-01,,,,7988.302,27256.0,27256.0
2022-08-01,,,,7908.03,26982.0,26982.0
2022-09-01,,,,7639.314,26065.0,26065.0
2022-10-01,,,,7791.32,26584.0,26584.0
2022-11-01,,,,7637.813,26060.0,26060.0
2022-12-01,,,,8152.13,27815.0,27815.0
2023-01-01,,,,10288.0,35103.0,35103.0
2023-02-01,,,,9233.0,31503.0,31503.0
2023-03-01,,,,9778.0,33363.0,33363.0
2023-04-01,,,,8927.0,30459.0,30459.0
2023-05-01,,,,8546.0,29159.0,29159.0
2023-06-01,,,,7634.0,26047.0,26047.0
2023-07-01,,,,6569.0,22413.0,22413.0
2023-08-01,,,,7546.0,25747.0,25747.0
2023-09-01,,,,7455.0,25436.0,25436.0
2023-10-01,,,,8576.0,29261.0,29261.0
2023-11-01,,,,9492.0,32387.0,32387.0
2023-12-01,,,,10001.0,34123.0,34123.0
2024-01-01,,,,10117.0,34519.0,34519.0
2024-02-01,,,,9404.0,32086.0,32086.0
2024-03-01,,,,10008.0,34147.0,34147.0
2024-04-01,,,,8394.0,28640.0,28640.0
2024-05-01,,,,7992.0,27269.0,27269.0
2024-06-01,,,,7257.0,24761.0,24761.0
2024-07-01,,,,6798.0,23195.0,23195.0
2024-08-01,,,,6927.0,23635.0,23635.0
2024-09-01,,,,7760.0,26477.0,26477.0
2024-10-01,,,,8972.0,30612.0,30612.0
2024-11-01,,,,9827.0,33530.0,33530.0
2024-12-01,,,,9663.0,32970.0,32970.0
