measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,7221.523,87157.0,124740.0,8411.46,101518.0,145295.0,4802.884,57966.0,82962.0,37955.133,458081.0,655615.0,,,,,,
2001-02-01,5822.879,70276.0,100581.0,6782.353,81856.0,117154.0,3872.675,46739.0,66894.0,30604.093,369361.0,528638.0,,,,,,
2001-03-01,5666.801,68393.0,97885.0,6600.5560000000005,79662.0,114014.0,3768.871,45487.0,65101.0,29783.772,359460.0,514468.0,,,,,,
2001-04-01,6326.485000000001,76354.0,109280.0,7368.941000000001,88936.0,127287.0,4207.613,50782.0,72680.0,33250.961,401306.0,574358.0,,,,,,
2001-05-01,6073.569,73302.0,104911.0,7074.35,85380.0,122198.0,4039.404,48752.0,69774.0,31921.677,385263.0,551397.0,,,,,,
2001-06-01,6306.573,76114.0,108936.0,7345.7480000000005,88656.0,126886.0,4194.37,50622.0,72451.0,33146.309,400043.0,572550.0,,,,,,
2001-07-01,7914.847000000001,95524.0,136717.0,9219.027,111264.0,159244.0,5263.999000000001,63531.0,90927.0,41599.128,502060.0,718559.0,,,,,,
2001-08-01,6035.724,72845.0,104258.0,7030.27,84848.0,121437.0,4014.2340000000004,48448.0,69340.0,31722.772,382862.0,547961.0,,,,,,
2001-09-01,7724.139,93223.0,133422.0,8996.896,108584.0,155407.0,5137.1630000000005,62000.0,88736.0,40596.802,489963.0,701246.0,,,,,,
2001-10-01,7724.139,93223.0,133422.0,8996.896,108584.0,155407.0,5137.1630000000005,62000.0,88736.0,40596.802,489963.0,701246.0,,,,,,
2001-11-01,5508.3730000000005,66481.0,95148.0,6416.023,77435.0,110827.0,3663.5040000000004,44215.0,63281.0,28951.1,349411.0,500085.0,,,,,,
