measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-01-01,,,,0.0,0.0,0.0
2005-02-01,,,,0.0,0.0,0.0
2005-03-01,,,,0.0,0.0,0.0
2005-04-01,,,,0.0,0.0,0.0
2005-05-01,,,,0.0,0.0,0.0
2005-06-01,,,,0.0,0.0,0.0
2005-07-01,,,,0.0,0.0,0.0
2005-08-01,,,,0.0,0.0,0.0
2005-09-01,,,,0.0,0.0,0.0
2005-10-01,,,,0.0,0.0,0.0
2005-11-01,,,,0.0,0.0,0.0
2005-12-01,,,,0.0,0.0,0.0
2006-01-01,0.0,114.0,114.0,0.0,6524.0,6524.0
2006-02-01,0.0,106.0,106.0,0.0,5652.0,5652.0
2006-03-01,0.0,104.0,104.0,0.0,6005.0,6005.0
2006-04-01,0.0,94.0,94.0,0.0,6003.0,6003.0
2006-05-01,0.0,106.0,106.0,0.0,5963.0,5963.0
2006-06-01,0.0,117.0,117.0,0.0,6119.0,6119.0
2006-07-01,0.0,123.0,123.0,0.0,6661.0,6661.0
2006-08-01,0.0,125.0,125.0,0.0,6531.0,6531.0
2006-09-01,0.0,106.0,106.0,0.0,6288.0,6288.0
2006-10-01,0.0,90.0,90.0,0.0,5996.0,5996.0
2006-11-01,0.0,89.0,89.0,0.0,5963.0,5963.0
2006-12-01,0.0,108.0,108.0,0.0,6393.0,6393.0
