measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,621.565,10105.0,10105.0
2003-02-01,,,,493.345,8021.0,8021.0
2003-03-01,,,,561.14,9123.0,9123.0
2003-04-01,,,,552.085,8976.0,8976.0
2003-05-01,,,,668.572,10870.0,10870.0
2003-06-01,,,,674.18,10961.0,10961.0
2003-07-01,,,,725.753,11799.0,11799.0
2003-08-01,,,,708.889,11525.0,11525.0
2003-09-01,,,,680.844,11069.0,11069.0
2003-10-01,,,,579.399,9420.0,9420.0
2003-11-01,,,,557.488,9064.0,9064.0
2003-12-01,,,,565.74,9198.0,9198.0
2004-01-01,,,,225.745,8614.0,8614.0
2004-02-01,,,,205.69400000000002,7849.0,7849.0
2004-03-01,,,,192.374,7341.0,7341.0
2004-04-01,,,,235.42700000000002,8984.0,8984.0
2004-05-01,,,,213.57600000000002,8150.0,8150.0
2004-06-01,,,,229.491,8757.0,8757.0
2004-07-01,,,,280.699,10711.0,10711.0
2004-08-01,,,,265.778,10142.0,10142.0
2004-09-01,,,,179.20600000000002,6838.0,6838.0
2004-10-01,,,,193.246,7374.0,7374.0
2004-11-01,,,,213.399,8143.0,8143.0
2004-12-01,,,,245.364,9363.0,9363.0
2005-01-01,0.0,0.0,0.0,721.6610000000001,28053.95,28053.95
2005-02-01,0.0,0.0,0.0,649.472,25247.68,25247.68
2005-03-01,0.0,0.0,0.0,693.32,26952.25,26952.25
2005-04-01,0.0,0.0,0.0,682.8240000000001,26544.21,26544.21
2005-05-01,0.0,0.0,0.0,683.869,26584.85,26584.85
2005-06-01,0.0,0.0,0.0,708.114,27527.35,27527.35
2005-07-01,0.0,0.0,0.0,738.004,28689.28,28689.28
2005-08-01,0.0,0.0,0.0,728.831,28332.68,28332.68
