measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2004-01-01,3826.2252000000003,18791.97,181935.92,,,,229.79080000000002,1128.59,10926.49,,,
2004-02-01,3826.2252000000003,18791.97,181935.92,,,,237.5608,1166.75,11295.95,,,
2004-03-01,3826.22543,18791.97,181935.92,,,,309.18057,1518.5,14701.45,,,
2004-04-01,3826.2248,18791.97,181935.92,,,,225.9112,1109.53,10742.01,,,
2004-05-01,3826.2248,18791.97,181935.92,,,,180.4302,886.16,8579.41,,,
2004-06-01,3826.22467,18791.97,181935.92,,,,142.14733,698.14,6759.07,,,
2004-07-01,3826.22518,18791.97,181935.92,,,,132.77982,652.13,6313.64,,,
2004-08-01,3826.22553,18791.97,181935.92,,,,146.53447,719.68,6967.67,,,
2004-09-01,3826.22536,18791.97,181935.92,,,,125.09864,614.4,5948.4,,,
2004-10-01,3826.22508,18791.97,181935.92,,,,102.69692,504.38,4883.21,,,
2004-11-01,3826.22476,18791.97,181935.92,,,,175.80524,863.44,8359.49,,,
2004-12-01,3826.22545,18791.97,181935.92,,,,153.82055,755.47,7314.12,,,
2005-01-01,4156.05515,20411.88,245541.4,,,,109.09785,535.82,6445.54,,,
2005-02-01,3773.509,18533.06,222940.54,,,,96.718,475.02,5714.14,,,
2005-03-01,4044.95896,19866.25,238977.82,,,,115.41604,566.85,6818.83,,,
2005-04-01,3327.7202,16343.63,196603.0,,,,118.3298,581.16,6990.97,,,
2005-05-01,3161.42118,15526.88,186778.09,,,,95.99382,471.46,5671.36,,,
2005-06-01,4052.27223,19902.17,239410.0,,,,163.31377,802.09,9648.65,,,
2005-07-01,4521.15331,22205.01,267111.67,,,,210.45269,1033.61,12433.63,,,
2005-08-01,4478.13257,21993.72,264569.99,,,,225.00543,1105.08,13293.42,,,
2005-09-01,4034.1068,19812.95,238336.69,,,,148.8432,731.02,8793.72,,,
2005-10-01,3777.76614,18553.97,223191.98,,,,102.93286,505.54,6081.32,,,
2005-11-01,3709.90725,18220.69,219182.83,,,,92.39375,453.78,5458.66,,,
2005-12-01,4279.31058,21017.24,252823.5,,,,99.82542,490.28,5897.73,,,
2006-01-01,3218.03269,15804.92,239486.64,,,,75.68431,371.71,5632.44,,,
2006-02-01,3025.67016,14860.16,225170.98,,,,75.46383999999999,370.63,5616.03,,,
2006-03-01,2954.61919,14511.2,219883.43,,,,82.32681,404.34,6126.78,,,
2006-04-01,2957.43252,14525.02,220092.96,,,,69.21748,339.95,5151.18,,,
2006-05-01,3110.32521,15275.93,231471.07,,,,67.14578999999999,329.78,4997.0,,,
2006-06-01,3181.78368,15626.89,236789.17,,,,85.89232,421.85,6392.13,,,
2006-07-01,3341.29484,16410.31,248659.99,,,,128.62916,631.74,9572.61,,,
2006-08-01,3339.83305,16403.12,248551.01,,,,121.10095,594.77,9012.36,,,
2006-09-01,3016.22009,14813.75,224467.82,,,,85.89690999999999,421.87,6392.47,,,
2006-10-01,2953.05475,14503.52,219766.92,,,,95.79625,470.49,7129.18,,,
2006-11-01,2993.88046,14704.02,222805.25,,,,82.39753999999999,404.68,6132.04,,,
2006-12-01,3191.04182,15672.35,237477.96,,,,80.51418,395.43,5991.88,,,
2007-01-01,3067.793,15072.0,175248.0,,,,178.205,875.0,10180.0,2720.3450000000003,13360.0,155400.0
2007-02-01,2209.563,10848.0,153912.0,,,,1245.9160000000002,6119.0,86787.0,1772.394,8700.0,123460.0
2007-03-01,2522.141,12384.0,153672.0,,,,334.02700000000004,1641.0,20352.0,2130.67,10460.0,129820.0
2007-04-01,1856.556,9120.0,144312.0,,,,903.513,4437.0,70231.0,965.895,4740.0,75080.0
2007-05-01,2660.283,13056.0,220896.0,,,,1317.28,6470.0,109380.0,0.0,0.0,0.0
2007-06-01,24.01,120.0,3624.0,,,,445.85200000000003,2190.0,67296.0,415.535,2040.0,62720.0
2007-07-01,264.985,1296.0,30384.0,,,,314.6,1545.0,36073.0,519.9590000000001,2560.0,59620.0
2007-08-01,945.134,4632.0,82680.0,,,,728.729,3579.0,63749.0,178.556,880.0,15620.0
2007-09-01,2329.913,11448.0,140928.0,,,,403.06600000000003,1980.0,24380.0,1375.185,6760.0,83180.0
2007-10-01,2179.763,10704.0,162744.0,,,,1201.117,5899.0,89677.0,1932.46,9500.0,144280.0
2007-11-01,2199.905,10800.0,155976.0,,,,1312.4460000000001,6446.0,93054.0,1797.1480000000001,8820.0,127420.0
2007-12-01,2250.522,11064.0,175248.0,,,,1458.278,7162.0,113556.0,1844.615,9060.0,143640.0
2008-01-01,0.0,0.0,0.0,,,,302.142,1484.0,15230.0,5529.761,27159.0,278730.0
2008-02-01,0.0,0.0,0.0,,,,301.52,1481.0,14335.0,5452.598,26780.0,259221.0
2008-03-01,0.0,0.0,0.0,,,,72.671,357.0,3625.0,5061.092000000001,24857.0,252427.0
2008-04-01,0.0,0.0,0.0,,,,61.817,304.0,4143.0,4144.2970000000005,20354.0,277728.0
2008-05-01,0.0,0.0,0.0,,,,88.75500000000001,436.0,4315.0,2998.609,14727.0,145772.0
2008-06-01,0.0,0.0,0.0,,,,43.019000000000005,211.0,3228.0,917.2810000000001,4505.0,68830.0
2008-07-01,0.0,0.0,0.0,,,,31.734,156.0,2252.0,938.1690000000001,4608.0,66565.0
2008-08-01,0.0,0.0,0.0,,,,7.141,35.0,352.0,1125.053,5526.0,55496.0
2008-09-01,0.0,0.0,0.0,,,,179.72400000000002,883.0,8726.0,3537.598,17374.0,171761.0
2008-10-01,0.0,0.0,0.0,,,,187.19500000000002,919.0,10016.0,4731.462,23238.0,253153.0
2008-11-01,0.0,0.0,0.0,,,,111.465,547.0,5540.0,5515.893,27091.0,274168.0
2008-12-01,0.0,0.0,0.0,,,,60.258,296.0,3724.0,5432.658,26682.0,335788.0
2009-01-01,3223.89,15834.0,179263.0,,,,63.369,311.0,3524.0,2249.831,11050.0,125101.0
2009-02-01,2175.426,10684.0,123574.0,,,,242.755,1192.0,13790.0,1814.8220000000001,8913.0,103090.0
2009-03-01,2199.7670000000003,10804.0,97613.0,,,,72.653,357.0,3224.0,1753.1580000000001,8610.0,77795.0
2009-04-01,1498.4940000000001,7360.0,54706.0,,,,283.998,1395.0,10368.0,1555.511,7640.0,56787.0
2009-05-01,0.0,0.0,0.0,,,,126.07900000000001,619.0,10568.0,815.015,4003.0,68314.0
2009-06-01,0.0,0.0,0.0,,,,109.305,537.0,10344.0,844.273,4147.0,79900.0
2009-07-01,488.94300000000004,2401.0,38932.0,,,,56.982,280.0,4537.0,392.28900000000004,1927.0,31236.0
2009-08-01,1744.151,8566.0,107487.0,,,,102.771,505.0,6333.0,91.923,451.0,5665.0
2009-09-01,2388.552,11731.0,140645.0,,,,137.227,674.0,8080.0,1796.5320000000002,8823.0,105785.0
2009-10-01,2943.663,14457.0,168992.0,,,,237.923,1169.0,13659.0,2091.4210000000003,10272.0,120066.0
2009-11-01,2824.3360000000002,13871.0,174828.0,,,,186.995,918.0,11575.0,2200.217,10806.0,136195.0
2009-12-01,2981.302,14642.0,183782.0,,,,253.15200000000002,1243.0,15606.0,2165.313,10635.0,133481.0
2010-01-01,3332.87,16369.0,180645.0,,,,497.22200000000004,2442.0,26950.0,1806.8690000000001,8874.0,97934.0
2010-02-01,2865.926,14076.0,154855.0,,,,193.44500000000002,950.0,10452.0,1907.3010000000002,9367.0,103058.0
2010-03-01,3104.414,15247.0,166645.0,,,,238.906,1173.0,12825.0,2006.5120000000002,9855.0,107710.0
2010-04-01,3190.478,15670.0,153367.0,,,,209.38500000000002,1028.0,10065.0,1225.902,6021.0,58929.0
2010-05-01,2418.786,11880.0,117298.0,,,,182.383,896.0,8845.0,1073.8990000000001,5274.0,52078.0
2010-06-01,0.0,0.0,0.0,,,,92.426,454.0,9406.0,657.568,3230.0,66919.0
2010-07-01,801.998,3939.0,49277.0,,,,67.691,332.0,4159.0,484.334,2379.0,29759.0
2010-08-01,2536.464,12457.0,144088.0,,,,558.583,2743.0,31731.0,0.0,0.0,0.0
2010-09-01,2447.896,12022.0,129902.0,,,,201.548,990.0,10696.0,1324.278,6504.0,70275.0
2010-10-01,3012.589,14796.0,147251.0,,,,135.81300000000002,667.0,6638.0,2259.047,11095.0,110419.0
2010-11-01,2709.616,13308.0,162506.0,,,,172.05100000000002,845.0,10319.0,2421.109,11891.0,145203.0
2010-12-01,3103.398,15242.0,170134.0,,,,233.274,1146.0,12788.0,2376.152,11670.0,130265.0
2011-01-01,3050.26,14386.0,181787.0,,,,221.875,1046.0,13223.0,2560.865,12078.0,152621.0
2011-02-01,2776.227,13094.0,160008.0,,,,80.009,377.0,4611.0,2041.764,9630.0,117677.0
2011-03-01,4361.419,20570.0,278603.0,,,,217.419,1025.0,13889.0,526.162,2482.0,33611.0
2011-04-01,0.0,0.0,0.0,,,,940.745,4437.0,65331.0,2194.255,10349.0,152382.0
2011-05-01,435.586,2054.0,41343.0,,,,417.64,1970.0,39640.0,1365.774,6442.0,129630.0
2011-06-01,285.571,1347.0,23831.0,,,,52.432,247.0,4375.0,499.997,2358.0,41725.0
2011-07-01,1290.675,6087.0,76227.0,,,,1.325,6.0,78.0,0.0,0.0,0.0
2011-08-01,2184.599,10303.0,123049.0,,,,353.752,1668.0,19925.0,565.649,2668.0,31861.0
2011-09-01,2738.351,12915.0,146670.0,,,,274.242,1293.0,14689.0,1695.407,7996.0,90809.0
2011-10-01,2999.641,14147.0,167563.0,,,,230.501,1087.0,12876.0,2413.858,11385.0,134841.0
2011-11-01,3014.176,14216.0,173229.0,,,,160.437,757.0,9221.0,2541.387,11986.0,146057.0
2011-12-01,3261.657,15383.0,178289.0,,,,179.63,847.0,9819.0,2644.713,12473.0,144566.0
2012-01-01,3160.63,15085.0,187850.0,,,,254.423,1214.0,15121.0,2449.947,11693.0,145611.0
2012-02-01,3003.313,14165.0,172474.0,,,,2394.754,11295.0,137526.0,286.933,1353.0,16478.0
2012-03-01,3209.383,15137.0,170586.0,,,,2605.617,12289.0,138495.0,0.0,0.0,0.0
2012-04-01,49.87,235.0,3246.0,,,,2458.827,11597.0,160020.0,660.303,3114.0,42972.0
2012-05-01,0.0,0.0,0.0,,,,2514.657,11860.0,147191.0,763.343,3600.0,44681.0
2012-06-01,227.956,1075.0,16067.0,,,,1820.861,8588.0,128336.0,551.183,2600.0,38848.0
2012-07-01,330.471,1559.0,71816.0,,,,521.529,2460.0,113336.0,0.0,0.0,0.0
2012-08-01,1151.872,5433.0,88803.0,,,,97.128,458.0,7488.0,0.0,0.0,0.0
