measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0
2024-05-01,831.0,2835.0,2835.0
2024-06-01,915.0,3122.0,3122.0
2024-07-01,787.0,2685.0,2685.0
2024-08-01,1005.0,3429.0,3429.0
2024-09-01,625.0,2133.0,2133.0
2024-10-01,600.0,2047.0,2047.0
2024-11-01,234.0,798.0,798.0
2024-12-01,207.0,706.0,706.0
