measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,64426.527,762437.0,862537.0
2003-02-01,51190.0,597765.0,682912.0
2003-03-01,50194.881,630347.0,715297.0
2003-04-01,45825.516,571160.0,651444.0
2003-05-01,28319.247000000003,414496.0,471419.0
2003-06-01,43616.826,600645.0,669486.0
2003-07-01,51817.788,668299.0,765551.0
2003-08-01,57425.94,751775.0,836827.0
2003-09-01,45278.145000000004,619693.0,682064.0
2003-10-01,45892.737,617070.0,701746.0
2003-11-01,44625.141,590070.0,669720.0
2003-12-01,67480.281,806880.0,917379.0
2004-01-01,58333.539000000004,613448.17,825496.32
2004-02-01,52482.599,551918.41,742698.0
2004-03-01,47834.401,503036.96,676919.84
2004-04-01,42786.538,449952.53,605485.94
2004-05-01,48884.803,514083.21,691784.48
2004-06-01,54704.602,575285.48,774142.15
2004-07-01,61431.026,646022.01,869329.83
2004-08-01,58521.521,615425.03,828156.55
2004-09-01,55817.432,586988.24,789890.18
2004-10-01,49761.806,523305.96,704195.02
2004-11-01,53775.298,565512.72,760991.32
2004-12-01,58846.566,618843.28,832756.36
2005-01-01,63978.332,672810.04,896697.71
2005-02-01,55896.747,587822.33,783429.03
2005-03-01,60612.076,637409.76,849517.52
2005-04-01,51040.12,536748.99,715360.31
2005-05-01,60686.448,638191.88,850560.0
2005-06-01,62550.034,657789.74,876679.37
2005-07-01,66645.509,700858.66,934080.11
2005-08-01,65629.167,690170.58,919835.42
2005-09-01,61580.599,647594.96,863092.08
2005-10-01,60651.916,637828.73,850075.91
2005-11-01,60200.845,633085.17,843754.01
2005-12-01,65119.293,684808.63,912689.04
2006-01-01,65971.835,693774.15,910325.53
2006-02-01,61583.177,647622.07,849767.62
2006-03-01,60203.254,633110.49,830726.38
2006-04-01,54277.925,570798.45,748964.56
2006-05-01,61082.581,642357.69,842860.15
2006-06-01,67388.417,708671.24,929872.33
2006-07-01,70961.771,746249.4,979180.11
2006-08-01,72013.881,757313.62,993697.65
2006-09-01,61427.481,645984.74,847619.17
2006-10-01,51869.079,545466.51,715725.67
2006-11-01,51239.477,538845.47,707038.0
2006-12-01,62285.995,655013.06,859465.63
2007-01-01,52003.0,564215.0,764196.0
2007-02-01,62202.0,670360.0,856389.0
2007-03-01,60652.0,658034.0,863044.0
2007-04-01,59142.0,642676.0,836530.0
2007-05-01,37094.0,408292.0,569667.0
2007-06-01,54486.0,593313.0,789515.0
2007-07-01,47675.0,526051.0,727499.0
2007-08-01,60324.0,656608.0,813875.0
2007-09-01,40128.0,439992.0,555517.0
2007-10-01,44168.0,486449.0,591124.0
2007-11-01,63820.0,688333.0,840600.0
2007-12-01,70032.0,755991.0,934182.0
2008-01-01,73803.0,795699.0,957562.0
2008-02-01,65341.0,709910.0,841559.0
2008-03-01,37822.0,416916.0,495272.0
2008-04-01,73871.0,798678.0,959144.0
2008-05-01,57408.0,638371.0,796903.0
2008-06-01,77694.0,831206.0,956918.0
2008-07-01,76509.0,829600.0,999827.0
2008-08-01,72756.0,798072.0,938782.0
2008-09-01,74275.0,806403.0,970119.0
2008-10-01,64037.0,698488.0,812488.0
2008-11-01,50020.0,548078.0,636649.0
2008-12-01,38816.0,429075.0,545852.0
2009-01-01,46752.0,516338.0,642442.0
2009-02-01,22574.0,253125.0,317296.0
2009-03-01,15031.0,162933.0,192017.0
2009-04-01,10747.0,118266.0,146745.0
2009-05-01,4214.0,44626.0,56372.0
2009-06-01,8135.0,94403.0,131986.0
