measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2021-04-01,-0.199,0.0,0.0,432.976,3829.0,3829.0
2021-05-01,-0.225,0.0,0.0,538.125,4759.0,4759.0
2021-06-01,-0.218,0.0,0.0,557.851,4934.0,4934.0
2021-07-01,-0.23,0.0,0.0,438.992,3882.0,3882.0
2021-08-01,-0.22,0.0,0.0,442.503,3913.0,3913.0
2021-09-01,-0.218,0.0,0.0,411.242,3637.0,3637.0
2021-10-01,-0.232,0.0,0.0,303.918,2688.0,2688.0
2021-11-01,-0.215,0.0,0.0,300.574,2658.0,2658.0
2021-12-01,-0.243,0.0,0.0,160.819,1422.0,1422.0
2022-01-01,-2.882,0.0,0.0,556.775,1900.0,1900.0
2022-02-01,-2.39,0.0,0.0,366.408,1250.0,1250.0
2022-03-01,-2.472,0.0,0.0,546.84,1866.0,1866.0
2022-04-01,-2.959,0.0,0.0,668.129,2280.0,2280.0
2022-05-01,-2.96,0.0,0.0,751.992,2566.0,2566.0
2022-06-01,-3.007,0.0,0.0,756.381,2581.0,2581.0
2022-07-01,-2.88,0.0,0.0,834.931,2849.0,2849.0
2022-08-01,-2.822,0.0,0.0,736.513,2513.0,2513.0
2022-09-01,-2.876,0.0,0.0,610.604,2083.0,2083.0
2022-10-01,-2.967,0.0,0.0,484.001,1651.0,1651.0
2022-11-01,-2.861,0.0,0.0,399.214,1362.0,1362.0
2022-12-01,-2.924,0.0,0.0,259.212,884.0,884.0
2023-01-01,-6.0,0.0,0.0,265.0,904.0,904.0
2023-02-01,-9.0,0.0,0.0,498.0,1699.0,1699.0
2023-03-01,-10.0,0.0,0.0,793.0,2706.0,2706.0
2023-04-01,-7.0,0.0,0.0,704.0,2402.0,2402.0
2023-05-01,-6.0,0.0,0.0,996.0,3398.0,3398.0
2023-06-01,-9.0,0.0,0.0,791.0,2699.0,2699.0
2023-07-01,-6.0,0.0,0.0,742.0,2532.0,2532.0
2023-08-01,-8.0,0.0,0.0,828.0,2825.0,2825.0
2023-09-01,-5.0,0.0,0.0,548.0,1870.0,1870.0
2023-10-01,-9.0,0.0,0.0,515.0,1757.0,1757.0
2023-11-01,-7.0,0.0,0.0,533.0,1819.0,1819.0
2023-12-01,-4.0,0.0,0.0,332.0,1133.0,1133.0
2024-01-01,-4.0,0.0,0.0,202.0,689.0,689.0
2024-02-01,-1.0,0.0,0.0,617.0,2105.0,2105.0
2024-03-01,-3.0,0.0,0.0,617.0,2105.0,2105.0
2024-04-01,-4.0,0.0,0.0,652.0,2225.0,2225.0
2024-05-01,-5.0,0.0,0.0,750.0,2559.0,2559.0
2024-06-01,-7.0,0.0,0.0,794.0,2709.0,2709.0
2024-07-01,-10.0,0.0,0.0,763.0,2603.0,2603.0
2024-08-01,-10.0,0.0,0.0,686.0,2341.0,2341.0
2024-09-01,-8.0,0.0,0.0,654.0,2231.0,2231.0
2024-10-01,-2.0,0.0,0.0,377.0,1286.0,1286.0
2024-11-01,-5.0,0.0,0.0,449.0,1532.0,1532.0
2024-12-01,-28.0,0.0,0.0,335.0,1143.0,1143.0
