measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,6342.526000000001,78800.0,81890.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1458.357,18118.0,18829.0,0.0,0.0,0.0
2003-02-01,5659.404,70312.0,73070.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1301.284,16167.0,16801.0,0.0,0.0,0.0
2003-03-01,5606.972000000001,69661.0,72393.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1289.228,16017.0,16645.0,0.0,0.0,0.0
2003-04-01,4766.67,59221.0,61544.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1096.015,13616.0,14151.0,0.0,0.0,0.0
2003-05-01,5110.7,63495.0,65986.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1175.1190000000001,14599.0,15172.0,0.0,0.0,0.0
2003-06-01,5631.8640000000005,69970.0,72715.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1294.952,16088.0,16719.0,0.0,0.0,0.0
2003-07-01,6195.688,76975.0,79994.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1424.594,17699.0,18393.0,0.0,0.0,0.0
2003-08-01,6542.937,81289.0,84478.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1504.438,18691.0,19424.0,0.0,0.0,0.0
2003-09-01,5323.474,66139.0,68733.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1224.0430000000001,15207.0,15803.0,0.0,0.0,0.0
2003-10-01,5000.344,62124.0,64561.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1149.745,14284.0,14844.0,0.0,0.0,0.0
2003-11-01,5246.3910000000005,65181.0,67738.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1206.319,14987.0,15575.0,0.0,0.0,0.0
2003-12-01,6284.03,78073.0,81135.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1444.9070000000002,17951.0,18655.0,0.0,0.0,0.0
2004-01-01,2408.51906,28277.05,55048.07,,,,,,,,,,395.24594,4640.36,9033.57,,,
2004-02-01,2325.72741,27305.05,52997.91,,,,,,,,,,396.42359,4654.19,9033.57,,,
