measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2017-12-01,4.0,0.0,0.0,867.24,7990.0,7990.0
2018-01-01,-4.104,0.0,0.0,1027.891,9358.0,9358.0
2018-02-01,-3.708,0.0,0.0,858.194,7813.0,7813.0
2018-03-01,-4.181,0.0,0.0,1599.159,14559.0,14559.0
2018-04-01,-3.891,0.0,0.0,1826.036,16624.0,16624.0
2018-05-01,-4.036,0.0,0.0,1990.526,18122.0,18122.0
2018-06-01,-4.25,0.0,0.0,1936.464,17630.0,17630.0
2018-07-01,-4.261,0.0,0.0,1886.086,17171.0,17171.0
2018-08-01,-4.307,0.0,0.0,1786.393,16263.0,16263.0
2018-09-01,-3.785,0.0,0.0,1531.351,13941.0,13941.0
2018-10-01,-4.096,0.0,0.0,1506.02,13711.0,13711.0
2018-11-01,-4.096,0.0,0.0,914.595,8326.0,8326.0
2018-12-01,-4.285,0.0,0.0,807.285,7350.0,7350.0
2019-01-01,-4.909,0.0,0.0,877.812,7817.0,7817.0
2019-02-01,-4.234,0.0,0.0,830.253,7393.0,7393.0
2019-03-01,-4.602,0.0,0.0,1543.269,13743.0,13743.0
2019-04-01,-4.373,0.0,0.0,1839.041,16377.0,16377.0
2019-05-01,-4.723,0.0,0.0,2132.346,18989.0,18989.0
2019-06-01,-4.65,0.0,0.0,1920.205,17099.0,17099.0
2019-07-01,-4.834,0.0,0.0,1992.229,17741.0,17741.0
2019-08-01,-4.935,0.0,0.0,1880.781,16748.0,16748.0
2019-09-01,-4.686,0.0,0.0,1897.842,16900.0,16900.0
2019-10-01,-4.596,0.0,0.0,1206.671,10745.0,10745.0
2019-11-01,-4.641,0.0,0.0,1224.768,10907.0,10907.0
2019-12-01,-4.817,0.0,0.0,821.783,7318.0,7318.0
2020-01-01,-3.461,0.0,0.0,872.614,7650.0,7650.0
2020-02-01,-3.214,0.0,0.0,997.936,8749.0,8749.0
2020-03-01,-3.642,0.0,0.0,1276.318,11189.0,11189.0
2020-04-01,-3.496,0.0,0.0,1794.295,15731.0,15731.0
2020-05-01,-3.518,0.0,0.0,2010.431,17625.0,17625.0
2020-06-01,-3.286,0.0,0.0,1885.98,16534.0,16534.0
2020-07-01,-3.568,0.0,0.0,1770.41,15521.0,15521.0
2020-08-01,-3.652,0.0,0.0,1752.953,15368.0,15368.0
2020-09-01,-3.413,0.0,0.0,1400.505,12278.0,12278.0
