measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2021-01-01,485.745,3624.0,3624.0
2021-02-01,411.928,3072.0,3072.0
2021-03-01,442.903,3303.0,3303.0
2021-04-01,393.003,2931.0,2931.0
2021-05-01,410.738,3064.0,3064.0
2021-06-01,561.661,4189.0,4189.0
2021-07-01,775.082,5781.0,5781.0
2021-08-01,707.676,5279.0,5279.0
2021-09-01,602.149,4492.0,4492.0
2021-10-01,574.033,4282.0,4282.0
2021-11-01,527.564,3936.0,3936.0
2021-12-01,544.518,4061.0,4061.0
2022-01-01,360.748,2818.0,2818.0
2022-02-01,299.518,2339.0,2339.0
2022-03-01,277.134,2164.0,2164.0
2022-04-01,283.878,2217.0,2217.0
2022-05-01,260.506,2034.0,2034.0
2022-06-01,354.306,2767.0,2767.0
2022-07-01,473.317,3697.0,3697.0
2022-08-01,571.12,4460.0,4460.0
2022-09-01,523.43,4087.0,4087.0
2022-10-01,480.69,3753.0,3753.0
2022-11-01,441.431,3447.0,3447.0
2022-12-01,487.922,3810.0,3810.0
2023-01-01,531.178,3827.0,3827.0
2023-02-01,452.461,3260.0,3260.0
2023-03-01,434.873,3134.0,3134.0
2023-04-01,339.726,2448.0,2448.0
2023-05-01,220.039,1586.0,1586.0
2023-06-01,289.469,2086.0,2086.0
2023-07-01,670.065,4829.0,4829.0
2023-08-01,676.109,4872.0,4872.0
2023-09-01,478.569,3449.0,3449.0
2023-10-01,584.421,4211.0,4211.0
2023-11-01,548.998,3956.0,3956.0
2023-12-01,618.092,4454.0,4454.0
2024-01-01,589.0,4312.0,4312.0
2024-02-01,532.0,3854.0,3854.0
2024-03-01,582.0,4169.0,4169.0
2024-04-01,548.0,3933.0,3933.0
2024-05-01,579.0,4104.0,4104.0
2024-06-01,595.0,4159.0,4159.0
2024-07-01,423.0,3166.0,3166.0
2024-08-01,62.0,1008.0,1008.0
2024-09-01,594.0,4161.0,4161.0
2024-10-01,626.0,4493.0,4493.0
2024-11-01,633.0,4406.0,4406.0
2024-12-01,706.0,4817.0,4817.0
