measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,102.0,2478.0,2478.0,2848.5,68898.5,68898.5,,,
2003-02-01,88.0,2181.0,2181.0,2394.5,59246.0,59246.0,,,
2003-03-01,122.0,2856.0,2856.0,2950.0,68896.0,68896.0,,,
2003-04-01,110.0,2765.0,2765.0,2267.0,56895.0,56895.0,,,
2003-05-01,62.0,1436.0,1436.0,3047.0,70935.0,70935.0,,,
2003-06-01,246.0,5877.0,5877.0,2717.0,65037.5,65037.5,,,
2003-07-01,208.0,3302.0,3302.0,4266.0,67710.5,67710.5,,,
2003-08-01,123.0,3004.0,3004.0,2518.5,61486.0,61486.0,,,
2003-09-01,180.0,4422.0,4422.0,2422.0,59356.0,59356.0,,,
2003-10-01,138.0,3308.0,3308.0,2921.0,69970.5,69970.5,,,
2003-11-01,182.0,4398.0,4398.0,2761.0,66649.0,66649.0,,,
2003-12-01,157.0,3969.0,3969.0,2226.5,56402.5,56402.5,,,
2004-01-01,110.57300000000001,2594.0,2594.0,2298.947,53929.0,53929.0,127.33300000000001,2988.0,2988.0
2004-02-01,70.09400000000001,1644.0,1644.0,2378.462,55794.0,55794.0,127.33300000000001,2988.0,2988.0
2004-03-01,563.9340000000001,13230.0,13230.0,2657.8514999999998,62348.0,62348.0,127.33300000000001,2988.0,2988.0
2004-04-01,74.435,1746.0,1746.0,2823.4390000000003,66232.5,66232.5,127.33300000000001,2988.0,2988.0
2004-05-01,56.5,1325.0,1325.0,2789.473,65435.5,65435.5,127.33300000000001,2988.0,2988.0
2004-06-01,63.524,1490.0,1490.0,2709.317,63555.0,63555.0,127.33300000000001,2988.0,2988.0
