measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,,,,22347.0,261864.0,261864.0,,,
2003-02-01,,,,4188.0,48581.0,48581.0,,,,19879.0,231836.0,231836.0,,,
2003-03-01,,,,1244.0,14529.0,14529.0,,,,24261.0,282024.0,282024.0,,,
2003-04-01,,,,0.0,0.0,0.0,,,,20819.0,244853.0,244853.0,,,
2003-05-01,,,,0.0,0.0,0.0,,,,26340.0,306432.0,306432.0,,,
2003-06-01,,,,0.0,0.0,0.0,,,,24576.0,286213.0,286213.0,,,
2003-07-01,,,,0.0,0.0,0.0,,,,22812.0,275499.0,275499.0,,,
2003-08-01,,,,0.0,0.0,0.0,,,,23526.0,276626.0,276626.0,,,
2003-09-01,,,,0.0,0.0,0.0,,,,19083.0,231986.0,231986.0,,,
2003-10-01,,,,0.0,0.0,0.0,,,,8107.0,99994.0,99994.0,,,
2003-11-01,,,,0.0,0.0,0.0,,,,21853.0,257421.0,257421.0,,,
2003-12-01,,,,0.0,0.0,0.0,,,,21330.0,255919.0,255919.0,,,
2004-01-01,,,,3.4330000000000003,44.0,44.0,,,,20163.63,222559.0,222559.0,0.0,0.0,0.0
2004-02-01,,,,2.03,26.0,26.0,,,,20820.724,229812.0,229812.0,0.0,0.0,0.0
2004-03-01,,,,2.523,33.0,33.0,,,,20293.447,223992.0,223992.0,0.0,0.0,0.0
2004-04-01,,,,3.369,43.0,43.0,,,,22190.383,244930.0,244930.0,0.0,0.0,0.0
2004-05-01,,,,1.937,25.0,25.0,,,,28557.373,315206.0,315206.0,0.0,0.0,0.0
2004-06-01,,,,3.8270000000000004,49.0,49.0,,,,35799.23,395139.0,395139.0,0.0,0.0,0.0
2004-07-01,,,,1.719,22.0,22.0,,,,47074.332,519590.0,519590.0,0.0,0.0,0.0
2004-08-01,,,,1.044,13.0,13.0,,,,44825.546,494768.0,494768.0,0.0,0.0,0.0
2004-09-01,,,,1.742,22.0,22.0,,,,31640.546,349237.0,349237.0,0.0,0.0,0.0
2004-10-01,,,,1.69,22.0,22.0,,,,29069.755,320862.0,320862.0,0.0,0.0,0.0
2004-11-01,,,,3.2110000000000003,41.0,41.0,,,,15543.965,171569.0,171569.0,0.0,0.0,0.0
2004-12-01,,,,6.475,83.0,83.0,,,,17486.068,193005.0,193005.0,0.0,0.0,0.0
2005-01-01,,,,0.0,0.0,0.0,6860.4130000000005,72095.54,72095.54,27881.367,312213.41,312213.41,,,
2005-02-01,,,,0.0,0.0,0.0,5695.125,59849.62,59849.62,23145.525,259181.81,259181.81,,,
2005-03-01,,,,0.0,0.0,0.0,7052.947,74118.86,74118.86,28663.842,320975.5,320975.5,,,
2005-04-01,,,,0.0,0.0,0.0,6949.332,73029.99,73029.99,28242.742,316260.06,316260.06,,,
2005-05-01,,,,0.0,0.0,0.0,8192.139000000001,86090.55,86090.55,33293.628,372819.5,372819.5,,,
2005-06-01,,,,0.0,0.0,0.0,10338.705,108648.65,108648.65,42017.475,470508.47,470508.47,,,
2005-07-01,,,,0.0,0.0,0.0,12957.489,136169.24,136169.24,52660.46,589687.8,589687.8,,,
2005-08-01,,,,0.0,0.0,0.0,13422.554,141056.57,141056.57,54550.528,610852.64,610852.64,,,
2005-09-01,,,,0.0,0.0,0.0,10213.725,107335.23,107335.23,41509.543,464820.68,464820.68,,,
2005-10-01,,,,0.0,0.0,0.0,8159.519,85747.75,85747.75,33161.058,371334.99,371334.99,,,
2005-11-01,,,,0.0,0.0,0.0,6961.421,73157.03,73157.03,28291.872000000003,316810.22,316810.22,,,
2005-12-01,,,,0.0,0.0,0.0,6793.631,71393.74,71393.74,27609.96,309174.22,309174.22,,,
2006-01-01,,,,0.0,0.0,0.0,3667.793,39971.0,39971.0,13260.163,158311.0,158311.0,,,
2006-02-01,,,,0.0,0.0,0.0,4351.502,47422.0,47422.0,15731.975,187822.0,187822.0,,,
2006-03-01,,,,0.0,0.0,0.0,4963.286,54089.0,54089.0,17943.759,214228.0,214228.0,,,
2006-04-01,,,,0.0,0.0,0.0,5551.545,60500.0,60500.0,20070.487,239619.0,239619.0,,,
2006-05-01,,,,0.0,0.0,0.0,6430.075000000001,70074.0,70074.0,23246.637,277538.0,277538.0,,,
2006-06-01,,,,0.0,0.0,0.0,8193.664,89293.0,89293.0,29622.537,353659.0,353659.0,,,
2006-07-01,,,,0.0,0.0,0.0,10301.224,112261.0,112261.0,37241.992,444627.0,444627.0,,,
2006-08-01,,,,0.0,0.0,0.0,10431.135,113676.0,113676.0,37711.661,450234.0,450234.0,,,
2006-09-01,,,,0.0,0.0,0.0,7097.368,77346.0,77346.0,25659.099000000002,306340.0,306340.0,,,
2006-10-01,,,,0.0,0.0,0.0,6426.039000000001,70030.0,70030.0,23232.047,277364.0,277364.0,,,
2006-11-01,,,,0.0,0.0,0.0,4772.334,52008.0,52008.0,17253.407,205986.0,205986.0,,,
2006-12-01,,,,0.0,0.0,0.0,4975.035,54217.0,54217.0,17986.235,214735.0,214735.0,,,
2007-01-01,,,,0.0,0.0,0.0,3783.9550000000004,39588.0,39588.0,24547.0,287037.0,287037.0,,,
2007-02-01,,,,0.0,0.0,0.0,3215.15,33637.0,33637.0,3580.0,40804.0,40804.0,,,
2007-03-01,,,,0.0,0.0,0.0,3741.2650000000003,39141.0,39141.0,22878.0,266582.0,266582.0,,,
2007-04-01,,,,0.0,0.0,0.0,3523.681,36865.0,36865.0,26773.0,307722.0,307722.0,,,
2007-05-01,,,,0.0,0.0,0.0,3840.516,40179.0,40179.0,26190.0,302375.0,302375.0,,,
2007-06-01,,,,0.0,0.0,0.0,4496.704000000001,47044.0,47044.0,23937.0,279838.0,279838.0,,,
2007-07-01,,,,0.0,0.0,0.0,4854.952,50792.0,50792.0,24226.0,285238.0,285238.0,,,
2007-08-01,,,,0.0,0.0,0.0,5787.64,60550.0,60550.0,25404.0,298314.0,298314.0,,,
2007-09-01,,,,0.0,0.0,0.0,4731.37,49500.0,49500.0,24064.0,283991.0,283991.0,,,
2007-10-01,,,,0.0,0.0,0.0,3977.5130000000004,41613.0,41613.0,22630.0,268311.0,268311.0,,,
2007-11-01,,,,0.0,0.0,0.0,3145.4990000000003,32908.0,32908.0,22881.0,269099.0,269099.0,,,
2007-12-01,,,,0.0,0.0,0.0,3260.7540000000004,34114.0,34114.0,23723.0,277702.0,277702.0,,,
2008-01-01,0.0,0.0,0.0,,,,3849.3140000000003,40589.0,40589.0,273.0,4079.0,4079.0,,,
2008-02-01,0.0,0.0,0.0,,,,3252.815,34298.0,34298.0,946.0,11745.0,11745.0,,,
2008-03-01,,,,0.0,0.0,0.0,3732.344,39354.0,39354.0,3709.0,46698.0,46698.0,,,
2008-04-01,,,,0.0,0.0,0.0,3629.3230000000003,38267.0,38267.0,8887.0,103671.0,103671.0,,,
2008-05-01,,,,0.0,0.0,0.0,4414.095,46542.0,46542.0,13370.0,157175.0,157175.0,,,
2008-06-01,,,,0.0,0.0,0.0,5361.736,56534.0,56534.0,24924.0,292238.0,292238.0,,,
2008-07-01,,,,0.0,0.0,0.0,5817.678,61342.0,61342.0,23629.0,280847.0,280847.0,,,
2008-08-01,,,,0.0,0.0,0.0,5730.514,60422.0,60422.0,24094.0,285849.0,285849.0,,,
2008-09-01,,,,0.0,0.0,0.0,3862.429,40725.0,40725.0,21568.0,254444.0,254444.0,,,
2008-10-01,0.0,0.0,0.0,,,,3697.9570000000003,38991.0,38991.0,0.0,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,,,,2842.449,29971.0,29971.0,0.0,0.0,0.0,,,
2008-12-01,0.0,0.0,0.0,,,,3150.346,33218.0,33218.0,0.0,0.0,0.0,,,
2009-01-01,0.0,0.0,0.0,,,,1965.101,20342.0,20342.0,1788.0,21771.0,21771.0,,,
2009-02-01,0.0,0.0,0.0,,,,1676.861,17358.0,17358.0,0.0,0.0,0.0,,,
2009-03-01,,,,0.0,0.0,0.0,2157.7490000000003,22337.0,22337.0,4895.0,59289.0,59289.0,,,
2009-04-01,0.0,0.0,0.0,,,,1882.0040000000001,19482.0,19482.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,,,,2519.525,26082.0,26082.0,0.0,0.0,0.0,,,
2009-06-01,,,,0.0,0.0,0.0,3369.279,34878.0,34878.0,7583.0,90437.0,90437.0,,,
2009-07-01,,,,0.0,0.0,0.0,3716.587,38474.0,38474.0,26030.0,306310.0,306310.0,,,
2009-08-01,,,,0.0,0.0,0.0,3729.077,38603.0,38603.0,25284.0,296865.0,296865.0,,,
2009-09-01,0.0,0.0,0.0,,,,2790.4080000000004,28886.0,28886.0,2305.0,23969.0,23969.0,,,
2009-10-01,0.0,0.0,0.0,,,,2245.9990000000003,23251.0,23251.0,0.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,,,,1727.824,17886.0,17886.0,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,,,,2260.5860000000002,23401.0,23401.0,0.0,0.0,0.0,,,
2010-01-01,0.0,0.0,0.0,,,,4848.345,50477.0,50477.0,3641.0,43679.0,43679.0,,,
2010-02-01,0.0,0.0,0.0,,,,4543.56,47304.0,47304.0,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,,,,3603.201,37514.0,37514.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,,,,4224.435,43982.0,43982.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,,,,5160.929,53732.0,53732.0,0.0,0.0,0.0,,,
2010-06-01,,,,0.0,0.0,0.0,6210.045,64654.0,64654.0,10378.0,127100.0,127100.0,,,
2010-07-01,,,,0.0,0.0,0.0,6486.588000000001,67533.0,67533.0,24233.0,290649.0,290649.0,,,
2010-08-01,,,,0.0,0.0,0.0,7687.1900000000005,80033.0,80033.0,26159.0,307812.0,307812.0,,,
2010-09-01,0.0,0.0,0.0,,,,5591.2080000000005,58211.0,58211.0,5137.0,60591.0,60591.0,,,
2010-10-01,0.0,0.0,0.0,,,,4156.05,43270.0,43270.0,0.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,,,,3754.407,39088.0,39088.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,,,,3918.0420000000004,40792.0,40792.0,0.0,0.0,0.0,,,
2011-01-01,0.0,0.0,0.0,,,,4620.736,47592.0,47592.0,0.0,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,,,,4195.606,43214.0,43214.0,2161.0,28527.0,28527.0,,,
2011-03-01,,,,0.0,0.0,0.0,3774.469,38876.0,38876.0,12468.0,168300.0,168300.0,,,
2011-04-01,,,,0.0,0.0,0.0,4868.508,50145.0,50145.0,10129.0,147901.0,147901.0,,,
2011-05-01,,,,0.0,0.0,0.0,5184.925,53404.0,53404.0,9178.0,137088.0,137088.0,,,
2011-06-01,,,,0.0,0.0,0.0,6730.414,69323.0,69323.0,11036.0,158834.0,158834.0,,,
2011-07-01,,,,0.0,0.0,0.0,8162.438,84072.0,84072.0,12708.0,179508.0,179508.0,,,
2011-08-01,,,,0.0,0.0,0.0,8785.201,90486.0,90486.0,17451.0,228055.0,228055.0,,,
2011-09-01,,,,0.0,0.0,0.0,6181.582,63669.0,63669.0,10909.0,157899.0,157899.0,,,
2011-10-01,,,,0.0,0.0,0.0,4717.657,48591.0,48591.0,5137.0,71193.0,71193.0,,,
2011-11-01,0.0,0.0,0.0,,,,4352.774,44833.0,44833.0,0.0,0.0,0.0,,,
2011-12-01,0.0,0.0,0.0,,,,5228.69,53855.0,53855.0,3866.0,60991.0,60991.0,,,
2012-01-01,,,,0.0,0.0,0.0,2997.0,31076.0,31076.0,9789.0,147213.0,147213.0,,,
2012-02-01,,,,0.0,0.0,0.0,1262.0,12696.0,12696.0,8917.0,133382.0,133382.0,,,
2012-03-01,,,,0.0,0.0,0.0,4112.0,41272.0,41272.0,9670.0,132529.0,132529.0,,,
2012-04-01,,,,0.0,0.0,0.0,5120.0,48658.0,48658.0,13486.0,178235.0,178235.0,,,
2012-05-01,,,,0.0,0.0,0.0,5188.0,53138.0,53138.0,11452.0,160357.0,160357.0,,,
2012-06-01,0.0,0.0,0.0,,,,5266.0,52519.0,52519.0,3418.0,47961.0,47961.0,,,
2012-07-01,0.0,0.0,0.0,,,,5684.0,57984.0,57984.0,2466.0,36868.0,36868.0,,,
2012-08-01,,,,0.0,0.0,0.0,5806.0,59361.0,59361.0,12222.0,173634.0,173634.0,,,
2012-09-01,,,,0.0,0.0,0.0,3205.0,32204.0,32204.0,11365.0,163486.0,163486.0,,,
2012-10-01,,,,0.0,0.0,0.0,966.0,10209.0,10209.0,10070.0,147987.0,147987.0,,,
2012-11-01,,,,0.0,0.0,0.0,2881.0,29385.0,29385.0,6187.0,88566.0,88566.0,,,
2012-12-01,,,,0.0,0.0,0.0,1299.0,13295.0,13295.0,1563.0,27985.0,27985.0,,,
2013-01-01,0.0,0.0,0.0,,,,1540.0,16693.0,16693.0,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,,,,1620.0,17922.0,17922.0,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,,,,2384.0,23339.0,23339.0,0.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,,,,4465.0,37180.0,37180.0,0.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,,,,1573.0,16485.0,16485.0,983.0,14830.0,14830.0,,,
2013-06-01,,,,0.0,0.0,0.0,3584.0,35079.0,35079.0,8649.0,130811.0,130811.0,,,
2013-07-01,,,,0.0,0.0,0.0,3633.0,35311.0,35311.0,9994.0,150806.0,150806.0,,,
2013-08-01,,,,0.0,0.0,0.0,6859.0,66657.0,66657.0,10846.0,159743.0,159743.0,,,
2013-09-01,,,,0.0,0.0,0.0,4563.0,44919.0,44919.0,4713.0,147589.0,147589.0,,,
2013-10-01,,,,0.0,0.0,0.0,2035.0,20470.0,20470.0,5167.0,75273.0,75273.0,,,
2013-11-01,0.0,0.0,0.0,,,,3537.0,38901.0,38901.0,2827.0,40888.0,40888.0,,,
2013-12-01,,,,0.0,0.0,0.0,2779.0,27550.0,27550.0,2720.0,41574.0,41574.0,,,
2014-01-01,,,,0.0,0.0,0.0,4546.0,44424.0,44424.0,4211.0,65502.0,65502.0,,,
2014-02-01,0.0,0.0,0.0,,,,5159.0,51188.0,51188.0,1661.0,22401.0,22401.0,,,
2014-03-01,0.0,0.0,0.0,,,,2402.0,24012.0,24012.0,1446.0,20547.0,20547.0,,,
2014-04-01,,,,0.0,0.0,0.0,1121.0,12043.0,12043.0,6233.0,97164.0,97164.0,,,
2014-05-01,,,,0.0,0.0,0.0,2205.0,20567.0,20567.0,1674.0,22736.0,22736.0,,,
2014-06-01,,,,0.0,0.0,0.0,1925.0,19508.0,19508.0,9097.0,141451.0,141451.0,,,
2014-07-01,,,,0.0,0.0,0.0,1694.0,17497.0,17497.0,8933.0,131188.0,131188.0,,,
2014-08-01,,,,0.0,0.0,0.0,4188.0,43236.0,43236.0,9792.0,149196.0,149196.0,,,
2014-09-01,,,,0.0,0.0,0.0,1998.0,20297.0,20297.0,9299.0,141840.0,141840.0,,,
2014-10-01,,,,0.0,0.0,0.0,2707.0,31330.0,31330.0,3784.0,53744.0,53744.0,,,
2014-11-01,,,,0.0,0.0,0.0,3376.0,35685.0,35685.0,9523.0,140986.0,140986.0,,,
2014-12-01,,,,0.0,0.0,0.0,1001.0,10690.0,10690.0,9266.0,140630.0,140630.0,,,
2015-01-01,,,,,,,1236.0,12795.0,12795.0,5955.0,88434.0,88434.0,,,
