measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2019-12-01,,,,0.0,0.0,0.0
2020-01-01,,,,341.035,2990.0,2990.0
2020-02-01,,,,446.701,3916.0,3916.0
2020-03-01,,,,679.693,5959.0,5959.0
2020-04-01,,,,651.692,5713.0,5713.0
2020-05-01,-7.894,0.0,0.0,918.761,8055.0,8055.0
2020-06-01,-5.799,0.0,0.0,868.042,7610.0,7610.0
2020-07-01,-7.579,0.0,0.0,854.834,7494.0,7494.0
2020-08-01,-7.945,0.0,0.0,808.077,7084.0,7084.0
2020-09-01,-7.848,0.0,0.0,701.619,6151.0,6151.0
2020-10-01,-8.087,0.0,0.0,510.1,4472.0,4472.0
2020-11-01,-7.899,0.0,0.0,364.81,3198.0,3198.0
2020-12-01,-7.949,0.0,0.0,277.636,2434.0,2434.0
2021-01-01,-10.411,0.0,0.0,381.51,3374.0,3374.0
2021-02-01,-9.569,0.0,0.0,301.334,2665.0,2665.0
2021-03-01,-10.445,0.0,0.0,953.778,8435.0,8435.0
2021-04-01,-9.096,0.0,0.0,771.964,6827.0,6827.0
2021-05-01,-10.288,0.0,0.0,959.441,8485.0,8485.0
2021-06-01,-9.989,0.0,0.0,994.611,8796.0,8796.0
2021-07-01,-10.541,0.0,0.0,782.694,6922.0,6922.0
2021-08-01,-10.089,0.0,0.0,788.953,6978.0,6978.0
2021-09-01,-9.973,0.0,0.0,733.217,6485.0,6485.0
2021-10-01,-10.635,0.0,0.0,541.865,4792.0,4792.0
2021-11-01,-9.838,0.0,0.0,535.904,4740.0,4740.0
2021-12-01,-11.126,0.0,0.0,286.729,2536.0,2536.0
2022-01-01,-13.726,0.0,0.0,697.106,2379.0,2379.0
2022-02-01,-11.389,0.0,0.0,458.759,1565.0,1565.0
2022-03-01,-11.779,0.0,0.0,684.668,2336.0,2336.0
2022-04-01,-14.1,0.0,0.0,836.527,2854.0,2854.0
2022-05-01,-14.102,0.0,0.0,941.527,3212.0,3212.0
2022-06-01,-14.329,0.0,0.0,947.023,3231.0,3231.0
2022-07-01,-13.724,0.0,0.0,1045.37,3567.0,3567.0
2022-08-01,-13.446,0.0,0.0,922.147,3146.0,3146.0
2022-09-01,-13.705,0.0,0.0,764.503,2608.0,2608.0
2022-10-01,-14.135,0.0,0.0,605.991,2068.0,2068.0
2022-11-01,-13.632,0.0,0.0,499.834,1705.0,1705.0
2022-12-01,-13.933,0.0,0.0,324.545,1107.0,1107.0
2023-01-01,-12.0,0.0,0.0,234.0,798.0,798.0
2023-02-01,-10.0,0.0,0.0,468.0,1597.0,1597.0
2023-03-01,-12.0,0.0,0.0,593.0,2023.0,2023.0
2023-04-01,-14.0,0.0,0.0,826.0,2818.0,2818.0
2023-05-01,-8.0,0.0,0.0,1165.0,3975.0,3975.0
2023-06-01,-7.0,0.0,0.0,873.0,2979.0,2979.0
2023-07-01,-17.0,0.0,0.0,950.0,3241.0,3241.0
2023-08-01,3.0,0.0,0.0,874.0,2982.0,2982.0
2023-09-01,-11.0,0.0,0.0,740.0,2525.0,2525.0
2023-10-01,-14.0,0.0,0.0,664.0,2266.0,2266.0
2023-11-01,-10.0,0.0,0.0,535.0,1825.0,1825.0
2023-12-01,-5.0,0.0,0.0,331.0,1129.0,1129.0
2024-01-01,0.0,0.0,0.0,231.0,788.0,788.0
2024-02-01,-9.0,0.0,0.0,627.0,2139.0,2139.0
2024-03-01,-18.0,0.0,0.0,720.0,2457.0,2457.0
2024-04-01,-8.0,0.0,0.0,760.0,2593.0,2593.0
2024-05-01,-13.0,0.0,0.0,933.0,3183.0,3183.0
2024-06-01,-13.0,0.0,0.0,993.0,3388.0,3388.0
2024-07-01,-13.0,0.0,0.0,980.0,3344.0,3344.0
2024-08-01,-10.0,0.0,0.0,818.0,2791.0,2791.0
2024-09-01,-15.0,0.0,0.0,831.0,2835.0,2835.0
2024-10-01,-17.0,0.0,0.0,841.0,2869.0,2869.0
2024-11-01,-10.0,0.0,0.0,544.0,1856.0,1856.0
2024-12-01,-12.0,0.0,0.0,341.0,1163.0,1163.0
