measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-05-01,3504.0,33060.0,33060.0
2003-06-01,12586.0,123017.0,123017.0
2003-07-01,12057.0,118213.0,118213.0
2003-08-01,13954.0,132856.0,132856.0
2003-09-01,7371.0,71402.0,71402.0
2003-10-01,9515.0,95483.0,95483.0
2003-11-01,2427.0,23825.0,23825.0
2003-12-01,3901.0,42492.0,42492.0
2004-01-01,2814.958,30014.0,30014.0
2004-02-01,2791.728,29766.0,29766.0
2004-03-01,3227.1710000000003,34409.0,34409.0
2004-04-01,1174.553,12523.0,12523.0
2004-05-01,5593.171,59636.0,59636.0
2004-06-01,10376.698,110640.0,110640.0
2004-07-01,16164.994999999999,172357.0,172357.0
2004-08-01,7597.64,81009.0,81009.0
2004-09-01,3429.0530000000003,36562.0,36562.0
2004-10-01,715.037,7624.0,7624.0
2004-11-01,1561.425,16648.0,16648.0
2004-12-01,5071.57,54075.0,54075.0
2005-01-01,5505.773,74130.25,74130.25
2005-02-01,4570.58,61538.72,61538.72
2005-03-01,5660.29,76210.68,76210.68
2005-04-01,5577.135,75091.07,75091.07
2005-05-01,6574.54,88520.24,88520.24
2005-06-01,8297.251,111714.97,111714.97
2005-07-01,10398.936,140012.27,140012.27
2005-08-01,10772.171,145037.53,145037.53
2005-09-01,8196.949,110364.5,110364.5
2005-10-01,6548.361,88167.76,88167.76
2005-11-01,5586.836,75221.7,75221.7
2005-12-01,5452.178,73408.65,73408.65
2006-01-01,3823.23,41663.0,41663.0
2006-02-01,4535.914000000001,49429.0,49429.0
2006-03-01,5173.625,56379.0,56379.0
2006-04-01,5786.813,63061.0,63061.0
2006-05-01,6702.575000000001,73040.0,73040.0
2006-06-01,8540.903,93073.0,93073.0
2006-07-01,10737.778,117013.0,117013.0
2006-08-01,10873.195,118489.0,118489.0
2006-09-01,7398.147,80620.0,80620.0
2006-10-01,6698.368,72994.0,72994.0
2006-11-01,4974.58,54210.0,54210.0
2006-12-01,5185.872,56512.0,56512.0
