measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2004-01-01,0.0,0.0,0.0,0.114,0.0,0.0,,,,,,
2004-02-01,0.0,0.0,0.0,0.124,0.0,0.0,,,,,,
2004-03-01,0.0,0.0,0.0,0.07100000000000001,0.0,0.0,,,,,,
2004-04-01,0.0,0.0,0.0,0.223,0.0,0.0,,,,,,
2004-05-01,0.0,0.0,0.0,0.175,0.0,0.0,,,,,,
2004-06-01,0.0,0.0,0.0,0.221,0.0,0.0,,,,,,
2004-07-01,0.0,0.0,0.0,0.262,0.0,0.0,,,,,,
2004-08-01,0.0,0.0,0.0,0.14800000000000002,0.0,0.0,,,,,,
2004-09-01,0.0,0.0,0.0,0.15,0.0,0.0,,,,,,
2004-10-01,0.0,0.0,0.0,0.259,0.0,0.0,,,,,,
2004-11-01,0.0,0.0,0.0,0.085,0.0,0.0,,,,,,
2004-12-01,0.0,0.0,0.0,0.109,0.0,0.0,,,,,,
2005-01-01,,,,0.0,0.0,0.0,84.845,0.0,0.0,,,
2005-02-01,,,,0.0,0.0,0.0,85.083,0.0,0.0,,,
2005-03-01,,,,0.0,0.0,0.0,103.683,0.0,0.0,,,
2005-04-01,,,,0.0,0.0,0.0,94.242,0.0,0.0,,,
2005-05-01,,,,0.0,0.0,0.0,99.68100000000001,0.0,0.0,,,
