measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,5997.0,68236.0,68236.0,,,
2003-02-01,-183.0,0.0,0.0,,,
2003-03-01,-189.0,0.0,0.0,,,
2003-04-01,-161.0,0.0,0.0,,,
2003-05-01,-141.0,0.0,0.0,,,
2003-06-01,16299.0,172894.0,172894.0,,,
2003-07-01,30554.0,318800.0,318800.0,,,
2003-08-01,34841.0,341654.0,341654.0,,,
2003-09-01,7314.0,91279.0,91279.0,,,
2003-10-01,-150.0,0.0,0.0,,,
2003-11-01,-18.0,0.0,0.0,,,
2003-12-01,-219.0,0.0,0.0,,,
2004-01-01,2853.552,32083.0,32083.0,,,
2004-02-01,2395.659,26935.0,26935.0,,,
2004-03-01,3016.253,33912.0,33912.0,,,
2004-04-01,6483.738,72897.0,72897.0,,,
2004-05-01,3334.92,37495.0,37495.0,,,
2004-06-01,8984.785,101017.0,101017.0,,,
2004-07-01,4999.465,56209.0,56209.0,,,
2004-08-01,13106.548,147358.0,147358.0,,,
2004-09-01,19781.894,222409.0,222409.0,,,
2004-10-01,5270.826,59260.0,59260.0,,,
2004-11-01,2929.4280000000003,32936.0,32936.0,,,
2004-12-01,3044.9320000000002,34234.0,34234.0,,,
2005-01-01,7965.329000000001,82749.11,82749.11,0.0,0.0,0.0
2005-02-01,6612.363,68693.6,68693.6,0.0,0.0,0.0
2005-03-01,8188.872,85071.42,85071.42,0.0,0.0,0.0
2005-04-01,8068.569,83821.63,83821.63,0.0,0.0,0.0
2005-05-01,9511.539,98812.16,98812.16,0.0,0.0,0.0
2005-06-01,12003.824,124703.67,124703.67,0.0,0.0,0.0
2005-07-01,15044.381000000001,156290.98,156290.98,0.0,0.0,0.0
2005-08-01,15584.347000000002,161900.51,161900.51,0.0,0.0,0.0
2005-09-01,11858.714,123196.17,123196.17,0.0,0.0,0.0
2005-10-01,9473.665,98418.7,98418.7,0.0,0.0,0.0
2005-11-01,8082.6050000000005,83967.45,83967.45,0.0,0.0,0.0
2005-12-01,7887.792,81943.6,81943.6,0.0,0.0,0.0
2006-01-01,5101.284000000001,54268.0,54268.0,0.0,0.0,0.0
2006-02-01,6052.209000000001,64384.0,64384.0,0.0,0.0,0.0
2006-03-01,6903.098,73435.0,73435.0,0.0,0.0,0.0
2006-04-01,7721.267000000001,82139.0,82139.0,0.0,0.0,0.0
2006-05-01,8943.155,95138.0,95138.0,0.0,0.0,0.0
2006-06-01,11396.012,121231.0,121231.0,0.0,0.0,0.0
2006-07-01,14327.273000000001,152414.0,152414.0,0.0,0.0,0.0
2006-08-01,14507.958,154336.0,154336.0,0.0,0.0,0.0
2006-09-01,9871.248,105011.0,105011.0,0.0,0.0,0.0
2006-10-01,8937.542000000001,95078.0,95078.0,0.0,0.0,0.0
2006-11-01,6637.515,70610.0,70610.0,0.0,0.0,0.0
2006-12-01,6919.439,73609.0,73609.0,0.0,0.0,0.0
2007-01-01,-225.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,-219.0,254.0,254.0,,,
2007-03-01,-173.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,-198.0,360.0,360.0,,,
2007-05-01,956.0,15530.0,15530.0,,,
2007-06-01,16816.0,182730.0,182730.0,,,
2007-07-01,36730.0,361130.0,361130.0,,,
2007-08-01,45705.0,456560.0,456560.0,,,
2007-09-01,29260.0,297670.0,297670.0,,,
2007-10-01,31262.0,318210.0,318210.0,,,
2007-11-01,1825.0,20550.0,20550.0,,,
2007-12-01,-229.0,600.0,600.0,,,
2008-01-01,-229.0,611.0,611.0,0.0,0.0,0.0
2008-02-01,-206.0,600.0,600.0,0.0,0.0,0.0
2008-03-01,2595.0,30231.0,30231.0,0.0,0.0,0.0
2008-04-01,27691.0,283624.0,283624.0,0.0,0.0,0.0
2008-05-01,8519.0,86962.0,86962.0,0.0,0.0,0.0
2008-06-01,27155.0,274201.0,274201.0,0.0,0.0,0.0
2008-07-01,35395.0,351663.0,351663.0,0.0,0.0,0.0
2008-08-01,30377.0,311886.0,311886.0,0.0,0.0,0.0
2008-09-01,2876.0,33825.0,33825.0,0.0,0.0,0.0
2008-10-01,-151.0,247.0,247.0,0.0,0.0,0.0
2008-11-01,1680.0,22421.0,22421.0,0.0,0.0,0.0
2008-12-01,-251.0,601.0,601.0,0.0,0.0,0.0
2009-01-01,-264.0,623.0,623.0,,,
2009-02-01,-203.0,424.0,424.0,,,
2009-03-01,-193.0,361.0,361.0,,,
2009-04-01,-205.0,575.0,575.0,,,
2009-05-01,20136.0,229828.0,229828.0,,,
2009-06-01,23863.0,261460.0,261460.0,,,
2009-07-01,25046.0,274444.0,274444.0,,,
2009-08-01,21861.0,245733.0,245733.0,,,
2009-09-01,13544.0,156225.0,156225.0,,,
2009-10-01,23211.0,258695.0,258695.0,,,
2009-11-01,16038.0,184093.0,184093.0,,,
2009-12-01,-235.0,734.0,734.0,,,
2010-01-01,-238.0,0.0,0.0,,,
2010-02-01,-199.0,0.0,0.0,,,
2010-03-01,-194.0,0.0,0.0,,,
2010-04-01,9536.0,110986.0,110986.0,,,
2010-05-01,6050.0,69516.0,69516.0,,,
2010-06-01,20816.0,224405.0,224405.0,,,
2010-07-01,23181.0,252853.0,252853.0,,,
2010-08-01,23111.0,251862.0,251862.0,,,
2010-09-01,13382.0,153254.0,153254.0,,,
2010-10-01,3580.0,38745.0,38745.0,,,
2010-11-01,-143.0,0.0,0.0,,,
2010-12-01,244.0,6779.0,6779.0,,,
2011-01-01,-218.0,707.0,707.0,,,
2011-02-01,-235.0,551.0,551.0,,,
2011-03-01,12933.0,139238.0,139238.0,,,
2011-04-01,1291.0,14939.0,14939.0,,,
2011-05-01,-127.0,35.0,35.0,,,
2011-06-01,2471.0,29428.0,29428.0,,,
2011-07-01,23449.0,253555.0,253555.0,,,
2011-08-01,22257.0,243317.0,243317.0,,,
2011-09-01,12497.0,141156.0,141156.0,,,
2011-10-01,-152.0,0.0,0.0,,,
2011-11-01,-189.0,0.0,0.0,,,
2011-12-01,-211.0,0.0,0.0,,,
2012-01-01,13952.0,161366.0,161366.0,,,
2012-02-01,17069.0,196265.0,196265.0,,,
2012-03-01,812.0,12181.0,12181.0,,,
2012-04-01,11162.0,126987.0,126987.0,,,
2012-05-01,21002.0,233422.0,233422.0,,,
2012-06-01,22101.0,247119.0,247119.0,,,
2012-07-01,23867.0,259398.0,259398.0,,,
2012-08-01,22063.0,243989.0,243989.0,,,
2012-09-01,9144.0,100874.0,100874.0,,,
2012-10-01,-146.0,0.0,0.0,,,
2012-11-01,-168.0,0.0,0.0,,,
2012-12-01,-193.0,0.0,0.0,,,
2013-01-01,-216.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,-190.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,6457.0,73075.0,73075.0,0.0,0.0,0.0
2013-04-01,3645.0,44039.0,44039.0,0.0,0.0,0.0
2013-05-01,16798.0,185696.0,185696.0,0.0,0.0,0.0
2013-06-01,17996.0,200520.0,200520.0,0.0,0.0,0.0
2013-07-01,23454.0,250981.0,250981.0,0.0,0.0,0.0
2013-08-01,12007.0,135014.0,135014.0,0.0,0.0,0.0
2013-09-01,15878.0,180800.0,180800.0,0.0,0.0,0.0
2013-10-01,9262.0,107302.0,107302.0,0.0,0.0,0.0
2013-11-01,-176.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,-221.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,-235.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,2684.0,32759.0,32759.0,0.0,0.0,0.0
2014-03-01,-223.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,-172.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,-145.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,-128.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,3870.0,49198.0,49198.0,0.0,0.0,0.0
2014-08-01,-135.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,-134.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,-146.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,-236.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,-261.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,-268.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,-257.0,0.0,0.0,0.0,0.0,0.0
