measured_on,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed,Purchased Steam Generation,Purchased Steam Quantity Consumed For Electricity,Purchased Steam Total Fuel Consumed
2001-01-01,,,,,,,8522.613000000001,399010.0,399010.0,,,
2001-02-01,,,,,,,7604.252,356014.0,356014.0,,,
2001-03-01,,,,,,,8042.147,376516.0,376516.0,,,
2001-04-01,,,,,,,6487.063,303710.0,303710.0,,,
2001-05-01,,,,,,,6743.305,315707.0,315707.0,,,
2001-06-01,,,,,,,9014.52,422040.0,422040.0,,,
2001-07-01,,,,,,,9135.299,427695.0,427695.0,,,
2001-08-01,,,,,,,10287.047,481617.0,481617.0,,,
2001-09-01,,,,,,,8042.807000000001,376546.0,376546.0,,,
2001-10-01,,,,,,,7402.437000000001,346566.0,346566.0,,,
2001-11-01,,,,,,,7448.502,348722.0,348722.0,,,
2001-12-01,,,,,,,7688.008000000001,359936.0,359936.0,,,
2002-01-01,,,,,,,7293.326,472371.0,474864.0,,,
2002-02-01,,,,,,,6626.659000000001,429193.0,431457.0,,,
2002-03-01,,,,,,,7034.6990000000005,455620.0,458025.0,,,
2002-04-01,,,,,,,6021.247,389982.0,392039.0,,,
2002-05-01,,,,,,,6075.451,393492.0,395569.0,,,
2002-06-01,,,,,,,8003.8550000000005,518390.0,521126.0,,,
2002-07-01,,,,,,,9223.0,597351.0,600503.0,,,
2002-08-01,,,,,,,9416.524000000001,609885.0,613104.0,,,
2002-09-01,,,,,,,8211.338,531828.0,534635.0,,,
2002-10-01,,,,,,,6028.231000000001,390434.0,392494.0,,,
2002-11-01,,,,,,,7062.634,457430.0,459843.0,,,
2002-12-01,,,,,,,7741.035000000001,501368.0,504014.0,,,
2003-01-01,,,,,,,6886.177000000001,102967.0,107467.0,,,
2003-02-01,,,,,,,5807.531,86838.0,90634.0,,,
2003-03-01,,,,,,,5980.254,89421.0,93329.0,,,
2003-04-01,,,,,,,5128.995,76693.0,80044.0,,,
2003-05-01,,,,,,,4871.195000000001,72838.0,76021.0,,,
2003-06-01,,,,,,,5948.457,88946.0,92833.0,,,
2003-07-01,,,,,,,7030.27,105122.0,109716.0,,,
2003-08-01,,,,,,,6998.921,104653.0,109227.0,,,
2003-09-01,,,,,,,5213.103,77950.0,81357.0,,,
2003-10-01,,,,,,,4991.659000000001,74639.0,77901.0,,,
2003-11-01,,,,,,,4742.189,70909.0,74008.0,,,
2003-12-01,,,,,,,5490.2480000000005,82094.0,85682.0,,,
2004-01-01,538.45591,7389.84,93480.54,491.6499,6747.46,85354.62,3243.35719,44512.24,563074.5,,,
2004-02-01,475.51784,6526.07,93480.54,1333.18671,18296.82,262086.95,2864.25345,39309.37,563074.5,,,
2004-03-01,515.22495,7071.01,93480.54,783.00218,10746.02,142065.07,3103.42687,42591.81,563074.5,,,
2004-04-01,524.04705,7192.09,93480.54,670.1177,9196.78,119536.91,3156.56625,43321.1,563074.5,,,
2004-05-01,460.98918,6326.67,93480.54,1556.06086,21355.57,315541.93,2776.74095,38108.33,563074.5,,,
2004-06-01,369.33779,5068.84,93480.54,3474.17096,47679.95,879323.47,2224.68424,30531.84,563074.5,,,
2004-07-01,380.05944999999997,5215.98,93480.54,3178.28603,43619.19,781740.61,2289.26552,31418.16,563074.5,,,
2004-08-01,377.97148,5187.33,93480.54,3233.6818000000003,44379.45,799759.65,2276.68872,31245.56,563074.5,,,
2004-09-01,453.07014,6217.99,93480.54,1683.6558,23106.7,347383.43,2729.04106,37453.7,563074.5,,,
2004-10-01,486.01891,6670.18,93480.54,1180.05605,16195.23,226971.17,2927.50604,40177.45,563074.5,,,
2004-11-01,444.90047,6105.87,93480.54,1820.403,24983.44,382495.13,2679.83153,36778.35,563074.5,,,
2004-12-01,425.23973,5836.04,93480.54,2174.34203,29840.94,477986.09,2561.40624,35153.06,563074.5,,,
2005-01-01,,,,,,,5110.795,70141.19,753830.0,,,
2005-02-01,,,,,,,5316.8060000000005,72968.51,784216.09,,,
2005-03-01,,,,,,,5992.152,82237.03,883827.92,,,
2005-04-01,,,,,,,4858.895,66684.08,716675.3,,,
2005-05-01,,,,,,,4662.728,63991.85,687741.09,,,
2005-06-01,,,,,,,5402.558,74145.38,796864.36,,,
2005-07-01,,,,,,,5502.399,75515.6,811590.56,,,
2005-08-01,,,,,,,6345.6,87087.8,935960.66,,,
2005-09-01,,,,,,,5990.616,82215.96,883601.47,,,
2005-10-01,,,,,,,5709.734,78361.09,842171.99,,,
2005-11-01,,,,,,,4837.462,66389.93,713513.98,,,
2005-12-01,,,,,,,5019.443,68887.45,740355.76,,,
2006-01-01,,,,,,,4487.2480000000005,61583.54,1520086.87,0.0,0.0,0.0
2006-02-01,,,,,,,4191.142,57519.75,1419779.08,0.0,0.0,0.0
2006-03-01,,,,,,,4906.4220000000005,67336.33,1662085.02,0.0,0.0,0.0
2006-04-01,,,,,,,4673.322,64137.25,1583120.77,0.0,0.0,0.0
2006-05-01,,,,,,,4733.6050000000005,64964.58,1603542.1,0.0,0.0,0.0
2006-06-01,,,,,,,4417.718,60629.31,1496533.32,0.0,0.0,0.0
2006-07-01,,,,,,,4767.648,65431.78,1615074.39,0.0,0.0,0.0
2006-08-01,,,,,,,4996.094,68567.01,1692462.11,0.0,0.0,0.0
2006-09-01,,,,,,,4543.0740000000005,62349.72,1538998.48,0.0,0.0,0.0
2006-10-01,,,,,,,4483.75,61535.54,1518902.04,0.0,0.0,0.0
2006-11-01,,,,,,,3566.9930000000004,48953.85,1208343.97,0.0,0.0,0.0
2006-12-01,,,,,,,3764.907,51670.05,1275388.83,0.0,0.0,0.0
2007-01-01,,,,,,,5556.296,76256.0,785270.0,,,
