measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2022-01-01,21.838,245.0,245.0
2022-02-01,19.442,217.0,217.0
2022-03-01,15.482,172.0,172.0
2022-04-01,16.139,179.0,179.0
2022-05-01,23.841,265.0,265.0
2022-06-01,29.022,324.0,324.0
2022-07-01,34.199,382.0,382.0
2022-08-01,34.377,383.0,383.0
2022-09-01,28.978,323.0,323.0
2022-10-01,22.396,250.0,250.0
2022-11-01,20.991,234.0,234.0
2022-12-01,23.295,259.0,259.0
2023-01-01,8.772,262.0,262.0
2023-02-01,8.275,249.0,249.0
2023-03-01,8.167,245.0,245.0
2023-04-01,7.887,236.0,236.0
2023-05-01,11.26,338.0,338.0
2023-06-01,13.008,391.0,391.0
2023-07-01,14.265,428.0,428.0
2023-08-01,15.702,472.0,472.0
2023-09-01,13.228,397.0,397.0
2023-10-01,9.764,293.0,293.0
2023-11-01,9.053,272.0,272.0
2023-12-01,9.619,289.0,289.0
2024-01-01,24.021,293.0,293.0
2024-02-01,16.584,204.0,204.0
2024-03-01,18.82,232.0,232.0
2024-04-01,17.681,218.0,218.0
2024-05-01,23.624,291.0,291.0
2024-06-01,26.652,329.0,329.0
2024-07-01,28.809,355.0,355.0
2024-08-01,32.552,401.0,401.0
2024-09-01,27.01,333.0,333.0
2024-10-01,23.396,288.0,288.0
2024-11-01,18.744,231.0,231.0
2024-12-01,20.107,248.0,248.0
