measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,669476.0,6468102.0,6468102.0,1327.0,13311.0,13311.0,,,,,,
2003-02-01,558465.0,5226424.0,5226424.0,107.0,1050.0,1050.0,,,,,,
2003-03-01,339306.0,3366240.0,3366240.0,1570.0,16043.0,16043.0,,,,,,
2003-04-01,477898.0,4877905.0,4877905.0,2054.0,21767.0,21767.0,,,,,,
2003-05-01,693674.0,6828101.0,6828101.0,1654.0,16907.0,16907.0,,,,,,
2003-06-01,744571.0,7472210.0,7472210.0,1093.0,11200.0,11200.0,,,,,,
2003-07-01,768144.0,7687154.0,7687154.0,1241.0,12679.0,12679.0,,,,,,
2003-08-01,800631.0,8050146.0,8050146.0,442.0,4501.0,4501.0,,,,,,
2003-09-01,787397.0,7848229.0,7848229.0,597.0,6078.0,6078.0,,,,,,
2003-10-01,742724.0,7517489.0,7517489.0,1743.0,17725.0,17725.0,,,,,,
2003-11-01,790088.0,7879468.0,7879468.0,298.0,3010.0,3010.0,,,,,,
2003-12-01,560813.0,5777581.0,5777581.0,1482.0,15335.0,15335.0,,,,,,
2004-01-01,702120.0,6907416.0,6907416.0,15.0,151.0,151.0,,,,,,
2004-02-01,383140.0,3983976.0,3983976.0,1960.0,20990.0,20990.0,,,,,,
2004-03-01,357745.0,3872208.0,3872208.0,180.0,2001.0,2001.0,,,,,,
2004-04-01,662863.0,6717576.0,6717576.0,0.0,0.0,0.0,,,,,,
2004-05-01,817065.0,7957728.0,7957728.0,521.0,5226.0,5226.0,,,,,,
2004-06-01,802040.0,8004168.0,8004168.0,926.0,9518.0,9518.0,,,,,,
2004-07-01,836211.0,8370072.0,8370072.0,562.0,5794.0,5794.0,,,,,,
2004-08-01,794708.0,7900320.0,7900320.0,1265.0,12946.0,12946.0,,,,,,
2004-09-01,716656.0,6998928.0,6998928.0,779.0,7830.0,7830.0,,,,,,
2004-10-01,822693.0,8078040.0,8078040.0,485.0,4901.0,4901.0,,,,,,
2004-11-01,528999.0,5133240.0,5133240.0,847.0,8468.0,8468.0,,,,,,
2004-12-01,470017.0,4886232.0,4886232.0,884.0,9466.0,9466.0,,,,,,
2005-01-01,705249.0,6880128.0,6880128.0,1698.0,17057.8,17057.8,,,,,,
2005-02-01,608948.0,5989992.0,5989992.0,578.0,5852.2,5852.2,,,,,,
2005-03-01,728332.0,7429492.59,7429492.59,554.0,5655.0,5655.0,,,,,,
2005-04-01,680710.0,6991146.33,6991146.33,1631.0,16767.8,16767.8,,,,,,
2005-05-01,723294.0,7178271.84,7178271.84,1220.0,12122.0,12122.0,,,,,,
