measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,163.0,2375.0,2375.0,1274.0,18616.0,18616.0,19914.0,290916.0,290916.0
2003-02-01,88.0,1274.0,1274.0,1140.0,16406.0,16406.0,17022.0,245070.0,245070.0
2003-03-01,0.0,0.0,0.0,1370.0,18720.0,18720.0,21270.0,290601.0,290601.0
2003-04-01,270.0,3845.0,3845.0,970.0,13806.0,13806.0,16083.0,228843.0,228843.0
2003-05-01,106.0,1460.0,1460.0,1213.0,16770.0,16770.0,14488.0,200304.0,200304.0
2003-06-01,153.0,2276.0,2276.0,1108.0,16484.0,16484.0,14633.0,217611.0,217611.0
2003-07-01,0.0,0.0,0.0,1610.0,22802.0,22802.0,21416.0,303282.0,303282.0
2003-08-01,0.0,0.0,0.0,1563.0,20878.0,20878.0,22281.0,297585.0,297585.0
2003-09-01,142.0,1902.0,1902.0,1450.0,19370.0,19370.0,16745.0,223659.0,223659.0
2003-10-01,19.0,236.0,236.0,1380.0,17498.0,17498.0,17725.0,224694.0,224694.0
2003-11-01,0.0,0.0,0.0,939.0,15444.0,15444.0,15254.0,250992.0,250992.0
2003-12-01,1.0,19.0,19.0,1068.0,15964.0,15964.0,20254.0,302715.0,302715.0
2004-01-01,9.0,162.0,162.0,1445.0,22984.0,22984.0,19285.0,305136.0,305136.0
2004-02-01,0.0,3.0,3.0,1671.0,26884.0,26884.0,21494.0,344088.0,344088.0
2004-03-01,0.0,0.0,0.0,1133.0,18954.0,18954.0,18266.0,305694.0,305694.0
2004-04-01,11.0,172.0,172.0,933.0,14716.0,14716.0,19963.0,314838.0,314838.0
2004-05-01,0.0,0.0,0.0,1226.0,20176.0,20176.0,21733.0,357525.0,357525.0
2004-06-01,0.0,0.0,0.0,1097.0,17316.0,17316.0,21894.0,345699.0,345699.0
2004-07-01,0.0,0.0,0.0,1335.0,17706.0,17706.0,24552.0,325638.0,325638.0
2004-08-01,0.0,6.0,6.0,1069.0,13728.0,13728.0,23114.0,295173.0,295173.0
2004-09-01,0.0,0.0,0.0,1167.0,15054.0,15054.0,23546.0,303660.0,303660.0
2004-10-01,154.0,2088.0,2088.0,584.0,7904.0,7904.0,21897.0,296208.0,296208.0
2004-11-01,0.0,0.0,0.0,681.0,8996.0,8996.0,24004.0,317196.0,317196.0
2004-12-01,0.0,0.0,0.0,1050.0,14716.0,14716.0,25341.0,355122.0,355122.0
2005-01-01,0.0,0.0,0.0,1487.0,21970.0,21970.0,24260.0,356616.0,356616.0
2005-02-01,0.0,0.0,0.0,1320.0,20384.0,20384.0,21895.0,338157.0,338157.0
2005-03-01,135.0,2000.0,2000.0,1400.0,20670.0,20670.0,17754.0,262161.0,262161.0
2005-04-01,131.0,2000.0,2000.0,1173.0,17862.0,17862.0,16924.0,257787.0,257787.0
2005-05-01,0.0,0.0,0.0,811.0,11752.0,11752.0,17725.0,255564.0,255564.0
2005-06-01,0.0,0.0,0.0,673.0,9828.0,9828.0,18724.0,273222.0,273222.0
2005-07-01,0.0,0.0,0.0,952.0,14092.0,14092.0,20613.0,305136.0,305136.0
2005-08-01,0.0,0.0,0.0,1005.0,14352.0,14352.0,22363.0,319329.0,319329.0
2005-09-01,140.0,2000.0,2000.0,744.0,10608.0,10608.0,18290.0,260712.0,260712.0
2005-10-01,0.0,0.0,0.0,1148.0,16276.0,16276.0,20450.0,290052.0,290052.0
2005-11-01,0.0,0.0,0.0,902.0,12480.0,12480.0,19160.0,265122.0,265122.0
2005-12-01,0.0,0.0,0.0,870.0,11908.0,11908.0,22480.0,307746.0,307746.0
2006-01-01,0.0,0.0,0.0,975.0,13598.0,13598.0,20688.0,288639.0,288639.0
2006-02-01,252.0,3500.0,3500.0,990.0,13754.0,13754.0,17586.0,244242.0,244242.0
2006-03-01,86.0,1207.0,1207.0,1226.0,17212.0,17212.0,21217.0,297945.0,297945.0
2006-04-01,115.0,1581.0,1581.0,1118.0,15366.0,15366.0,19273.0,264942.0,264942.0
2006-05-01,0.0,0.0,0.0,1189.0,16198.0,16198.0,20347.0,277290.0,277290.0
2006-06-01,0.0,0.0,0.0,1000.0,13364.0,13364.0,18945.0,253161.0,253161.0
2006-07-01,35.0,461.0,461.0,1115.0,14716.0,14716.0,20415.0,269541.0,269541.0
2006-08-01,0.0,0.0,0.0,1157.0,15106.0,15106.0,20811.0,271719.0,271719.0
2006-09-01,9.0,109.0,109.0,664.0,8164.0,8164.0,11396.0,140166.0,140166.0
2006-10-01,0.0,1.0,1.0,1062.0,14222.0,14222.0,18015.0,241308.0,241308.0
2006-11-01,10.0,142.0,142.0,1315.0,18928.0,18928.0,22975.0,330633.0,330633.0
2006-12-01,0.0,0.0,0.0,636.0,9048.0,9048.0,17395.0,247401.0,247401.0
2007-01-01,0.0,0.0,0.0,1062.334,15756.0,15756.0,18895.666,280251.0,280251.0
2007-02-01,0.327,5.0,5.0,1438.6470000000002,21970.0,21970.0,21208.026,323874.0,323874.0
2007-03-01,0.0,0.0,0.0,1488.203,22204.0,22204.0,20964.797,312795.0,312795.0
2007-04-01,7.902,115.0,115.0,1400.601,20384.0,20384.0,17993.498,261873.0,261873.0
2007-05-01,9.629000000000001,135.0,135.0,1246.195,17472.0,17472.0,19162.176,268659.0,268659.0
2007-06-01,0.07200000000000001,1.0,1.0,1209.715,16848.0,16848.0,17951.213,250011.0,250011.0
2007-07-01,0.0,0.0,0.0,994.676,13624.0,13624.0,18030.324,246960.0,246960.0
2007-08-01,0.0,0.0,0.0,1139.781,15756.0,15756.0,21941.219,303309.0,303309.0
2007-09-01,0.0,0.0,0.0,1062.866,15132.0,15132.0,19610.134,279189.0,279189.0
2007-10-01,11.475,161.0,161.0,887.654,12454.0,12454.0,15406.87,216162.0,216162.0
2007-11-01,0.0,0.0,0.0,1085.06,15210.0,15210.0,19986.94,280170.0,280170.0
2007-12-01,0.0,0.0,0.0,1119.93,15418.0,15418.0,20681.07,284715.0,284715.0
2008-01-01,0.0,0.0,0.0,1455.69,21242.0,21242.0,21252.31,310122.0,310122.0
2008-02-01,17.951,270.0,270.0,1360.449,20462.0,20462.0,17578.599000000002,264393.0,264393.0
2008-03-01,0.0,0.0,0.0,1604.152,23972.0,23972.0,22882.847999999998,341955.0,341955.0
2008-04-01,0.0,0.0,0.0,1422.6960000000001,21424.0,21424.0,19178.304,288801.0,288801.0
2008-05-01,0.0,0.0,0.0,924.777,12974.0,12974.0,16767.222999999998,235233.0,235233.0
2008-06-01,5.623,78.0,78.0,759.077,10530.0,10530.0,18407.3,255348.0,255348.0
2008-07-01,3.74,52.0,52.0,678.806,9438.0,9438.0,17368.454,241488.0,241488.0
2008-08-01,2.003,27.0,27.0,661.556,8918.0,8918.0,19749.441,266229.0,266229.0
2008-09-01,3.22,43.0,43.0,371.89,4966.0,4966.0,17977.89,240066.0,240066.0
2008-10-01,7.378,100.0,100.0,408.589,5538.0,5538.0,15251.033,206712.0,206712.0
2008-11-01,0.0,0.0,0.0,655.876,7124.0,7124.0,16812.124,182610.0,182610.0
2008-12-01,0.0,0.0,0.0,642.726,8086.0,8086.0,19199.274,241542.0,241542.0
2009-01-01,0.0,0.0,0.0,1385.5910000000001,20072.0,20072.0,19678.409,285066.0,285066.0
2009-02-01,0.0,0.0,0.0,1062.0040000000001,15626.0,15626.0,15412.996,226782.0,226782.0
2009-03-01,0.0,0.0,0.0,825.943,12090.0,12090.0,13007.057,190395.0,190395.0
2009-04-01,3.579,52.0,52.0,270.19800000000004,3926.0,3926.0,10477.223,152235.0,152235.0
2009-05-01,0.0,0.0,0.0,113.59400000000001,1690.0,1690.0,10534.406,156726.0,156726.0
2009-06-01,3.636,51.0,51.0,305.875,4290.0,4290.0,14858.489000000001,208395.0,208395.0
2009-07-01,0.0,0.0,0.0,253.805,3562.0,3562.0,15009.195,210645.0,210645.0
2009-08-01,18.233,253.0,253.0,326.026,4524.0,4524.0,13538.741,187866.0,187866.0
2009-09-01,0.0,0.0,0.0,1166.352,16822.0,16822.0,14942.648000000001,215514.0,215514.0
2009-10-01,4.235,60.0,60.0,1387.425,19656.0,19656.0,17197.34,243639.0,243639.0
2009-11-01,0.0,0.0,0.0,910.0540000000001,13260.0,13260.0,15876.946,231336.0,231336.0
2009-12-01,0.0,0.0,0.0,762.795,17758.0,17758.0,20874.205,485955.0,485955.0
2010-01-01,0.0,0.0,0.0,1176.242,16406.0,16406.0,21662.758,302148.0,302148.0
2010-02-01,0.0,0.0,0.0,1236.28,16926.0,16926.0,20461.72,280143.0,280143.0
2010-03-01,0.0,0.0,0.0,796.35,10868.0,10868.0,17205.65,234810.0,234810.0
2010-04-01,14.692,196.0,196.0,664.61,8866.0,8866.0,15739.698,209970.0,209970.0
2010-05-01,0.0,0.0,0.0,1133.8410000000001,15340.0,15340.0,23012.159,311337.0,311337.0
2010-06-01,9.88,130.0,130.0,978.133,12870.0,12870.0,18102.987,238194.0,238194.0
2010-07-01,0.0,0.0,0.0,916.3340000000001,11986.0,11986.0,20557.666,268902.0,268902.0
2010-08-01,0.0,0.0,0.0,1042.1960000000001,13728.0,13728.0,18290.804,240930.0,240930.0
2010-09-01,0.0,0.0,0.0,542.222,6578.0,6578.0,10372.778,125838.0,125838.0
2010-10-01,31.326,311.0,311.0,274.98,2730.0,2730.0,5608.694,55683.0,55683.0
2010-11-01,0.0,0.0,0.0,763.931,10738.0,10738.0,16712.069,234909.0,234909.0
2010-12-01,2.4290000000000003,34.0,34.0,683.5260000000001,9568.0,9568.0,18794.045,263079.0,263079.0
2011-01-01,70.982,971.0,971.0,720.349,9854.0,9854.0,21412.669,292914.0,292914.0
2011-02-01,10.121,142.0,142.0,1163.819,16328.0,16328.0,18137.06,254457.0,254457.0
2011-03-01,8.15,114.0,114.0,702.6,9828.0,9828.0,16682.25,233352.0,233352.0
2011-04-01,13.092,184.0,184.0,797.345,11206.0,11206.0,13929.563,195768.0,195768.0
2011-05-01,9.286,124.0,124.0,362.172,4836.0,4836.0,18508.542,247140.0,247140.0
2011-06-01,0.0,0.0,0.0,622.765,8502.0,8502.0,17591.235,240156.0,240156.0
2011-07-01,0.0,0.0,0.0,914.091,12662.0,12662.0,21134.909,292761.0,292761.0
2011-08-01,0.0,0.0,0.0,790.865,10998.0,10998.0,20829.135,289656.0,289656.0
2011-09-01,0.0,0.0,0.0,763.566,11024.0,11024.0,16764.434,242037.0,242037.0
2011-10-01,8.179,114.0,114.0,1035.284,14430.0,14430.0,19104.537,266283.0,266283.0
2011-11-01,0.0,0.0,0.0,586.208,7358.0,7358.0,13926.792,174807.0,174807.0
2011-12-01,9.634,134.0,134.0,629.95,8762.0,8762.0,16895.416,234999.0,234999.0
2012-01-01,0.0,0.0,0.0,410.26,6084.0,6084.0,13956.74,206973.0,206973.0
2012-02-01,0.0,0.0,0.0,121.524,1872.0,1872.0,9909.476,152649.0,152649.0
2012-03-01,0.0,0.0,0.0,145.681,2262.0,2262.0,10487.319,162837.0,162837.0
2012-04-01,11.598,179.0,179.0,122.979,1898.0,1898.0,7984.423,123228.0,123228.0
2012-05-01,0.0,0.0,0.0,779.677,11778.0,11778.0,13817.323,208728.0,208728.0
2012-06-01,0.0,0.0,0.0,1222.355,18382.0,18382.0,16011.645,240786.0,240786.0
2012-07-01,0.0,0.0,0.0,1098.646,15704.0,15704.0,18652.354,266616.0,266616.0
2012-08-01,0.0,0.0,0.0,624.95,9230.0,9230.0,12455.05,183951.0,183951.0
2012-09-01,0.0,0.0,0.0,608.164,8996.0,8996.0,12337.836,182502.0,182502.0
2012-10-01,13.682,195.0,195.0,534.506,7618.0,7618.0,13908.812,198234.0,198234.0
2012-11-01,0.0,0.0,0.0,724.079,10738.0,10738.0,15809.921,234459.0,234459.0
2012-12-01,0.0,0.0,0.0,332.312,5096.0,5096.0,12256.688,187956.0,187956.0
2013-01-01,0.0,0.0,0.0,426.782,6084.0,6084.0,12867.218,183429.0,183429.0
2013-02-01,0.0,0.0,0.0,437.644,6318.0,6318.0,10149.356,146520.0,146520.0
2013-03-01,0.0,0.0,0.0,408.589,5798.0,5798.0,15839.411,224766.0,224766.0
2013-04-01,11.658,165.0,165.0,543.753,7696.0,7696.0,13140.589,185985.0,185985.0
2013-05-01,0.0,0.0,0.0,1087.019,15730.0,15730.0,16664.981,241155.0,241155.0
2013-06-01,0.0,0.0,0.0,855.231,12480.0,12480.0,13693.769,199827.0,199827.0
2013-07-01,0.0,0.0,0.0,1035.729,15106.0,15106.0,17015.271,248166.0,248166.0
2013-08-01,0.0,0.0,0.0,472.099,6604.0,6604.0,12942.901,181053.0,181053.0
2013-09-01,0.0,0.0,0.0,861.791,12350.0,12350.0,15740.209,225567.0,225567.0
2013-10-01,6.36,96.0,96.0,781.998,11804.0,11804.0,14315.642,216090.0,216090.0
2013-11-01,0.0,0.0,0.0,228.436,3094.0,3094.0,10097.564,136764.0,136764.0
2013-12-01,0.0,0.0,0.0,757.336,11336.0,11336.0,16473.664,246582.0,246582.0
2014-01-01,0.0,0.0,0.0,1016.131,15418.0,15418.0,20687.869,313902.0,313902.0
2014-02-01,0.0,0.0,0.0,1021.146,15392.0,15392.0,20789.854,313371.0,313371.0
2014-03-01,5.1,79.0,79.0,1362.849,21112.0,21112.0,20989.051,325143.0,325143.0
2014-04-01,12.679,202.0,202.0,905.712,14430.0,14430.0,12257.609,195291.0,195291.0
2014-05-01,0.0,0.0,0.0,1125.21,17836.0,17836.0,16651.79,263952.0,263952.0
2014-06-01,0.0,0.0,0.0,1036.349,16354.0,16354.0,17282.651,272727.0,272727.0
2014-07-01,0.0,0.0,0.0,660.714,10192.0,10192.0,14252.286,219852.0,219852.0
2014-08-01,2.661,40.0,40.0,295.768,4446.0,4446.0,14798.571,222453.0,222453.0
2014-09-01,0.0,0.0,0.0,226.946,3406.0,3406.0,15302.054,229653.0,229653.0
2014-10-01,3.659,56.0,56.0,701.522,10738.0,10738.0,14200.819,217368.0,217368.0
2014-11-01,0.0,0.0,0.0,615.678,9022.0,9022.0,16217.322,237645.0,237645.0
2014-12-01,0.0,0.0,0.0,824.046,12740.0,12740.0,14528.954,224622.0,224622.0
2015-01-01,0.0,0.0,0.0,903.427,13936.0,13936.0,13897.573,214380.0,214380.0
2015-02-01,0.0,0.0,0.0,740.182,11232.0,11232.0,16145.818,245007.0,245007.0
2015-03-01,0.0,0.0,0.0,504.218,7774.0,7774.0,9346.782,144108.0,144108.0
2015-04-01,12.053,190.0,190.0,64.324,1014.0,1014.0,5579.623,87957.0,87957.0
2015-05-01,0.0,0.0,0.0,176.093,2730.0,2730.0,9035.907,140085.0,140085.0
2015-06-01,0.0,0.0,0.0,142.33,2262.0,2262.0,8128.67,129186.0,129186.0
2015-07-01,0.0,0.0,0.0,310.815,4810.0,4810.0,9288.185,143739.0,143739.0
2015-08-01,0.0,0.0,0.0,322.774,4992.0,4992.0,9470.226,146466.0,146466.0
2015-09-01,5.098,78.0,78.0,253.207,3874.0,3874.0,9753.695,149229.0,149229.0
