measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,"Jet Fuel - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Jet Fuel - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Jet Fuel - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed",Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2003-01-01,67602.0,765531.0,765531.0,339.0,3876.0,3876.0,55.0,627.0,627.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2003-02-01,70836.0,768906.0,768906.0,449.0,5255.0,5255.0,0.0,0.0,0.0,,,,,,,,,,,,,320.0,3468.0,3468.0,,,,,,
2003-03-01,33966.0,358327.0,358327.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,640.0,6757.0,6757.0,,,,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2003-05-01,4917.0,59625.0,59625.0,107.0,1346.0,1346.0,0.0,0.0,0.0,,,,215.0,2610.0,2610.0,,,,,,,1318.0,15984.0,15984.0,,,,,,
2003-06-01,0.0,0.0,0.0,169.0,2146.0,2146.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2003-07-01,5361.0,61875.0,61875.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,113.0,1305.0,1305.0,,,,,,,108.0,1247.0,1247.0,,,,,,
2003-08-01,72198.0,803825.0,803825.0,18.0,226.0,226.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,2086.0,23220.0,23220.0,,,,,,
2003-09-01,73960.0,782863.0,782863.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,1485.0,1485.0,0.0,0.0,0.0,,,,,,,1270.0,13444.0,13444.0,,,,,,
2003-10-01,62209.0,645250.0,645250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,505.0,505.0,,,,,,,5506.0,57108.0,57108.0,,,,,,
2003-11-01,75847.0,751425.0,751425.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,75.0,0.0,0.0,0.0,,,,,,,189.0,1873.0,1873.0,,,,,,
2003-12-01,43872.0,482300.0,482300.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,1435.0,1435.0,23.0,255.0,255.0,,,,,,,6456.0,70967.0,70967.0,,,,,,
2004-01-01,64998.299,721950.0,721950.0,447.106,5640.0,5640.0,277.845,3089.0,3089.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5023.5,55796.0,55796.0,1896.0040000000001,21059.0,21059.0,,,,,,
2004-02-01,68309.606,758729.0,758729.0,14.673,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2807.2290000000003,31180.0,31180.0,1320.98,14672.0,14672.0,,,,,,
2004-03-01,70890.285,787393.0,787393.0,12.884,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,553.6410000000001,6149.0,6149.0,1310.1190000000001,14551.0,14551.0,,,,,,
2004-04-01,66605.665,739803.0,739803.0,13.122,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2544.061,28257.0,28257.0,461.742,5129.0,5129.0,,,,,,
2004-05-01,44238.438,491366.0,491366.0,17.21,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,305.449,3393.0,3393.0,656.217,7289.0,7289.0,,,,,,
