measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Fuel Cell - Other Renewables - Generation,Other Biomass Gas - Fuel Cell - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Fuel Cell - Other Renewables - Total Fuel Consumed
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,149.458,957.0,957.0,422.037,2702.0,2702.0
2011-10-01,119.702,766.0,766.0,402.096,2574.0,2574.0
2011-11-01,118.011,755.0,755.0,397.666,2545.0,2545.0
2011-12-01,153.54,983.0,983.0,400.49,2563.0,2563.0
2012-01-01,61.409,1057.0,1057.0,203.944,3508.0,3508.0
2012-02-01,61.404,1056.0,1056.0,200.796,3455.0,3455.0
2012-03-01,58.402,1005.0,1005.0,192.555,3313.0,3313.0
2012-04-01,54.111,931.0,931.0,180.909,3112.0,3112.0
2012-05-01,53.734,924.0,924.0,187.633,3228.0,3228.0
2012-06-01,56.886,979.0,979.0,162.811,2801.0,2801.0
2012-07-01,67.278,1157.0,1157.0,175.394,3018.0,3018.0
2012-08-01,88.59,1524.0,1524.0,202.819,3489.0,3489.0
2012-09-01,80.479,1385.0,1385.0,199.556,3433.0,3433.0
2012-10-01,74.471,1281.0,1281.0,200.302,3446.0,3446.0
2012-11-01,64.299,1106.0,1106.0,219.048,3769.0,3769.0
2012-12-01,60.658,1044.0,1044.0,219.512,3777.0,3777.0
2013-01-01,126.665,965.0,965.0,381.487,2908.0,2908.0
2013-02-01,116.68,890.0,890.0,343.679,2620.0,2620.0
2013-03-01,112.53,858.0,858.0,369.22,2815.0,2815.0
2013-04-01,96.833,739.0,739.0,335.099,2555.0,2555.0
2013-05-01,102.263,780.0,780.0,371.698,2834.0,2834.0
2013-06-01,120.985,923.0,923.0,361.967,2760.0,2760.0
2013-07-01,153.516,1170.0,1170.0,372.243,2838.0,2838.0
2013-08-01,156.565,1194.0,1194.0,411.301,3136.0,3136.0
2013-09-01,156.174,1191.0,1191.0,375.19,2860.0,2860.0
2013-10-01,135.509,1033.0,1033.0,409.605,3123.0,3123.0
2013-11-01,133.662,1019.0,1019.0,407.302,3105.0,3105.0
2013-12-01,155.65,1187.0,1187.0,425.247,3242.0,3242.0
2014-01-01,144.726,1112.0,1112.0,477.58,3672.0,3672.0
2014-02-01,135.15,1038.0,1038.0,416.824,3202.0,3202.0
2014-03-01,117.28,901.0,901.0,435.61,3346.0,3346.0
2014-04-01,111.518,857.0,857.0,382.551,2939.0,2939.0
2014-05-01,112.447,864.0,864.0,394.165,3028.0,3028.0
2014-06-01,110.854,851.0,851.0,418.071,3212.0,3212.0
2014-07-01,156.845,1205.0,1205.0,418.185,3213.0,3213.0
