measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,3704.0,55831.0,599268.0,,,,1423.0,21454.0,230282.0,,,,1408.0,21227.0,227842.0
2001-02-01,4340.0,65099.0,589159.0,,,,1133.0,17000.0,153855.0,,,,1436.0,21537.0,194909.0
2001-03-01,4341.0,65109.0,589159.0,,,,1134.0,17002.0,153855.0,,,,1436.0,21539.0,194909.0
2001-04-01,3619.0,54282.0,432305.0,,,,522.0,7835.0,62402.0,,,,2216.0,33239.0,264711.0
2001-05-01,4087.0,61312.0,423401.0,,,,510.0,7648.0,52812.0,,,,2056.0,30835.0,212939.0
2001-06-01,3734.0,56011.0,367617.0,,,,434.0,6505.0,42696.0,,,,2213.0,33199.0,217894.0
2001-07-01,2862.0,42930.0,408968.0,,,,130.0,1958.0,18643.0,,,,3507.0,52600.0,501087.0
2001-08-01,4346.0,65186.0,390442.0,,,,494.0,7409.0,44376.0,,,,1578.0,23676.0,141809.0
2001-09-01,3558.0,53374.0,383475.0,,,,307.0,4603.0,33075.0,,,,1591.0,23861.0,171435.0
2001-10-01,2397.0,35956.0,305608.0,,,,561.0,8414.0,71510.0,,,,1247.0,18705.0,158981.0
2001-11-01,3187.0,47804.0,502035.0,,,,1085.0,16269.0,170854.0,,,,1481.0,22223.0,233381.0
2001-12-01,3409.0,51132.0,476896.0,,,,1557.0,23348.0,217762.0,,,,1672.0,25075.0,233861.0
2002-01-01,3659.703,55473.0,463809.0,,,,654.925,9930.0,89163.0,,,,1878.347,28468.0,239217.0
2002-02-01,3449.398,52285.0,437156.0,,,,726.0,11008.0,98840.0,,,,1527.0,23143.0,194471.0
2002-03-01,3016.302,45720.0,382268.0,,,,1093.7820000000002,16584.0,148911.0,,,,1793.84,27187.0,228455.0
2002-04-01,3345.685,50713.0,424012.0,,,,476.309,7222.0,64846.0,,,,1641.153,24873.0,209009.0
2002-05-01,3658.7430000000004,55458.0,463687.0,,,,1112.027,16860.0,151395.0,,,,1435.6490000000001,21758.0,182837.0
2002-06-01,3779.741,57292.0,479022.0,,,,690.456,10469.0,94001.0,,,,2057.9230000000002,31189.0,262087.0
2002-07-01,3168.03,48020.0,401497.0,,,,725.027,10993.0,98707.0,,,,1660.3590000000002,25164.0,211455.0
2002-08-01,3924.746,59490.0,497399.0,,,,1277.199,19365.0,173882.0,,,,1824.57,27653.0,232368.0
2002-09-01,1717.977,26041.0,217726.0,,,,508.959,7717.0,69291.0,,,,2026.2330000000002,30709.0,258051.0
2002-10-01,3647.219,55284.0,462227.0,,,,501.27700000000004,7600.0,68245.0,,,,2395.949,36312.0,305136.0
2002-11-01,3855.0,58433.0,488559.0,,,,496.0,7520.0,67527.0,,,,2194.0,33252.0,279417.0
2002-12-01,3849.8430000000003,58355.0,487906.0,,,,374.517,5678.0,50988.0,,,,1962.853,29748.0,249979.0
2003-01-01,3651.061,40934.0,460279.0,,,,606.91,6804.0,76508.0,,,,2479.495,27795.0,312532.0
2003-03-01,4262.772,43644.0,471028.0,,,,799.93,8188.0,88366.0,,,,1861.0610000000001,19052.0,205615.0
2003-04-01,3436.914,40929.0,471632.0,,,,479.19,5711.0,65809.0,,,,2361.378,28116.0,323994.0
2003-05-01,3670.2670000000003,41993.0,476219.0,,,,467.666,5351.0,60679.0,,,,2586.088,29589.0,335555.0
2003-06-01,3488.77,40103.0,455658.0,,,,503.197,5789.0,65776.0,,,,2625.46,30183.0,342933.0
2003-07-01,3441.715,40370.0,469499.0,,,,325.54200000000003,3821.0,44443.0,,,,2550.5570000000002,29915.0,347908.0
2003-08-01,3657.7830000000004,41381.0,467080.0,,,,449.42,5079.0,57326.0,,,,2479.495,28053.0,316646.0
2003-09-01,2586.088,25836.0,275437.0,,,,649.163,6488.0,69160.0,,,,945.8960000000001,9451.0,100751.0
2003-10-01,3655.862,40535.0,453662.0,,,,515.681,5714.0,63948.0,,,,2837.6870000000004,31462.0,352112.0
2003-11-01,3749.011,41316.0,461204.0,,,,548.331,6038.0,67401.0,,,,2759.902,30412.0,339469.0
2003-12-01,3498.373,38766.0,433740.0,,,,878.675,9736.0,108941.0,,,,2750.299,30472.0,340941.0
