measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,194.0,4379.0,4379.0,,,
2003-02-01,256.0,3515.0,3515.0,,,
2003-03-01,387.0,4872.0,4872.0,,,
2003-04-01,312.0,4275.0,4275.0,,,
2003-05-01,-18.0,0.0,0.0,,,
2003-06-01,-15.0,0.0,0.0,,,
2003-07-01,88.0,1125.0,1125.0,,,
2003-08-01,750.0,10863.0,10863.0,,,
2003-09-01,56.0,893.0,893.0,,,
2003-10-01,-18.0,0.0,0.0,,,
2003-11-01,-24.0,0.0,0.0,,,
2003-12-01,-28.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,,,
2004-02-01,-28.0,0.0,0.0,,,
2004-03-01,-7.0,0.0,0.0,,,
2004-04-01,-23.0,160.0,160.0,,,
2004-05-01,-21.0,0.0,0.0,,,
2004-06-01,-31.0,0.0,0.0,,,
2004-07-01,-6.0,0.0,0.0,,,
2004-08-01,-22.0,0.0,0.0,,,
2004-09-01,-11.0,194.0,194.0,,,
2004-10-01,-23.0,0.0,0.0,,,
2004-11-01,-23.0,0.0,0.0,,,
2004-12-01,-27.0,0.0,0.0,,,
2005-01-01,-30.0,0.0,0.0,,,
2005-02-01,-24.0,0.0,0.0,,,
2005-03-01,-27.0,0.0,0.0,,,
2005-04-01,-23.0,0.0,0.0,,,
2005-05-01,-23.0,0.0,0.0,,,
2005-06-01,-22.0,0.0,0.0,,,
2005-07-01,404.0,5307.25,5307.25,,,
2005-08-01,-24.0,0.0,0.0,,,
