measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,148.59,1641.0,1641.0,60.935,581.0,581.0
2003-02-01,126.825,1401.0,1401.0,52.01,496.0,496.0
2003-03-01,115.925,1280.0,1280.0,47.54,454.0,454.0
2003-04-01,100.699,1112.0,1112.0,41.296,394.0,394.0
2003-05-01,106.33,1174.0,1174.0,43.605,416.0,416.0
2003-06-01,125.78,1389.0,1389.0,51.581,492.0,492.0
2003-07-01,155.293,1715.0,1715.0,63.684000000000005,608.0,608.0
2003-08-01,164.89600000000002,1821.0,1821.0,67.622,645.0,645.0
2003-09-01,122.21100000000001,1350.0,1350.0,50.118,478.0,478.0
2003-10-01,112.42,1242.0,1242.0,46.102000000000004,440.0,440.0
2003-11-01,115.305,1274.0,1274.0,47.285,451.0,451.0
2003-12-01,151.727,1676.0,1676.0,62.222,594.0,594.0
2004-01-01,422.06,4663.0,4663.0,53.417,509.0,509.0
2004-02-01,57.064,630.0,630.0,53.417,509.0,509.0
2004-03-01,62.023,685.0,685.0,53.417,509.0,509.0
2004-04-01,65.441,723.0,723.0,53.417,509.0,509.0
2004-05-01,125.70100000000001,1389.0,1389.0,53.417,509.0,509.0
2004-06-01,71.782,793.0,793.0,53.417,509.0,509.0
2004-07-01,72.163,797.0,797.0,53.417,509.0,509.0
2004-08-01,90.072,995.0,995.0,53.417,509.0,509.0
2004-09-01,30.927000000000003,342.0,342.0,53.417,509.0,509.0
2004-10-01,10.982000000000001,121.0,121.0,53.417,509.0,509.0
2004-11-01,18.907,209.0,209.0,53.417,509.0,509.0
2004-12-01,191.87900000000002,2120.0,2120.0,53.417,509.0,509.0
2005-01-01,148.377,1628.83,1628.83,62.516000000000005,596.58,596.58
2005-02-01,75.305,826.67,826.67,31.728,302.78,302.78
2005-03-01,91.141,1000.51,1000.51,38.4,366.45,366.45
2005-04-01,94.97,1042.55,1042.55,40.014,381.84,381.84
2005-05-01,111.906,1228.46,1228.46,47.15,449.94,449.94
2005-06-01,101.319,1112.24,1112.24,42.689,407.37,407.37
2005-07-01,162.238,1780.99,1780.99,68.35600000000001,652.31,652.31
2005-08-01,179.541,1970.93,1970.93,75.646,721.87,721.87
2005-09-01,178.295,1957.25,1957.25,75.12100000000001,716.86,716.86
2005-10-01,106.388,1167.89,1167.89,44.824000000000005,427.75,427.75
2005-11-01,84.799,930.89,930.89,35.728,340.95,340.95
2005-12-01,184.72,2027.79,2027.79,77.828,742.7,742.7
2006-01-01,105.74300000000001,1173.0,1173.0,45.318000000000005,434.0,434.0
2006-02-01,104.641,1161.0,1161.0,44.846000000000004,430.0,430.0
2006-03-01,91.748,1018.0,1018.0,39.321000000000005,377.0,377.0
2006-04-01,121.031,1343.0,1343.0,51.871,497.0,497.0
2006-05-01,109.38300000000001,1214.0,1214.0,46.878,449.0,449.0
2006-06-01,130.817,1452.0,1452.0,56.064,537.0,537.0
2006-07-01,126.902,1408.0,1408.0,54.386,521.0,521.0
2006-08-01,136.572,1515.0,1515.0,58.531000000000006,561.0,561.0
2006-09-01,97.022,1077.0,1077.0,41.581,398.0,398.0
2006-10-01,124.879,1386.0,1386.0,53.519000000000005,513.0,513.0
2006-11-01,109.0,1210.0,1210.0,46.714000000000006,448.0,448.0
2006-12-01,121.263,1346.0,1346.0,51.97,498.0,498.0
2007-01-01,124.364,1381.0,1381.0,65.878,629.0,629.0
2007-02-01,474.026,5260.0,5260.0,251.09900000000002,2406.0,2406.0
2007-03-01,138.37800000000001,1538.0,1538.0,73.301,705.0,705.0
2007-04-01,99.79700000000001,1107.0,1107.0,52.864000000000004,507.0,507.0
2007-05-01,20.561,227.0,227.0,10.892000000000001,105.0,105.0
2007-06-01,62.891000000000005,699.0,699.0,33.315,320.0,320.0
