measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2011-01-01,1947.118,21098.0,21098.0
2011-02-01,2143.373,23225.0,23225.0
2011-03-01,2051.838,22233.0,22233.0
2011-04-01,924.245,10015.0,10015.0
2011-05-01,1506.588,16325.0,16325.0
2011-06-01,1439.768,15601.0,15601.0
2011-07-01,1309.386,14188.0,14188.0
2011-08-01,1507.321,16333.0,16333.0
2011-09-01,1442.274,15628.0,15628.0
2011-10-01,1759.028,19060.0,19060.0
2011-11-01,2244.26,24318.0,24318.0
2011-12-01,2068.801,22417.0,22417.0
2012-01-01,1901.944,21429.0,21429.0
2012-02-01,1247.896,14060.0,14060.0
2012-03-01,2106.313,23732.0,23732.0
2012-04-01,1301.778,14667.0,14667.0
2012-05-01,1168.961,13170.0,13170.0
2012-06-01,548.06,6175.0,6175.0
2012-07-01,1141.865,12865.0,12865.0
2012-08-01,1314.78,14814.0,14814.0
2012-09-01,1267.671,14283.0,14283.0
2012-10-01,1630.767,18374.0,18374.0
2012-11-01,1880.415,21187.0,21187.0
2012-12-01,2078.55,23419.0,23419.0
2013-01-01,2033.549,17771.0,17771.0
2013-02-01,2027.645,17720.0,17720.0
2013-03-01,2292.461,20034.0,20034.0
2013-04-01,1378.251,12045.0,12045.0
2013-05-01,1211.652,10589.0,10589.0
2013-06-01,979.481,8560.0,8560.0
2013-07-01,1271.79,11114.0,11114.0
2013-08-01,1341.219,11721.0,11721.0
2013-09-01,1248.64,10912.0,10912.0
2013-10-01,740.825,6474.0,6474.0
2013-11-01,1652.508,14442.0,14442.0
2013-12-01,1579.979,13808.0,13808.0
2014-01-01,677.843,7545.0,7545.0
2014-02-01,900.642,10025.0,10025.0
2014-03-01,921.362,10255.0,10255.0
2014-04-01,915.071,10185.0,10185.0
2014-05-01,704.51,7842.0,7842.0
2014-06-01,393.246,4377.0,4377.0
2014-07-01,628.326,6993.0,6993.0
