measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2012-01-01,,,,284.868,3340.0,385710.0,,,
2012-02-01,,,,154.039,1806.0,208546.0,,,
2012-03-01,,,,170.299,1997.0,230568.0,,,
2012-04-01,,,,180.632,2118.0,244556.0,,,
2012-05-01,,,,167.122,1960.0,226278.0,,,
2012-06-01,,,,187.614,2200.0,254020.0,,,
2012-07-01,,,,192.02,2251.0,259974.0,,,
2012-08-01,,,,363.472,4262.0,492128.0,,,
2012-09-01,,,,262.972,3083.0,356044.0,,,
2012-10-01,,,,186.653,2189.0,252720.0,,,
2012-11-01,,,,284.27,3333.0,384878.0,,,
2012-12-01,,,,283.009,3318.0,383188.0,,,
2013-01-01,0.0,0.0,0.0,449.835,5274.0,308160.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,122.109,1432.0,83640.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,424.37,4976.0,290688.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,424.31,4975.0,290640.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,441.216,5173.0,302232.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,431.727,5062.0,295728.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,492.462,5774.0,337320.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,717.875,8417.0,491736.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,363.557,4263.0,249024.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,210.678,2470.0,144312.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,64.674,758.0,44304.0,0.0,0.0,0.0
