measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,20822.0,300164.0,300164.0
2003-02-01,,,,,,,19223.0,273231.0,273231.0
2003-03-01,,,,,,,18995.0,267769.0,267769.0
2003-04-01,,,,,,,19455.0,279418.0,279418.0
2003-05-01,,,,,,,20139.0,290216.0,290216.0
2003-06-01,,,,,,,18678.0,274919.0,274919.0
2003-07-01,,,,,,,13698.0,200970.0,200970.0
2003-08-01,,,,,,,20879.0,295287.0,295287.0
2003-09-01,,,,,,,19521.0,274765.0,274765.0
2003-10-01,,,,,,,19737.0,281994.0,281994.0
2003-11-01,,,,,,,16007.0,232531.0,232531.0
2003-12-01,,,,,,,18045.0,259972.0,259972.0
2004-01-01,,,,,,,17866.001,259758.0,259758.0
2004-02-01,,,,,,,16354.639,237784.0,237784.0
2004-03-01,,,,,,,17706.673000000003,257441.0,257441.0
2004-04-01,,,,,,,18138.18,263715.0,263715.0
2004-05-01,,,,,,,20692.07,300847.0,300847.0
2004-06-01,,,,,,,18231.956,265079.0,265079.0
2004-07-01,,,,,,,19778.900999999998,287570.0,287570.0
2004-08-01,,,,,,,20541.408,298656.0,298656.0
2004-09-01,,,,,,,19656.077,285784.0,285784.0
2004-10-01,,,,,,,20041.155,291383.0,291383.0
2004-11-01,,,,,,,19415.706,282289.0,282289.0
2004-12-01,,,,,,,18899.234,274780.0,274780.0
2005-01-01,,,,,,,14570.287,212701.15,212701.15
2005-02-01,,,,,,,11729.263,171227.08,171227.08
2005-03-01,,,,,,,13698.673,199977.09,199977.09
2005-04-01,,,,,,,13458.297,196468.01,196468.01
2005-05-01,,,,,,,15723.196,229531.64,229531.64
2005-06-01,,,,,,,21120.313000000002,308320.28,308320.28
2005-07-01,,,,,,,25994.935,379481.39,379481.39
2005-08-01,,,,,,,28259.343,412537.84,412537.84
2005-09-01,,,,,,,26217.609,382732.04,382732.04
2005-10-01,,,,,,,18814.21,274655.14,274655.14
2005-11-01,,,,,,,12507.332,182585.56,182585.56
2005-12-01,,,,,,,22010.541,321316.08,321316.08
2006-01-01,,,,,,,15927.297,228973.0,228973.0
2006-02-01,,,,,,,11700.039,168201.0,168201.0
2006-03-01,,,,,,,10449.678,150226.0,150226.0
2006-04-01,,,,,,,17264.164,248192.0,248192.0
2006-05-01,,,,,,,16731.976000000002,240541.0,240541.0
2006-06-01,,,,,,,24356.015,350145.0,350145.0
2006-07-01,,,,,,,24685.862,354887.0,354887.0
2006-08-01,,,,,,,39363.765,565898.0,565898.0
2006-09-01,,,,,,,19609.142,281903.0,281903.0
2006-10-01,,,,,,,18980.155,272861.0,272861.0
2006-11-01,,,,,,,16892.513,242849.0,242849.0
2006-12-01,,,,,,,12332.393,177292.0,177292.0
2007-01-01,,,,,,,19994.0,289743.0,289743.0
2007-02-01,,,,,,,16523.0,234492.0,234492.0
2007-03-01,,,,,,,13473.0,194482.0,194482.0
2007-04-01,,,,,,,16991.0,245699.0,245699.0
2007-05-01,,,,,,,13673.0,202718.0,202718.0
2007-06-01,,,,,,,19469.0,279981.0,279981.0
2007-07-01,,,,,,,18014.0,258924.0,258924.0
2007-08-01,,,,,,,16839.0,254180.0,254180.0
2007-09-01,,,,,,,17056.0,242580.0,242580.0
2007-10-01,,,,,,,6108.0,228686.0,228686.0
2007-11-01,,,,,,,17629.0,252242.0,252242.0
2007-12-01,,,,,,,19238.0,280452.0,280452.0
2008-01-01,,,,,,,16842.0,241650.0,241650.0
2008-02-01,,,,,,,16212.0,229250.0,229250.0
2008-03-01,,,,,,,15419.0,220993.0,220993.0
2008-04-01,,,,,,,13427.0,188983.0,188983.0
2008-05-01,,,,,,,18319.0,259110.0,259110.0
2008-06-01,,,,,,,11571.0,172229.0,172229.0
2008-07-01,,,,,,,13771.0,203863.0,203863.0
2008-08-01,,,,,,,19082.0,274613.0,274613.0
2008-09-01,,,,,,,19076.0,275435.0,275435.0
2008-10-01,,,,,,,20185.0,292082.0,292082.0
2008-11-01,,,,,,,20280.0,294216.0,294216.0
2008-12-01,,,,,,,18542.0,268655.0,268655.0
2009-01-01,,,,,,,17620.0,243916.0,243916.0
2009-02-01,,,,,,,16034.0,240945.0,240945.0
2009-03-01,,,,,,,18626.0,271491.0,271491.0
2009-04-01,,,,,,,12002.0,176313.0,176313.0
