measured_on,"Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2010-01-01,1.334,13.0,13.0
2010-02-01,12.887,126.0,126.0
2010-03-01,31.431,307.0,307.0
2010-04-01,47.063,459.0,459.0
2010-05-01,66.49300000000001,649.0,649.0
2010-06-01,75.26700000000001,734.0,734.0
2010-07-01,72.598,708.0,708.0
2010-08-01,64.854,633.0,633.0
2010-09-01,52.718,514.0,514.0
2010-10-01,23.619,230.0,230.0
2010-11-01,20.196,197.0,197.0
2010-12-01,7.54,74.0,74.0
2011-01-01,0.155,2.0,2.0
2011-02-01,11.538,112.0,112.0
2011-03-01,16.506,160.0,160.0
2011-04-01,27.391,266.0,266.0
2011-05-01,33.619,327.0,327.0
2011-06-01,43.201,420.0,420.0
2011-07-01,37.158,361.0,361.0
2011-08-01,38.281,372.0,372.0
2011-09-01,26.421,257.0,257.0
2011-10-01,21.119,205.0,205.0
2011-11-01,7.499,73.0,73.0
2011-12-01,7.112,69.0,69.0
2012-01-01,2.326,22.0,22.0
2012-02-01,23.118,220.0,220.0
2012-03-01,56.68,539.0,539.0
2012-04-01,82.01,780.0,780.0
2012-05-01,112.727,1073.0,1073.0
2012-06-01,121.841,1159.0,1159.0
2012-07-01,105.357,1003.0,1003.0
2012-08-01,83.028,790.0,790.0
2012-09-01,77.741,740.0,740.0
2012-10-01,61.098,581.0,581.0
2012-11-01,31.244,297.0,297.0
2012-12-01,22.83,217.0,217.0
2013-01-01,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0
2013-12-01,94.0,897.0,897.0
2014-01-01,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0
