measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,7965.689,76563.0,76563.0
2003-02-01,,,,6821.011,65970.0,65970.0
2003-03-01,,,,7939.76,76032.0,76032.0
2003-04-01,,,,7496.102000000001,71649.0,71649.0
2003-05-01,,,,2735.895,26514.0,26514.0
2003-06-01,,,,7871.579000000001,75060.0,75060.0
2003-07-01,,,,7917.674,76464.0,76464.0
2003-08-01,,,,7850.453,75951.0,75951.0
2003-09-01,,,,6656.8,64899.0,64899.0
2003-10-01,,,,8576.439,81711.0,81711.0
2003-11-01,,,,7709.2880000000005,74034.0,74034.0
2003-12-01,,,,8870.291000000001,86364.0,86364.0
2004-01-01,,,,7202.2970000000005,78065.0,78065.0
2004-02-01,,,,6384.457,69200.0,69200.0
2004-03-01,,,,6759.834000000001,73269.0,73269.0
2004-04-01,,,,6277.118,68037.0,68037.0
2004-05-01,,,,5964.137000000001,64645.0,64645.0
2004-06-01,,,,7110.1990000000005,77067.0,77067.0
2004-07-01,,,,7517.027,81476.0,81476.0
2004-08-01,,,,7426.223,80492.0,80492.0
2004-09-01,,,,7068.512000000001,76615.0,76615.0
2004-10-01,,,,7122.488,77200.0,77200.0
2004-11-01,,,,6145.9220000000005,66615.0,66615.0
2004-12-01,,,,7054.787,76466.0,76466.0
2005-01-01,,,,7269.419000000001,151128.63,151128.63
2005-02-01,,,,6542.249000000001,136011.02,136011.02
2005-03-01,,,,6983.942,145193.67,145193.67
2005-04-01,,,,6878.207,142995.47,142995.47
2005-05-01,,,,6888.741,143214.46,143214.46
2005-06-01,,,,7132.963000000001,148291.74,148291.74
2005-07-01,,,,7434.0470000000005,154551.19,154551.19
2005-08-01,,,,7341.643,152630.12,152630.12
2005-09-01,,,,7084.461,147283.42,147283.42
2005-10-01,,,,7230.725,150324.19,150324.19
2005-11-01,,,,7006.177000000001,145655.91,145655.91
2005-12-01,,,,7134.426,148322.18,148322.18
2006-01-01,,,,7732.658,153108.0,153108.0
2006-02-01,,,,7214.384,142846.0,142846.0
2006-03-01,,,,7410.307000000001,146725.0,146725.0
2006-04-01,,,,6126.371,121303.0,121303.0
2006-05-01,,,,5875.153,116329.0,116329.0
2006-06-01,,,,7287.637000000001,144296.0,144296.0
2006-07-01,,,,7840.14,155236.0,155236.0
2006-08-01,,,,7763.67,153722.0,153722.0
2006-09-01,,,,7007.522,138750.0,138750.0
2006-10-01,,,,6606.687,130814.0,130814.0
2006-11-01,,,,7266.283,143874.0,143874.0
2006-12-01,,,,7271.188,143971.0,143971.0
2007-01-01,,,,7942.0,159858.0,159858.0
2007-02-01,,,,5709.0,110178.0,110178.0
2007-03-01,,,,8711.0,168948.0,168948.0
2007-04-01,,,,7880.0,154656.0,154656.0
2007-05-01,,,,8665.0,169722.0,169722.0
2007-06-01,,,,6383.0,122850.0,122850.0
2007-07-01,,,,8160.0,179478.0,179478.0
2007-08-01,,,,8221.0,181872.0,181872.0
2007-09-01,,,,7577.0,168336.0,168336.0
2007-10-01,,,,7279.0,167418.0,167418.0
2007-11-01,,,,6239.0,136494.0,136494.0
2007-12-01,,,,7999.0,174222.0,174222.0
