measured_on,Bituminous Coal-Combined Cycle Combustion Turbine Part Generation,Bituminous Coal-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Bituminous Coal-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Bituminous Coal-Combined Cycle Steam Part Generation,Bituminous Coal-Combined Cycle Steam Part Quantity Consumed For Electricity,Bituminous Coal-Combined Cycle Steam Part Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,,,,,,,417389.0,4277469.0,4277469.0,,,,0.0,0.0,0.0,74.0,742.0,742.0,832.0,10028.0,10028.0,0.0,0.0,0.0,89580.0,632365.0,632365.0
2003-02-01,,,,,,,197113.0,2132745.0,2132745.0,,,,0.0,0.0,0.0,54.0,534.0,534.0,484.0,6044.0,6044.0,0.0,0.0,0.0,138553.0,1099693.0,1099693.0
2003-03-01,,,,,,,379832.0,3937442.0,3937442.0,,,,0.0,0.0,0.0,92.0,922.0,922.0,878.0,10411.0,10411.0,0.0,0.0,0.0,144027.0,1240059.0,1240059.0
2003-04-01,,,,,,,370711.0,3966300.0,3966300.0,,,,0.0,0.0,0.0,37.0,389.0,389.0,740.0,9054.0,9054.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,,,,338090.0,3534488.0,3534488.0,,,,0.0,0.0,0.0,86.0,899.0,899.0,778.0,9390.0,9390.0,0.0,0.0,0.0,170855.0,1358679.0,1358679.0
2003-06-01,,,,,,,318614.0,3372982.0,3372982.0,,,,0.0,0.0,0.0,,,,811.0,9912.0,9912.0,0.0,0.0,0.0,108791.0,960181.0,960181.0
2003-07-01,,,,,,,389757.0,4128402.0,4128402.0,,,,0.0,0.0,0.0,64.0,655.0,655.0,338.0,4130.0,4130.0,0.0,0.0,0.0,112319.0,938468.0,938468.0
2003-08-01,,,,,,,395740.0,4180319.0,4180319.0,,,,0.0,0.0,0.0,69.0,1021.0,1021.0,726.0,8862.0,8862.0,0.0,0.0,0.0,69025.0,594805.0,594805.0
2003-09-01,,,,,,,367535.0,3860605.0,3860605.0,,,,0.0,0.0,0.0,31.0,360.0,360.0,1189.0,14558.0,14558.0,0.0,0.0,0.0,170127.0,1388566.0,1388566.0
2003-10-01,,,,,,,367141.0,3729399.0,3729399.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,590.0,6919.0,6919.0,0.0,0.0,0.0,38117.0,346341.0,346341.0
